relative_path,classification,reason,depth,child_dirs,files,in_registry,prior_ledger,was_move_source,destination
data/pallet/archive/superseded_runs/_v2_publicmask_overlay_smoke8/logs,EMPTY_PAYLOAD_SUBDIR,최종 구조 안의 빈 하위폴더 — 해당 항목/뼈대의 일부,4,0,0,False,,False,
data/pallet/archive/superseded_runs/_v2_scene_logic_500_seed7500/logs,EMPTY_PAYLOAD_SUBDIR,최종 구조 안의 빈 하위폴더 — 해당 항목/뼈대의 일부,4,0,0,False,,False,
data/pallet/archive/superseded_runs/_v2_smoke50_9d/eda/failure_examples,EMPTY_PAYLOAD_SUBDIR,최종 구조 안의 빈 하위폴더 — 해당 항목/뼈대의 일부,5,0,0,False,,False,
data/pallet/archive/superseded_runs/_v2_smoke50_9d/logs,EMPTY_PAYLOAD_SUBDIR,최종 구조 안의 빈 하위폴더 — 해당 항목/뼈대의 일부,4,0,0,False,,False,
data/pallet/archive/unidentified,EMPTY_POLICY_CONTAINER,최종 semantic container,2,0,0,False,,False,
data/pallet/assets/distractors/manifest,EMPTY_PAYLOAD_SUBDIR,최종 구조 안의 빈 하위폴더 — 해당 항목/뼈대의 일부,3,0,0,False,,False,
data/pallet/assets/distractors/metadata,EMPTY_PAYLOAD_SUBDIR,최종 구조 안의 빈 하위폴더 — 해당 항목/뼈대의 일부,3,0,0,False,,False,
data/pallet/assets/distractors/models,EMPTY_PAYLOAD_SUBDIR,최종 구조 안의 빈 하위폴더 — 해당 항목/뼈대의 일부,3,0,0,False,,False,
data/pallet/assets/licenses,EMPTY_PAYLOAD_SUBDIR,최종 구조 안의 빈 하위폴더 — 해당 항목/뼈대의 일부,2,0,0,False,,False,
data/pallet/assets/pallets/metadata,EMPTY_PAYLOAD_SUBDIR,최종 구조 안의 빈 하위폴더 — 해당 항목/뼈대의 일부,3,0,0,False,,False,
data/pallet/assets/scenes/experimental,EMPTY_PAYLOAD_SUBDIR,최종 구조 안의 빈 하위폴더 — 해당 항목/뼈대의 일부,3,0,0,False,,False,
data/pallet/reference/camera_calibration,EMPTY_PAYLOAD_SUBDIR,최종 구조 안의 빈 하위폴더 — 해당 항목/뼈대의 일부,2,0,0,False,,False,
data/pallet/reference/expected_outputs,EMPTY_PAYLOAD_SUBDIR,최종 구조 안의 빈 하위폴더 — 해당 항목/뼈대의 일부,2,0,0,False,,False,
data/pallet/release/attribution,EMPTY_PAYLOAD_SUBDIR,최종 구조 안의 빈 하위폴더 — 해당 항목/뼈대의 일부,2,0,0,False,,False,
data/pallet/release/datasets,EMPTY_PAYLOAD_SUBDIR,최종 구조 안의 빈 하위폴더 — 해당 항목/뼈대의 일부,2,0,0,False,,False,
data/pallet/release/packaging,EMPTY_PAYLOAD_SUBDIR,최종 구조 안의 빈 하위폴더 — 해당 항목/뼈대의 일부,2,0,0,False,,False,
data/pallet/runs/diagnostics/_v2_exactclearance_idx12_seed7500/labels,EMPTY_PAYLOAD_SUBDIR,최종 구조 안의 빈 하위폴더 — 해당 항목/뼈대의 일부,4,0,0,False,,False,
data/pallet/runs/diagnostics/_v2_exactclearance_idx12_seed7500/logs,EMPTY_PAYLOAD_SUBDIR,최종 구조 안의 빈 하위폴더 — 해당 항목/뼈대의 일부,4,0,0,False,,False,
data/pallet/runs/diagnostics/_v2_exactclearance_idx12_seed7500/mask,EMPTY_PAYLOAD_SUBDIR,최종 구조 안의 빈 하위폴더 — 해당 항목/뼈대의 일부,4,0,0,False,,False,
data/pallet/runs/diagnostics/_v2_exactclearance_idx12_seed7500/rgb,EMPTY_PAYLOAD_SUBDIR,최종 구조 안의 빈 하위폴더 — 해당 항목/뼈대의 일부,4,0,0,False,,False,
data/pallet/runs/diagnostics/_v2_exactclearance_idx12_seed7500_r2/logs,EMPTY_PAYLOAD_SUBDIR,최종 구조 안의 빈 하위폴더 — 해당 항목/뼈대의 일부,4,0,0,False,,False,
data/pallet/runs/diagnostics/_v2_ph7_regress_base/logs,EMPTY_PAYLOAD_SUBDIR,최종 구조 안의 빈 하위폴더 — 해당 항목/뼈대의 일부,4,0,0,False,,False,
data/pallet/runs/diagnostics/_v2_ph7_regress_final/logs,EMPTY_PAYLOAD_SUBDIR,최종 구조 안의 빈 하위폴더 — 해당 항목/뼈대의 일부,4,0,0,False,,False,
data/pallet/runs/diagnostics/_v2_ph7_regress_new/logs,EMPTY_PAYLOAD_SUBDIR,최종 구조 안의 빈 하위폴더 — 해당 항목/뼈대의 일부,4,0,0,False,,False,
data/pallet/runs/diagnostics/_v2_ph7_usable10/logs,EMPTY_PAYLOAD_SUBDIR,최종 구조 안의 빈 하위폴더 — 해당 항목/뼈대의 일부,4,0,0,False,,False,
data/pallet/runs/diagnostics/_v2_ph7_usable_resume12/logs,EMPTY_PAYLOAD_SUBDIR,최종 구조 안의 빈 하위폴더 — 해당 항목/뼈대의 일부,4,0,0,False,,False,
data/pallet/runs/diagnostics/_v2_statefix_fresh_idx2_seed7500/logs,EMPTY_PAYLOAD_SUBDIR,최종 구조 안의 빈 하위폴더 — 해당 항목/뼈대의 일부,4,0,0,False,,False,
data/pallet/runs/diagnostics/_v2_statefix_sequence0_6_seed7500/logs,EMPTY_PAYLOAD_SUBDIR,최종 구조 안의 빈 하위폴더 — 해당 항목/뼈대의 일부,4,0,0,False,,False,
data/pallet/runs/diagnostics/_v2_supportclearance_idx12_seed7500/labels,EMPTY_PAYLOAD_SUBDIR,최종 구조 안의 빈 하위폴더 — 해당 항목/뼈대의 일부,4,0,0,False,,False,
data/pallet/runs/diagnostics/_v2_supportclearance_idx12_seed7500/logs,EMPTY_PAYLOAD_SUBDIR,최종 구조 안의 빈 하위폴더 — 해당 항목/뼈대의 일부,4,0,0,False,,False,
data/pallet/runs/diagnostics/_v2_supportclearance_idx12_seed7500/mask,EMPTY_PAYLOAD_SUBDIR,최종 구조 안의 빈 하위폴더 — 해당 항목/뼈대의 일부,4,0,0,False,,False,
data/pallet/runs/diagnostics/_v2_supportclearance_idx12_seed7500/rgb,EMPTY_PAYLOAD_SUBDIR,최종 구조 안의 빈 하위폴더 — 해당 항목/뼈대의 일부,4,0,0,False,,False,
data/pallet/runs/diagnostics/_v2_supportsnap_idx12_seed7500/labels,EMPTY_PAYLOAD_SUBDIR,최종 구조 안의 빈 하위폴더 — 해당 항목/뼈대의 일부,4,0,0,False,,False,
data/pallet/runs/diagnostics/_v2_supportsnap_idx12_seed7500/logs,EMPTY_PAYLOAD_SUBDIR,최종 구조 안의 빈 하위폴더 — 해당 항목/뼈대의 일부,4,0,0,False,,False,
data/pallet/runs/diagnostics/_v2_supportsnap_idx12_seed7500/mask,EMPTY_PAYLOAD_SUBDIR,최종 구조 안의 빈 하위폴더 — 해당 항목/뼈대의 일부,4,0,0,False,,False,
data/pallet/runs/diagnostics/_v2_supportsnap_idx12_seed7500/rgb,EMPTY_PAYLOAD_SUBDIR,최종 구조 안의 빈 하위폴더 — 해당 항목/뼈대의 일부,4,0,0,False,,False,
data/pallet/runs/diagnostics/v2_scene_logic_probes/_v2_scene_logic_probe1_seed7500/logs,EMPTY_PAYLOAD_SUBDIR,최종 구조 안의 빈 하위폴더 — 해당 항목/뼈대의 일부,5,0,0,False,,False,
data/pallet/runs/diagnostics/v2_scene_logic_probes/_v2_scene_logic_probe1b_seed7500/logs,EMPTY_PAYLOAD_SUBDIR,최종 구조 안의 빈 하위폴더 — 해당 항목/뼈대의 일부,5,0,0,False,,False,
data/pallet/runs/diagnostics/v2_scene_logic_probes/_v2_scene_logic_probe_modes2_repeat_seed7500/logs,EMPTY_PAYLOAD_SUBDIR,최종 구조 안의 빈 하위폴더 — 해당 항목/뼈대의 일부,5,0,0,False,,False,
data/pallet/runs/diagnostics/v2_scene_logic_probes/_v2_scene_logic_probe_modes2_seed7500/logs,EMPTY_PAYLOAD_SUBDIR,최종 구조 안의 빈 하위폴더 — 해당 항목/뼈대의 일부,5,0,0,False,,False,
data/pallet/runs/diagnostics/v2_scene_logic_probes/_v2_scene_logic_probe_modes_seed7500/logs,EMPTY_PAYLOAD_SUBDIR,최종 구조 안의 빈 하위폴더 — 해당 항목/뼈대의 일부,5,0,0,False,,False,
data/pallet/runs/diagnostics/v2_scene_logic_probes/_v2_scene_logic_probe_seed7500_f16_r1/labels,EMPTY_PAYLOAD_SUBDIR,최종 구조 안의 빈 하위폴더 — 해당 항목/뼈대의 일부,5,0,0,False,,False,
data/pallet/runs/diagnostics/v2_scene_logic_probes/_v2_scene_logic_probe_seed7500_f16_r1/logs,EMPTY_PAYLOAD_SUBDIR,최종 구조 안의 빈 하위폴더 — 해당 항목/뼈대의 일부,5,0,0,False,,False,
data/pallet/runs/diagnostics/v2_scene_logic_probes/_v2_scene_logic_probe_seed7500_f16_r1/mask,EMPTY_PAYLOAD_SUBDIR,최종 구조 안의 빈 하위폴더 — 해당 항목/뼈대의 일부,5,0,0,False,,False,
data/pallet/runs/diagnostics/v2_scene_logic_probes/_v2_scene_logic_probe_seed7500_f16_r1/rgb,EMPTY_PAYLOAD_SUBDIR,최종 구조 안의 빈 하위폴더 — 해당 항목/뼈대의 일부,5,0,0,False,,False,
data/pallet/runs/diagnostics/v2_scene_logic_probes/_v2_scene_logic_probe_seed7500_f16_r10/labels,EMPTY_PAYLOAD_SUBDIR,최종 구조 안의 빈 하위폴더 — 해당 항목/뼈대의 일부,5,0,0,False,,False,
data/pallet/runs/diagnostics/v2_scene_logic_probes/_v2_scene_logic_probe_seed7500_f16_r10/logs,EMPTY_PAYLOAD_SUBDIR,최종 구조 안의 빈 하위폴더 — 해당 항목/뼈대의 일부,5,0,0,False,,False,
data/pallet/runs/diagnostics/v2_scene_logic_probes/_v2_scene_logic_probe_seed7500_f16_r10/mask,EMPTY_PAYLOAD_SUBDIR,최종 구조 안의 빈 하위폴더 — 해당 항목/뼈대의 일부,5,0,0,False,,False,
data/pallet/runs/diagnostics/v2_scene_logic_probes/_v2_scene_logic_probe_seed7500_f16_r10/rgb,EMPTY_PAYLOAD_SUBDIR,최종 구조 안의 빈 하위폴더 — 해당 항목/뼈대의 일부,5,0,0,False,,False,
data/pallet/runs/diagnostics/v2_scene_logic_probes/_v2_scene_logic_probe_seed7500_f16_r11/labels,EMPTY_PAYLOAD_SUBDIR,최종 구조 안의 빈 하위폴더 — 해당 항목/뼈대의 일부,5,0,0,False,,False,
data/pallet/runs/diagnostics/v2_scene_logic_probes/_v2_scene_logic_probe_seed7500_f16_r11/logs,EMPTY_PAYLOAD_SUBDIR,최종 구조 안의 빈 하위폴더 — 해당 항목/뼈대의 일부,5,0,0,False,,False,
data/pallet/runs/diagnostics/v2_scene_logic_probes/_v2_scene_logic_probe_seed7500_f16_r11/mask,EMPTY_PAYLOAD_SUBDIR,최종 구조 안의 빈 하위폴더 — 해당 항목/뼈대의 일부,5,0,0,False,,False,
data/pallet/runs/diagnostics/v2_scene_logic_probes/_v2_scene_logic_probe_seed7500_f16_r11/rgb,EMPTY_PAYLOAD_SUBDIR,최종 구조 안의 빈 하위폴더 — 해당 항목/뼈대의 일부,5,0,0,False,,False,
data/pallet/runs/diagnostics/v2_scene_logic_probes/_v2_scene_logic_probe_seed7500_f16_r13/labels,EMPTY_PAYLOAD_SUBDIR,최종 구조 안의 빈 하위폴더 — 해당 항목/뼈대의 일부,5,0,0,False,,False,
data/pallet/runs/diagnostics/v2_scene_logic_probes/_v2_scene_logic_probe_seed7500_f16_r13/logs,EMPTY_PAYLOAD_SUBDIR,최종 구조 안의 빈 하위폴더 — 해당 항목/뼈대의 일부,5,0,0,False,,False,
data/pallet/runs/diagnostics/v2_scene_logic_probes/_v2_scene_logic_probe_seed7500_f16_r13/mask,EMPTY_PAYLOAD_SUBDIR,최종 구조 안의 빈 하위폴더 — 해당 항목/뼈대의 일부,5,0,0,False,,False,
data/pallet/runs/diagnostics/v2_scene_logic_probes/_v2_scene_logic_probe_seed7500_f16_r13/rgb,EMPTY_PAYLOAD_SUBDIR,최종 구조 안의 빈 하위폴더 — 해당 항목/뼈대의 일부,5,0,0,False,,False,
data/pallet/runs/diagnostics/v2_scene_logic_probes/_v2_scene_logic_probe_seed7500_f16_r14/labels,EMPTY_PAYLOAD_SUBDIR,최종 구조 안의 빈 하위폴더 — 해당 항목/뼈대의 일부,5,0,0,False,,False,
data/pallet/runs/diagnostics/v2_scene_logic_probes/_v2_scene_logic_probe_seed7500_f16_r14/logs,EMPTY_PAYLOAD_SUBDIR,최종 구조 안의 빈 하위폴더 — 해당 항목/뼈대의 일부,5,0,0,False,,False,
data/pallet/runs/diagnostics/v2_scene_logic_probes/_v2_scene_logic_probe_seed7500_f16_r14/mask,EMPTY_PAYLOAD_SUBDIR,최종 구조 안의 빈 하위폴더 — 해당 항목/뼈대의 일부,5,0,0,False,,False,
data/pallet/runs/diagnostics/v2_scene_logic_probes/_v2_scene_logic_probe_seed7500_f16_r14/rgb,EMPTY_PAYLOAD_SUBDIR,최종 구조 안의 빈 하위폴더 — 해당 항목/뼈대의 일부,5,0,0,False,,False,
data/pallet/runs/diagnostics/v2_scene_logic_probes/_v2_scene_logic_probe_seed7500_f16_r15/labels,EMPTY_PAYLOAD_SUBDIR,최종 구조 안의 빈 하위폴더 — 해당 항목/뼈대의 일부,5,0,0,False,,False,
data/pallet/runs/diagnostics/v2_scene_logic_probes/_v2_scene_logic_probe_seed7500_f16_r15/logs,EMPTY_PAYLOAD_SUBDIR,최종 구조 안의 빈 하위폴더 — 해당 항목/뼈대의 일부,5,0,0,False,,False,
data/pallet/runs/diagnostics/v2_scene_logic_probes/_v2_scene_logic_probe_seed7500_f16_r15/mask,EMPTY_PAYLOAD_SUBDIR,최종 구조 안의 빈 하위폴더 — 해당 항목/뼈대의 일부,5,0,0,False,,False,
data/pallet/runs/diagnostics/v2_scene_logic_probes/_v2_scene_logic_probe_seed7500_f16_r15/rgb,EMPTY_PAYLOAD_SUBDIR,최종 구조 안의 빈 하위폴더 — 해당 항목/뼈대의 일부,5,0,0,False,,False,
data/pallet/runs/diagnostics/v2_scene_logic_probes/_v2_scene_logic_probe_seed7500_f16_r16/labels,EMPTY_PAYLOAD_SUBDIR,최종 구조 안의 빈 하위폴더 — 해당 항목/뼈대의 일부,5,0,0,False,,False,
data/pallet/runs/diagnostics/v2_scene_logic_probes/_v2_scene_logic_probe_seed7500_f16_r16/logs,EMPTY_PAYLOAD_SUBDIR,최종 구조 안의 빈 하위폴더 — 해당 항목/뼈대의 일부,5,0,0,False,,False,
data/pallet/runs/diagnostics/v2_scene_logic_probes/_v2_scene_logic_probe_seed7500_f16_r16/mask,EMPTY_PAYLOAD_SUBDIR,최종 구조 안의 빈 하위폴더 — 해당 항목/뼈대의 일부,5,0,0,False,,False,
data/pallet/runs/diagnostics/v2_scene_logic_probes/_v2_scene_logic_probe_seed7500_f16_r16/rgb,EMPTY_PAYLOAD_SUBDIR,최종 구조 안의 빈 하위폴더 — 해당 항목/뼈대의 일부,5,0,0,False,,False,
data/pallet/runs/diagnostics/v2_scene_logic_probes/_v2_scene_logic_probe_seed7500_f16_r17/labels,EMPTY_PAYLOAD_SUBDIR,최종 구조 안의 빈 하위폴더 — 해당 항목/뼈대의 일부,5,0,0,False,,False,
data/pallet/runs/diagnostics/v2_scene_logic_probes/_v2_scene_logic_probe_seed7500_f16_r17/logs,EMPTY_PAYLOAD_SUBDIR,최종 구조 안의 빈 하위폴더 — 해당 항목/뼈대의 일부,5,0,0,False,,False,
data/pallet/runs/diagnostics/v2_scene_logic_probes/_v2_scene_logic_probe_seed7500_f16_r17/mask,EMPTY_PAYLOAD_SUBDIR,최종 구조 안의 빈 하위폴더 — 해당 항목/뼈대의 일부,5,0,0,False,,False,
data/pallet/runs/diagnostics/v2_scene_logic_probes/_v2_scene_logic_probe_seed7500_f16_r17/rgb,EMPTY_PAYLOAD_SUBDIR,최종 구조 안의 빈 하위폴더 — 해당 항목/뼈대의 일부,5,0,0,False,,False,
data/pallet/runs/diagnostics/v2_scene_logic_probes/_v2_scene_logic_probe_seed7500_f16_r17_current/logs,EMPTY_PAYLOAD_SUBDIR,최종 구조 안의 빈 하위폴더 — 해당 항목/뼈대의 일부,5,0,0,False,,False,
data/pallet/runs/diagnostics/v2_scene_logic_probes/_v2_scene_logic_probe_seed7500_f16_r18_no_context/labels,EMPTY_PAYLOAD_SUBDIR,최종 구조 안의 빈 하위폴더 — 해당 항목/뼈대의 일부,5,0,0,False,,False,
data/pallet/runs/diagnostics/v2_scene_logic_probes/_v2_scene_logic_probe_seed7500_f16_r18_no_context/logs,EMPTY_PAYLOAD_SUBDIR,최종 구조 안의 빈 하위폴더 — 해당 항목/뼈대의 일부,5,0,0,False,,False,
data/pallet/runs/diagnostics/v2_scene_logic_probes/_v2_scene_logic_probe_seed7500_f16_r18_no_context/mask,EMPTY_PAYLOAD_SUBDIR,최종 구조 안의 빈 하위폴더 — 해당 항목/뼈대의 일부,5,0,0,False,,False,
data/pallet/runs/diagnostics/v2_scene_logic_probes/_v2_scene_logic_probe_seed7500_f16_r18_no_context/rgb,EMPTY_PAYLOAD_SUBDIR,최종 구조 안의 빈 하위폴더 — 해당 항목/뼈대의 일부,5,0,0,False,,False,
data/pallet/runs/diagnostics/v2_scene_logic_probes/_v2_scene_logic_probe_seed7500_f16_r19/labels,EMPTY_PAYLOAD_SUBDIR,최종 구조 안의 빈 하위폴더 — 해당 항목/뼈대의 일부,5,0,0,False,,False,
data/pallet/runs/diagnostics/v2_scene_logic_probes/_v2_scene_logic_probe_seed7500_f16_r19/logs,EMPTY_PAYLOAD_SUBDIR,최종 구조 안의 빈 하위폴더 — 해당 항목/뼈대의 일부,5,0,0,False,,False,
data/pallet/runs/diagnostics/v2_scene_logic_probes/_v2_scene_logic_probe_seed7500_f16_r19/mask,EMPTY_PAYLOAD_SUBDIR,최종 구조 안의 빈 하위폴더 — 해당 항목/뼈대의 일부,5,0,0,False,,False,
data/pallet/runs/diagnostics/v2_scene_logic_probes/_v2_scene_logic_probe_seed7500_f16_r19/rgb,EMPTY_PAYLOAD_SUBDIR,최종 구조 안의 빈 하위폴더 — 해당 항목/뼈대의 일부,5,0,0,False,,False,
data/pallet/runs/diagnostics/v2_scene_logic_probes/_v2_scene_logic_probe_seed7500_f16_r2/labels,EMPTY_PAYLOAD_SUBDIR,최종 구조 안의 빈 하위폴더 — 해당 항목/뼈대의 일부,5,0,0,False,,False,
data/pallet/runs/diagnostics/v2_scene_logic_probes/_v2_scene_logic_probe_seed7500_f16_r2/logs,EMPTY_PAYLOAD_SUBDIR,최종 구조 안의 빈 하위폴더 — 해당 항목/뼈대의 일부,5,0,0,False,,False,
data/pallet/runs/diagnostics/v2_scene_logic_probes/_v2_scene_logic_probe_seed7500_f16_r2/mask,EMPTY_PAYLOAD_SUBDIR,최종 구조 안의 빈 하위폴더 — 해당 항목/뼈대의 일부,5,0,0,False,,False,
data/pallet/runs/diagnostics/v2_scene_logic_probes/_v2_scene_logic_probe_seed7500_f16_r2/rgb,EMPTY_PAYLOAD_SUBDIR,최종 구조 안의 빈 하위폴더 — 해당 항목/뼈대의 일부,5,0,0,False,,False,
data/pallet/runs/diagnostics/v2_scene_logic_probes/_v2_scene_logic_probe_seed7500_f16_r20_support_hits/labels,EMPTY_PAYLOAD_SUBDIR,최종 구조 안의 빈 하위폴더 — 해당 항목/뼈대의 일부,5,0,0,False,,False,
data/pallet/runs/diagnostics/v2_scene_logic_probes/_v2_scene_logic_probe_seed7500_f16_r20_support_hits/logs,EMPTY_PAYLOAD_SUBDIR,최종 구조 안의 빈 하위폴더 — 해당 항목/뼈대의 일부,5,0,0,False,,False,
data/pallet/runs/diagnostics/v2_scene_logic_probes/_v2_scene_logic_probe_seed7500_f16_r20_support_hits/mask,EMPTY_PAYLOAD_SUBDIR,최종 구조 안의 빈 하위폴더 — 해당 항목/뼈대의 일부,5,0,0,False,,False,
data/pallet/runs/diagnostics/v2_scene_logic_probes/_v2_scene_logic_probe_seed7500_f16_r20_support_hits/rgb,EMPTY_PAYLOAD_SUBDIR,최종 구조 안의 빈 하위폴더 — 해당 항목/뼈대의 일부,5,0,0,False,,False,
data/pallet/runs/diagnostics/v2_scene_logic_probes/_v2_scene_logic_probe_seed7500_f16_r21_mesh_contacts/logs,EMPTY_PAYLOAD_SUBDIR,최종 구조 안의 빈 하위폴더 — 해당 항목/뼈대의 일부,5,0,0,False,,False,
data/pallet/runs/diagnostics/v2_scene_logic_probes/_v2_scene_logic_probe_seed7500_f16_r22_best_seed/logs,EMPTY_PAYLOAD_SUBDIR,최종 구조 안의 빈 하위폴더 — 해당 항목/뼈대의 일부,5,0,0,False,,False,
data/pallet/runs/diagnostics/v2_scene_logic_probes/_v2_scene_logic_probe_seed7500_f16_r22_current/logs,EMPTY_PAYLOAD_SUBDIR,최종 구조 안의 빈 하위폴더 — 해당 항목/뼈대의 일부,5,0,0,False,,False,
data/pallet/runs/diagnostics/v2_scene_logic_probes/_v2_scene_logic_probe_seed7500_f16_r23_axis_feedback/logs,EMPTY_PAYLOAD_SUBDIR,최종 구조 안의 빈 하위폴더 — 해당 항목/뼈대의 일부,5,0,0,False,,False,
data/pallet/runs/diagnostics/v2_scene_logic_probes/_v2_scene_logic_probe_seed7500_f16_r24_failclosed/labels,EMPTY_PAYLOAD_SUBDIR,최종 구조 안의 빈 하위폴더 — 해당 항목/뼈대의 일부,5,0,0,False,,False,
data/pallet/runs/diagnostics/v2_scene_logic_probes/_v2_scene_logic_probe_seed7500_f16_r24_failclosed/logs,EMPTY_PAYLOAD_SUBDIR,최종 구조 안의 빈 하위폴더 — 해당 항목/뼈대의 일부,5,0,0,False,,False,
data/pallet/runs/diagnostics/v2_scene_logic_probes/_v2_scene_logic_probe_seed7500_f16_r24_failclosed/mask,EMPTY_PAYLOAD_SUBDIR,최종 구조 안의 빈 하위폴더 — 해당 항목/뼈대의 일부,5,0,0,False,,False,
data/pallet/runs/diagnostics/v2_scene_logic_probes/_v2_scene_logic_probe_seed7500_f16_r24_failclosed/rgb,EMPTY_PAYLOAD_SUBDIR,최종 구조 안의 빈 하위폴더 — 해당 항목/뼈대의 일부,5,0,0,False,,False,
data/pallet/runs/diagnostics/v2_scene_logic_probes/_v2_scene_logic_probe_seed7500_f16_r24_side_seed_axis_feedback/labels,EMPTY_PAYLOAD_SUBDIR,최종 구조 안의 빈 하위폴더 — 해당 항목/뼈대의 일부,5,0,0,False,,False,
data/pallet/runs/diagnostics/v2_scene_logic_probes/_v2_scene_logic_probe_seed7500_f16_r24_side_seed_axis_feedback/logs,EMPTY_PAYLOAD_SUBDIR,최종 구조 안의 빈 하위폴더 — 해당 항목/뼈대의 일부,5,0,0,False,,False,
data/pallet/runs/diagnostics/v2_scene_logic_probes/_v2_scene_logic_probe_seed7500_f16_r24_side_seed_axis_feedback/mask,EMPTY_PAYLOAD_SUBDIR,최종 구조 안의 빈 하위폴더 — 해당 항목/뼈대의 일부,5,0,0,False,,False,
data/pallet/runs/diagnostics/v2_scene_logic_probes/_v2_scene_logic_probe_seed7500_f16_r24_side_seed_axis_feedback/rgb,EMPTY_PAYLOAD_SUBDIR,최종 구조 안의 빈 하위폴더 — 해당 항목/뼈대의 일부,5,0,0,False,,False,
data/pallet/runs/diagnostics/v2_scene_logic_probes/_v2_scene_logic_probe_seed7500_f16_r25_infeasible_guard/labels,EMPTY_PAYLOAD_SUBDIR,최종 구조 안의 빈 하위폴더 — 해당 항목/뼈대의 일부,5,0,0,False,,False,
data/pallet/runs/diagnostics/v2_scene_logic_probes/_v2_scene_logic_probe_seed7500_f16_r25_infeasible_guard/logs,EMPTY_PAYLOAD_SUBDIR,최종 구조 안의 빈 하위폴더 — 해당 항목/뼈대의 일부,5,0,0,False,,False,
data/pallet/runs/diagnostics/v2_scene_logic_probes/_v2_scene_logic_probe_seed7500_f16_r25_infeasible_guard/mask,EMPTY_PAYLOAD_SUBDIR,최종 구조 안의 빈 하위폴더 — 해당 항목/뼈대의 일부,5,0,0,False,,False,
data/pallet/runs/diagnostics/v2_scene_logic_probes/_v2_scene_logic_probe_seed7500_f16_r25_infeasible_guard/rgb,EMPTY_PAYLOAD_SUBDIR,최종 구조 안의 빈 하위폴더 — 해당 항목/뼈대의 일부,5,0,0,False,,False,
data/pallet/runs/diagnostics/v2_scene_logic_probes/_v2_scene_logic_probe_seed7500_f16_r25_side_candidate_feedback/labels,EMPTY_PAYLOAD_SUBDIR,최종 구조 안의 빈 하위폴더 — 해당 항목/뼈대의 일부,5,0,0,False,,False,
