case_id,raw_candidates,unique_geometry,duplicates,stage_crossing_duplicates,stages
102,52,49,3,3,"{""preprobe"": 3, ""primary"": 27, ""prealign-primary"": 6, ""target-seed"": 16}"
104,9,9,0,0,"{""preprobe"": 1, ""target-seed"": 8}"
109,52,49,3,3,"{""preprobe"": 3, ""target-seed"": 16, ""primary"": 27, ""prealign-primary"": 6}"
112,52,49,3,3,"{""preprobe"": 3, ""target-seed"": 16, ""primary"": 27, ""prealign-primary"": 6}"
113,32,31,1,1,"{""preprobe"": 2, ""primary"": 9, ""prealign-primary"": 2, ""target-seed"": 8, ""gate-overlap-refine"": 11}"
118,52,49,3,3,"{""preprobe"": 3, ""target-seed"": 16, ""primary"": 27, ""prealign-primary"": 6}"
120,52,49,3,3,"{""preprobe"": 3, ""primary"": 27, ""prealign-primary"": 6, ""target-seed"": 16}"
121,40,39,1,1,"{""preprobe"": 2, ""target-seed"": 16, ""primary"": 9, ""prealign-primary"": 2, ""gate-overlap-refine"": 11}"
128,52,49,3,3,"{""preprobe"": 3, ""primary"": 27, ""prealign-primary"": 6, ""target-seed"": 16}"
132,29,28,1,1,"{""preprobe"": 2, ""target-seed"": 16, ""primary"": 9, ""prealign-primary"": 2}"
136,30,28,2,2,"{""preprobe"": 2, ""primary"": 18, ""prealign-primary"": 2, ""fine"": 6, ""rescue"": 2}"
137,9,9,0,0,"{""preprobe"": 1, ""target-seed"": 8}"
142,44,42,2,2,"{""preprobe"": 3, ""primary"": 18, ""rescue"": 2, ""target-seed"": 8, ""gate-overlap-refine"": 11, ""prealign-primary"": 2}"
143,52,49,3,3,"{""preprobe"": 3, ""primary"": 27, ""prealign-primary"": 6, ""target-seed"": 16}"
146,60,55,5,5,"{""preprobe"": 3, ""target-seed"": 24, ""primary"": 27, ""prealign-primary"": 6}"
147,29,28,1,1,"{""preprobe"": 2, ""target-seed"": 16, ""primary"": 9, ""prealign-primary"": 2}"
154,60,60,0,0,"{""preprobe"": 3, ""target-seed"": 24, ""corner-contact-refine"": 30, ""primary"": 3}"
155,18,18,0,0,"{""preprobe"": 2, ""target-seed"": 16}"
158,60,57,3,3,"{""preprobe"": 3, ""target-seed"": 24, ""primary"": 27, ""prealign-primary"": 6}"
159,9,9,0,0,"{""preprobe"": 1, ""target-seed"": 8}"
163,52,49,3,3,"{""preprobe"": 3, ""target-seed"": 16, ""primary"": 27, ""prealign-primary"": 6}"
166,31,30,1,1,"{""preprobe"": 2, ""primary"": 9, ""rescue"": 2, ""target-seed"": 8, ""corner-contact-refine"": 10}"
173,60,57,3,3,"{""preprobe"": 3, ""target-seed"": 24, ""primary"": 27, ""prealign-primary"": 6}"
174,9,9,0,0,"{""preprobe"": 1, ""target-seed"": 8}"
176,9,9,0,0,"{""preprobe"": 1, ""target-seed"": 8}"
180,36,33,3,3,"{""preprobe"": 3, ""primary"": 27, ""rescue"": 2, ""prealign-primary"": 4}"
183,60,58,2,2,"{""preprobe"": 3, ""target-seed"": 24, ""gate-overlap-refine"": 11, ""primary"": 18, ""prealign-primary"": 4}"
184,60,59,1,1,"{""preprobe"": 3, ""target-seed"": 24, ""primary"": 9, ""prealign-primary"": 2, ""gate-overlap-refine"": 22}"
187,1,1,0,0,"{""preprobe"": 1}"
192,60,60,0,0,"{""preprobe"": 3, ""target-seed"": 24, ""corner-contact-refine"": 30, ""primary"": 3}"
195,32,31,1,1,"{""preprobe"": 2, ""target-seed"": 8, ""gate-overlap-refine"": 11, ""primary"": 9, ""prealign-primary"": 2}"
199,60,58,2,2,"{""preprobe"": 3, ""target-seed"": 24, ""primary"": 18, ""prealign-primary"": 4, ""gate-overlap-refine"": 11}"
201,29,29,0,0,"{""preprobe"": 2, ""target-seed"": 16, ""gate-overlap-refine"": 11}"
202,10,10,0,0,"{""preprobe"": 2, ""target-seed"": 8}"
209,60,56,4,4,"{""preprobe"": 3, ""target-seed"": 24, ""corner-contact-refine"": 10, ""primary"": 19, ""prealign-primary"": 4}"
211,10,10,0,0,"{""preprobe"": 2, ""target-seed"": 8}"
216,12,11,1,1,"{""preprobe"": 1, ""primary"": 9, ""prealign-primary"": 2}"
217,44,41,3,3,"{""preprobe"": 3, ""target-seed"": 8, ""primary"": 27, ""prealign-primary"": 6}"
219,29,29,0,0,"{""preprobe"": 2, ""target-seed"": 16, ""gate-overlap-refine"": 11}"
222,60,57,3,3,"{""preprobe"": 3, ""target-seed"": 24, ""primary"": 27, ""prealign-primary"": 6}"
225,44,42,2,2,"{""preprobe"": 3, ""target-seed"": 8, ""gate-overlap-refine"": 11, ""primary"": 18, ""prealign-primary"": 4}"
226,36,33,3,3,"{""preprobe"": 3, ""primary"": 27, ""rescue"": 2, ""prealign-primary"": 4}"
229,29,28,1,1,"{""preprobe"": 2, ""target-seed"": 16, ""primary"": 9, ""prealign-primary"": 2}"
231,15,15,0,0,"{""preprobe"": 1, ""target-seed"": 4, ""corner-contact-refine"": 10}"
237,68,66,2,2,"{""preprobe"": 3, ""target-seed"": 24, ""primary"": 18, ""prealign-primary"": 4, ""fine"": 8, ""gate-overlap-refine"": 11}"
238,44,41,3,3,"{""preprobe"": 3, ""primary"": 27, ""prealign-primary"": 6, ""target-seed"": 8}"
242,59,58,1,1,"{""preprobe"": 3, ""target-seed"": 23, ""primary"": 9, ""prealign-primary"": 2, ""gate-overlap-refine"": 22}"
244,9,9,0,0,"{""preprobe"": 1, ""target-seed"": 8}"
