target,blocker_kind,referencing_file,line,reference_form,note
data/pallet/blender_scene,CURRENT_RUNTIME,scripts/data_prep/manage_pallet_data_layout.py,147,literal,stale — 이동이 아니라 참조 정정 대상
data/pallet/training_data,CURRENT_RUNTIME,scripts/data_prep/isaac_sim/generate_all.sh,41,literal,stale — 이동이 아니라 참조 정정 대상
data/pallet/hdri,CURRENT_RUNTIME,scripts/data_prep/isaac_sim/generate_all.sh,44,literal,stale — 이동이 아니라 참조 정정 대상
data/pallet/trunc_addon_v1,CURRENT_RUNTIME,scripts/data_prep/blender/audit_trunc_addon.py,12,literal,stale — 이동이 아니라 참조 정정 대상
data/pallet/training_data,CURRENT_RUNTIME,scripts/data_prep/visualize_inference.py,9,literal,stale — 이동이 아니라 참조 정정 대상
data/pallet/training_data,CURRENT_RUNTIME,scripts/data_prep/visualize_inference.py,185,literal,stale — 이동이 아니라 참조 정정 대상
data/pallet/test_render_v2,CURRENT_RUNTIME,scripts/data_prep/visualize_annotations.py,5,literal,stale — 이동이 아니라 참조 정정 대상
data/pallet/test_render_v2,CURRENT_RUNTIME,scripts/data_prep/visualize_annotations.py,6,literal,stale — 이동이 아니라 참조 정정 대상
data/pallet/test_canonical,CURRENT_RUNTIME,scripts/data_prep/verify_keypoints.py,121,literal,stale — 이동이 아니라 참조 정정 대상
data/pallet/training_data,CURRENT_RUNTIME,scripts/data_prep/isaac_sim/gen_replicator_data.py,14,literal,stale — 이동이 아니라 참조 정정 대상
data/pallet/textures_wood,CURRENT_RUNTIME,scripts/data_prep/blender/blender_config.py,200,literal,stale — 이동이 아니라 참조 정정 대상
data/pallet/training_data,CURRENT_RUNTIME,scripts/data_prep/visualize_pretrain.py,192,literal,stale — 이동이 아니라 참조 정정 대상
data/pallet/textures_floor,CURRENT_RUNTIME,scripts/data_prep/blender/floor_and_mask.py,22,literal,stale — 이동이 아니라 참조 정정 대상
data/pallet/training_data_v4,CURRENT_RUNTIME,scripts/data_prep/blender/gen_4pallet_mask.py,32,literal,stale — 이동이 아니라 참조 정정 대상
data/pallet/training_data_v4,CURRENT_RUNTIME,scripts/data_prep/blender/gen_4pallet_mask.py,672,literal,stale — 이동이 아니라 참조 정정 대상
data/pallet/training_data_v4,CURRENT_RUNTIME,scripts/data_prep/blender/gen_dataset_v4.py,32,literal,stale — 이동이 아니라 참조 정정 대상
data/pallet/training_data_v4,CURRENT_RUNTIME,scripts/data_prep/blender/gen_dataset_v4.py,479,literal,stale — 이동이 아니라 참조 정정 대상
data/pallet/test_palletobj_v1,CURRENT_RUNTIME,scripts/data_prep/blender/gen_palletobj_scenarios.py,31,literal,stale — 이동이 아니라 참조 정정 대상
data/pallet/blender_scene,CURRENT_RUNTIME,scripts/data_prep/blender/gen_palletobj_v1.py,4,literal,stale — 이동이 아니라 참조 정정 대상
data/pallet/test_palletobj_v1,CURRENT_RUNTIME,scripts/data_prep/blender/gen_palletobj_v1.py,6,literal,stale — 이동이 아니라 참조 정정 대상
data/pallet/blender_scene,CURRENT_RUNTIME,scripts/data_prep/blender/gen_palletobj_v1.py,569,literal,stale — 이동이 아니라 참조 정정 대상
data/pallet/blender_scene,CURRENT_RUNTIME,scripts/data_prep/blender/gen_preview10.py,5,literal,stale — 이동이 아니라 참조 정정 대상
data/pallet/_preview10,CURRENT_RUNTIME,scripts/data_prep/blender/gen_preview10.py,8,literal,stale — 이동이 아니라 참조 정정 대상
data/pallet/_test_topview,CURRENT_RUNTIME,scripts/data_prep/blender/gen_topview_test.py,15,literal,stale — 이동이 아니라 참조 정정 대상
data/pallet/blender_scene,CURRENT_RUNTIME,scripts/data_prep/blender/gen_topview_test.py,18,literal,stale — 이동이 아니라 참조 정정 대상
data/pallet/trunc_addon_v1,CURRENT_RUNTIME,scripts/data_prep/blender/gen_trunc_addon.py,38,literal,stale — 이동이 아니라 참조 정정 대상
data/pallet/real_data,CURRENT_TEST,scripts/data_prep/blender/integration_tests/test_pallet_data_paths_local.py,271,literal,stale — 이동이 아니라 참조 정정 대상
data/pallet/hdri,CURRENT_TEST,scripts/data_prep/blender/integration_tests/test_pallet_data_paths_local.py,272,literal,stale — 이동이 아니라 참조 정정 대상
data/pallet/models_usd,CURRENT_TEST,scripts/data_prep/blender/integration_tests/test_pallet_data_paths_local.py,272,literal,stale — 이동이 아니라 참조 정정 대상
data/pallet/pallets_v2_add,CURRENT_TEST,scripts/data_prep/blender/integration_tests/test_pallet_data_paths_local.py,272,literal,stale — 이동이 아니라 참조 정정 대상
data/pallet/test_indoor_v1,CURRENT_RUNTIME,scripts/data_prep/blender/render_indoor_data.py,29,literal,stale — 이동이 아니라 참조 정정 대상
data/pallet/blender_scene,CURRENT_RUNTIME,scripts/data_prep/blender/run_chunks_v2.sh,9,literal,stale — 이동이 아니라 참조 정정 대상
data/pallet/train_palletobj_v2,CURRENT_RUNTIME,scripts/data_prep/blender/run_chunks_v2.sh,11,literal,stale — 이동이 아니라 참조 정정 대상
data/pallet/train_palletobj_addon_v1_gen.log),CURRENT_RUNTIME,scripts/data_prep/blender/run_addon_v1.sh,6,literal,stale — 이동이 아니라 참조 정정 대상
data/pallet/blender_scene,CURRENT_RUNTIME,scripts/data_prep/blender/run_addon_v1.sh,8,literal,stale — 이동이 아니라 참조 정정 대상
data/pallet/train_palletobj_addon_v1,CURRENT_RUNTIME,scripts/data_prep/blender/run_addon_v1.sh,10,literal,stale — 이동이 아니라 참조 정정 대상
data/pallet/train_palletobj_addon_v2,CURRENT_RUNTIME,scripts/data_prep/blender/run_addon_v1.sh,30,literal,stale — 이동이 아니라 참조 정정 대상
data/pallet/train_palletobj_addon_v1,CURRENT_RUNTIME,scripts/data_prep/blender/run_addon_v1.sh,39,literal,stale — 이동이 아니라 참조 정정 대상
data/pallet/blender_scene,CURRENT_RUNTIME,scripts/data_prep/blender/run_addon_v1.sh,56,literal,stale — 이동이 아니라 참조 정정 대상
data/pallet/train_palletobj_addon_v2,CURRENT_RUNTIME,scripts/data_prep/blender/run_addon_v1.sh,77,literal,stale — 이동이 아니라 참조 정정 대상
data/pallet/train_4pallet_mask_v1_pilot,CURRENT_RUNTIME,scripts/data_prep/blender/run_4pallet_mask.sh,18,literal,stale — 이동이 아니라 참조 정정 대상
data/pallet/train_4pallet_mask_v1,CURRENT_RUNTIME,scripts/data_prep/blender/run_4pallet_mask.sh,19,literal,stale — 이동이 아니라 참조 정정 대상
data/pallet/train_4pallet_mask_v1_pilot,CURRENT_RUNTIME,scripts/data_prep/blender/run_4pallet_mask.sh,23,literal,stale — 이동이 아니라 참조 정정 대상
data/pallet/train_palletobj_v1,CURRENT_RUNTIME,scripts/data_prep/blender/run_mass_10k.py,19,literal,stale — 이동이 아니라 참조 정정 대상
data/pallet/test_palletobj_r3,CURRENT_RUNTIME,scripts/data_prep/blender/run_dataset_v4.sh,15,literal,stale — 이동이 아니라 참조 정정 대상
data/pallet/training_data_v4,CURRENT_RUNTIME,scripts/data_prep/blender/run_dataset_v4.sh,28,literal,stale — 이동이 아니라 참조 정정 대상
data/pallet/training_data_v4,CURRENT_RUNTIME,scripts/data_prep/blender/run_dataset_v4.sh,34,literal,stale — 이동이 아니라 참조 정정 대상
data/pallet/blender_scene,CURRENT_RUNTIME,scripts/data_prep/blender/run_chunks.sh,17,literal,stale — 이동이 아니라 참조 정정 대상
data/pallet/train_palletobj_v1,CURRENT_RUNTIME,scripts/data_prep/blender/run_chunks.sh,19,literal,stale — 이동이 아니라 참조 정정 대상
data/pallet/blender_scene,CURRENT_RUNTIME,scripts/data_prep/blender/run_trunc_addon.py,6,literal,stale — 이동이 아니라 참조 정정 대상
data/pallet/trunc_addon_v1,CURRENT_RUNTIME,scripts/data_prep/blender/run_trunc_addon.py,8,literal,stale — 이동이 아니라 참조 정정 대상
data/pallet/trunc_addon_v1,CURRENT_RUNTIME,scripts/data_prep/blender/run_trunc_addon.py,29,literal,stale — 이동이 아니라 참조 정정 대상
data/pallet/_v2_usable50,CURRENT_RUNTIME,scripts/data_prep/blender/run_v2_scene_logic.py,27,literal,stale — 이동이 아니라 참조 정정 대상
data/pallet/run_sel,CURRENT_TEST,scripts/data_prep/blender/tests/test_manage_pallet_data_layout.py,246,literal,stale — 이동이 아니라 참조 정정 대상
data/pallet/run_all,CURRENT_TEST,scripts/data_prep/blender/tests/test_manage_pallet_data_layout.py,255,literal,stale — 이동이 아니라 참조 정정 대상
data/pallet/run_ts,CURRENT_TEST,scripts/data_prep/blender/tests/test_manage_pallet_data_layout.py,267,literal,stale — 이동이 아니라 참조 정정 대상
data/pallet/run_leg,CURRENT_TEST,scripts/data_prep/blender/tests/test_manage_pallet_data_layout.py,296,literal,stale — 이동이 아니라 참조 정정 대상
data/pallet/run_p,CURRENT_TEST,scripts/data_prep/blender/tests/test_manage_pallet_data_layout.py,313,literal,stale — 이동이 아니라 참조 정정 대상
data/pallet/run_q,CURRENT_TEST,scripts/data_prep/blender/tests/test_manage_pallet_data_layout.py,321,literal,stale — 이동이 아니라 참조 정정 대상
data/pallet/run_r,CURRENT_TEST,scripts/data_prep/blender/tests/test_manage_pallet_data_layout.py,331,literal,stale — 이동이 아니라 참조 정정 대상
data/pallet/run_s,CURRENT_TEST,scripts/data_prep/blender/tests/test_manage_pallet_data_layout.py,338,literal,stale — 이동이 아니라 참조 정정 대상
data/pallet/run_t,CURRENT_TEST,scripts/data_prep/blender/tests/test_manage_pallet_data_layout.py,348,literal,stale — 이동이 아니라 참조 정정 대상
data/pallet/run_u,CURRENT_TEST,scripts/data_prep/blender/tests/test_manage_pallet_data_layout.py,357,literal,stale — 이동이 아니라 참조 정정 대상
data/pallet/run_v,CURRENT_TEST,scripts/data_prep/blender/tests/test_manage_pallet_data_layout.py,365,literal,stale — 이동이 아니라 참조 정정 대상
data/pallet/run_w1,CURRENT_TEST,scripts/data_prep/blender/tests/test_manage_pallet_data_layout.py,379,literal,stale — 이동이 아니라 참조 정정 대상
data/pallet/run_w2,CURRENT_TEST,scripts/data_prep/blender/tests/test_manage_pallet_data_layout.py,380,literal,stale — 이동이 아니라 참조 정정 대상
data/pallet/run_w3,CURRENT_TEST,scripts/data_prep/blender/tests/test_manage_pallet_data_layout.py,381,literal,stale — 이동이 아니라 참조 정정 대상
data/pallet/run_rb,CURRENT_TEST,scripts/data_prep/blender/tests/test_manage_pallet_data_layout.py,393,literal,stale — 이동이 아니라 참조 정정 대상
data/pallet/run_rc,CURRENT_TEST,scripts/data_prep/blender/tests/test_manage_pallet_data_layout.py,404,literal,stale — 이동이 아니라 참조 정정 대상
data/pallet/run_o1,CURRENT_TEST,scripts/data_prep/blender/tests/test_manage_pallet_data_layout.py,417,literal,stale — 이동이 아니라 참조 정정 대상
data/pallet/run_o2,CURRENT_TEST,scripts/data_prep/blender/tests/test_manage_pallet_data_layout.py,418,literal,stale — 이동이 아니라 참조 정정 대상
data/pallet/run_z,CURRENT_TEST,scripts/data_prep/blender/tests/test_manage_pallet_data_layout.py,427,literal,stale — 이동이 아니라 참조 정정 대상
data/pallet/run_id,CURRENT_TEST,scripts/data_prep/blender/tests/test_manage_pallet_data_layout.py,433,literal,stale — 이동이 아니라 참조 정정 대상
data/pallet/run_guard,CURRENT_TEST,scripts/data_prep/blender/tests/test_manage_pallet_data_layout.py,466,literal,stale — 이동이 아니라 참조 정정 대상
data/pallet/blender_scene,CURRENT_TEST,scripts/data_prep/blender/tests/test_pallet_data_paths_unit.py,31,literal,stale — 이동이 아니라 참조 정정 대상
data/pallet/background,CURRENT_TEST,scripts/data_prep/blender/tests/test_pallet_data_paths_unit.py,32,literal,stale — 이동이 아니라 참조 정정 대상
data/pallet/distractors,CURRENT_TEST,scripts/data_prep/blender/tests/test_pallet_data_paths_unit.py,33,literal,stale — 이동이 아니라 참조 정정 대상
data/pallet/distractors,CURRENT_TEST,scripts/data_prep/blender/tests/test_pallet_data_paths_unit.py,34,literal,stale — 이동이 아니라 참조 정정 대상
data/pallet/hdri,CURRENT_TEST,scripts/data_prep/blender/tests/test_pallet_data_paths_unit.py,35,literal,stale — 이동이 아니라 참조 정정 대상
data/pallet/models_usd,CURRENT_TEST,scripts/data_prep/blender/tests/test_pallet_data_paths_unit.py,38,literal,stale — 이동이 아니라 참조 정정 대상
data/pallet/pallets_v2_add,CURRENT_TEST,scripts/data_prep/blender/tests/test_pallet_data_paths_unit.py,38,literal,stale — 이동이 아니라 참조 정정 대상
data/pallet/real_data,CURRENT_TEST,scripts/data_prep/blender/tests/test_pallet_data_paths_unit.py,40,literal,stale — 이동이 아니라 참조 정정 대상
data/pallet/blender_scene,CURRENT_TEST,scripts/data_prep/blender/tests/test_pallet_data_paths_unit.py,50,literal,stale — 이동이 아니라 참조 정정 대상
data/pallet/background,CURRENT_TEST,scripts/data_prep/blender/tests/test_pallet_data_paths_unit.py,51,literal,stale — 이동이 아니라 참조 정정 대상
data/pallet/distractors,CURRENT_TEST,scripts/data_prep/blender/tests/test_pallet_data_paths_unit.py,52,literal,stale — 이동이 아니라 참조 정정 대상
data/pallet/hdri,CURRENT_TEST,scripts/data_prep/blender/tests/test_pallet_data_paths_unit.py,53,literal,stale — 이동이 아니라 참조 정정 대상
data/pallet/models_usd,CURRENT_TEST,scripts/data_prep/blender/tests/test_pallet_data_paths_unit.py,57,literal,stale — 이동이 아니라 참조 정정 대상
data/pallet/pallets_v2_add,CURRENT_TEST,scripts/data_prep/blender/tests/test_pallet_data_paths_unit.py,58,literal,stale — 이동이 아니라 참조 정정 대상
data/pallet/real_data,CURRENT_TEST,scripts/data_prep/blender/tests/test_pallet_data_paths_unit.py,60,literal,stale — 이동이 아니라 참조 정정 대상
data/pallet/blender_scene,CURRENT_TEST,scripts/data_prep/blender/tests/test_pallet_data_paths_unit.py,65,literal,stale — 이동이 아니라 참조 정정 대상
data/pallet/distractors,CURRENT_TEST,scripts/data_prep/blender/tests/test_pallet_data_paths_unit.py,66,literal,stale — 이동이 아니라 참조 정정 대상
data/pallet/hdri,CURRENT_TEST,scripts/data_prep/blender/tests/test_pallet_data_paths_unit.py,131,literal,stale — 이동이 아니라 참조 정정 대상
data/pallet/models_usd,CURRENT_TEST,scripts/data_prep/blender/tests/test_pallet_data_paths_unit.py,161,literal,stale — 이동이 아니라 참조 정정 대상
data/pallet/pallets_v2_add,CURRENT_TEST,scripts/data_prep/blender/tests/test_pallet_data_paths_unit.py,161,literal,stale — 이동이 아니라 참조 정정 대상
data/pallet/hdri,CURRENT_TEST,scripts/data_prep/blender/tests/test_pallet_data_paths_unit.py,252,literal,stale — 이동이 아니라 참조 정정 대상
data/pallet/__no_such_dir__,CURRENT_TEST,scripts/data_prep/blender/tests/test_pallet_data_paths_unit.py,291,literal,stale — 이동이 아니라 참조 정정 대상
data/pallet/__not_created_yet__,CURRENT_TEST,scripts/data_prep/blender/tests/test_pallet_data_paths_unit.py,301,literal,stale — 이동이 아니라 참조 정정 대상
data/pallet/__no_such_dir__,CURRENT_TEST,scripts/data_prep/blender/tests/test_pallet_data_paths_unit.py,322,literal,stale — 이동이 아니라 참조 정정 대상
data/pallet/models_usd,CURRENT_TEST,scripts/data_prep/blender/tests/test_pallet_data_paths_unit.py,329,literal,stale — 이동이 아니라 참조 정정 대상
data/pallet/__nope__,CURRENT_TEST,scripts/data_prep/blender/tests/test_pallet_data_paths_unit.py,329,literal,stale — 이동이 아니라 참조 정정 대상
data/pallet/blender_scene,CURRENT_TEST,scripts/data_prep/blender/tests/test_pallet_data_paths_unit.py,414,literal,stale — 이동이 아니라 참조 정정 대상
data/pallet/distractors,CURRENT_TEST,scripts/data_prep/blender/tests/test_pallet_data_paths_unit.py,414,literal,stale — 이동이 아니라 참조 정정 대상
data/pallet/background,CURRENT_TEST,scripts/data_prep/blender/tests/test_pallet_data_paths_unit.py,414,literal,stale — 이동이 아니라 참조 정정 대상
data/pallet/__no_such_dir__,CURRENT_TEST,scripts/data_prep/blender/tests/test_pallet_data_paths_unit.py,539,literal,stale — 이동이 아니라 참조 정정 대상
data/pallet/__not_created_yet__,CURRENT_TEST,scripts/data_prep/blender/tests/test_pallet_data_paths_unit.py,547,literal,stale — 이동이 아니라 참조 정정 대상
data/pallet/background,CURRENT_TEST,scripts/data_prep/blender/tests/test_stage2c2_layout_policy.py,76,literal,stale — 이동이 아니라 참조 정정 대상
data/pallet/background,CURRENT_TEST,scripts/data_prep/blender/tests/test_stage2c2_layout_policy.py,77,literal,stale — 이동이 아니라 참조 정정 대상
data/pallet/background,CURRENT_TEST,scripts/data_prep/blender/tests/test_stage2c2_layout_policy.py,78,literal,stale — 이동이 아니라 참조 정정 대상
data/pallet/background,CURRENT_TEST,scripts/data_prep/blender/tests/test_stage2c2_layout_policy.py,79,literal,stale — 이동이 아니라 참조 정정 대상
data/pallet/background,CURRENT_TEST,scripts/data_prep/blender/tests/test_stage2c2_layout_policy.py,81,literal,stale — 이동이 아니라 참조 정정 대상
data/pallet/background,CURRENT_TEST,scripts/data_prep/blender/tests/test_stage2c2_layout_policy.py,82,literal,stale — 이동이 아니라 참조 정정 대상
data/pallet/distractors,CURRENT_TEST,scripts/data_prep/blender/tests/test_stage2c2_layout_policy.py,85,literal,stale — 이동이 아니라 참조 정정 대상
data/pallet/distractors,CURRENT_TEST,scripts/data_prep/blender/tests/test_stage2c2_layout_policy.py,86,literal,stale — 이동이 아니라 참조 정정 대상
data/pallet/distractors,CURRENT_TEST,scripts/data_prep/blender/tests/test_stage2c2_layout_policy.py,87,literal,stale — 이동이 아니라 참조 정정 대상
data/pallet/blender_scene,CURRENT_TEST,scripts/data_prep/blender/tests/test_stage2c2_layout_policy.py,90,literal,stale — 이동이 아니라 참조 정정 대상
data/pallet/blender_scene,CURRENT_TEST,scripts/data_prep/blender/tests/test_stage2c2_layout_policy.py,91,literal,stale — 이동이 아니라 참조 정정 대상
data/pallet/distractors,CURRENT_TEST,scripts/data_prep/blender/tests/test_stage2c2_layout_policy.py,127,literal,stale — 이동이 아니라 참조 정정 대상
data/pallet/blender_scene,CURRENT_TEST,scripts/data_prep/blender/tests/test_stage2c2_layout_policy.py,128,literal,stale — 이동이 아니라 참조 정정 대상
data/pallet/distractors,CURRENT_TEST,scripts/data_prep/blender/tests/test_stage2c2_layout_policy.py,132,literal,stale — 이동이 아니라 참조 정정 대상
data/pallet/blender_scene,CURRENT_TEST,scripts/data_prep/blender/tests/test_stage2c2_layout_policy.py,132,literal,stale — 이동이 아니라 참조 정정 대상
data/pallet/background,CURRENT_TEST,scripts/data_prep/blender/tests/test_stage2c2_layout_policy.py,138,literal,stale — 이동이 아니라 참조 정정 대상
data/pallet/background,CURRENT_TEST,scripts/data_prep/blender/tests/test_stage2c2_layout_policy.py,147,literal,stale — 이동이 아니라 참조 정정 대상
data/pallet/background,CURRENT_TEST,scripts/data_prep/blender/tests/test_stage2c2_layout_policy.py,154,literal,stale — 이동이 아니라 참조 정정 대상
data/pallet/background,CURRENT_TEST,scripts/data_prep/blender/tests/test_stage2c2_layout_policy.py,164,literal,stale — 이동이 아니라 참조 정정 대상
data/pallet/background,CURRENT_TEST,scripts/data_prep/blender/tests/test_stage2c2_layout_policy.py,166,literal,stale — 이동이 아니라 참조 정정 대상
data/pallet/background,CURRENT_TEST,scripts/data_prep/blender/tests/test_stage2c2_layout_policy.py,173,literal,stale — 이동이 아니라 참조 정정 대상
data/pallet/background,CURRENT_TEST,scripts/data_prep/blender/tests/test_stage2c2_layout_policy.py,183,literal,stale — 이동이 아니라 참조 정정 대상
data/pallet/background,CURRENT_TEST,scripts/data_prep/blender/tests/test_stage2c2_layout_policy.py,189,literal,stale — 이동이 아니라 참조 정정 대상
data/pallet/background,CURRENT_TEST,scripts/data_prep/blender/tests/test_stage2c2_layout_policy.py,219,literal,stale — 이동이 아니라 참조 정정 대상
data/pallet/background,CURRENT_TEST,scripts/data_prep/blender/tests/test_stage2c2_layout_policy.py,230,literal,stale — 이동이 아니라 참조 정정 대상
data/pallet/background,CURRENT_TEST,scripts/data_prep/blender/tests/test_stage2c2_layout_policy.py,231,literal,stale — 이동이 아니라 참조 정정 대상
data/pallet/distractors,CURRENT_TEST,scripts/data_prep/blender/tests/test_stage2c2_layout_policy.py,290,literal,stale — 이동이 아니라 참조 정정 대상
data/pallet/distractors,CURRENT_TEST,scripts/data_prep/blender/tests/test_stage2c2_layout_policy.py,301,literal,stale — 이동이 아니라 참조 정정 대상
data/pallet/blender_scene,CURRENT_TEST,scripts/data_prep/blender/tests/test_stage2c2_layout_policy.py,302,literal,stale — 이동이 아니라 참조 정정 대상
data/pallet/distractors,CURRENT_TEST,scripts/data_prep/blender/tests/test_stage2c2_layout_policy.py,311,literal,stale — 이동이 아니라 참조 정정 대상
data/pallet/blender_scene,CURRENT_TEST,scripts/data_prep/blender/tests/test_stage2c2_layout_policy.py,312,literal,stale — 이동이 아니라 참조 정정 대상
