relative_path,type,file_count,total_bytes,modified_min,modified_max,role
archive/test_blender_v11,dir,30,9646016,2026-03-26,2026-03-26,LEGACY_DATASET_OR_RUN
archive/_floor_smoke10,dir,33,9620190,2026-06-17,2026-06-17,LEGACY_DATASET_OR_RUN
archive/test_blender_v31,dir,30,9592334,2026-03-26,2026-03-26,LEGACY_DATASET_OR_RUN
archive/test_blender_v17,dir,30,9581741,2026-03-26,2026-03-26,LEGACY_DATASET_OR_RUN
archive/test_blender_v15,dir,30,9567223,2026-03-26,2026-03-26,LEGACY_DATASET_OR_RUN
archive/test_blender_v13,dir,30,9562151,2026-03-26,2026-03-26,LEGACY_DATASET_OR_RUN
archive/test_blender_v23,dir,30,9559885,2026-03-26,2026-03-26,LEGACY_DATASET_OR_RUN
archive/test_blender_v29,dir,30,9553232,2026-03-26,2026-03-26,LEGACY_DATASET_OR_RUN
archive/test_blender_v5,dir,30,9508128,2026-03-26,2026-03-26,LEGACY_DATASET_OR_RUN
archive/test_blender_v41,dir,30,9505780,2026-03-27,2026-03-27,LEGACY_DATASET_OR_RUN
archive/test_blender_v22,dir,30,9501126,2026-03-26,2026-03-26,LEGACY_DATASET_OR_RUN
archive/test_blender_v4,dir,30,9496976,2026-03-26,2026-03-26,LEGACY_DATASET_OR_RUN
archive/test_blender_v8,dir,30,9494168,2026-03-26,2026-03-26,LEGACY_DATASET_OR_RUN
archive/test_blender_v25,dir,30,9484742,2026-03-26,2026-03-26,LEGACY_DATASET_OR_RUN
archive/test_blender_v36,dir,30,9466013,2026-03-27,2026-03-27,LEGACY_DATASET_OR_RUN
archive/test_blender_v40,dir,30,9450482,2026-03-27,2026-03-27,LEGACY_DATASET_OR_RUN
archive/test_blender_v20,dir,30,9449852,2026-03-26,2026-03-26,LEGACY_DATASET_OR_RUN
archive/test_blender_v39,dir,30,9424508,2026-03-27,2026-03-27,LEGACY_DATASET_OR_RUN
archive/test_blender_v26,dir,30,9421985,2026-03-26,2026-03-26,LEGACY_DATASET_OR_RUN
archive/test_blender_v18,dir,30,9416465,2026-03-26,2026-03-26,LEGACY_DATASET_OR_RUN
archive/test_blender_v38,dir,30,9410447,2026-03-27,2026-03-27,LEGACY_DATASET_OR_RUN
archive/test_blender_v28,dir,30,9383844,2026-03-26,2026-03-26,LEGACY_DATASET_OR_RUN
archive/test_blender_v16,dir,30,9376375,2026-03-26,2026-03-26,LEGACY_DATASET_OR_RUN
archive/test_blender_v27,dir,30,9357288,2026-03-26,2026-03-26,LEGACY_DATASET_OR_RUN
archive/test_blender_v24,dir,30,9340760,2026-03-26,2026-03-26,LEGACY_DATASET_OR_RUN
archive/test_blender_v61,dir,30,9283276,2026-04-04,2026-04-04,LEGACY_DATASET_OR_RUN
archive/test_blender_v60,dir,30,9258927,2026-04-04,2026-04-04,LEGACY_DATASET_OR_RUN
archive/test_blender_v10,dir,30,9258721,2026-03-26,2026-03-26,LEGACY_DATASET_OR_RUN
archive/test_blender_v62,dir,30,9144406,2026-04-04,2026-04-04,LEGACY_DATASET_OR_RUN
archive/test_blender_v42,dir,30,9134188,2026-03-27,2026-03-27,LEGACY_DATASET_OR_RUN
archive/test_blender_v9,dir,30,8924538,2026-03-26,2026-03-26,LEGACY_DATASET_OR_RUN
archive/test_blender_v59,dir,30,8871584,2026-04-04,2026-04-04,LEGACY_DATASET_OR_RUN
archive/test_blender_v45,dir,30,8837235,2026-03-27,2026-03-27,LEGACY_DATASET_OR_RUN
archive/test_palletobj_r4,dir,30,8825616,2026-05-19,2026-05-19,LEGACY_DATASET_OR_RUN
archive/test_blender_v58,dir,30,8661654,2026-04-04,2026-04-04,LEGACY_DATASET_OR_RUN
archive/test_blender_v63,dir,30,8576032,2026-04-04,2026-04-04,LEGACY_DATASET_OR_RUN
archive/_floor_applied14,dir,16,8575358,2026-06-16,2026-06-16,LEGACY_DATASET_OR_RUN
archive/test_blender_v48,dir,30,8494172,2026-03-27,2026-03-27,LEGACY_DATASET_OR_RUN
archive/_addon_pilot2,dir,33,8488781,2026-06-25,2026-06-25,LEGACY_DATASET_OR_RUN
archive/test_palletobj_r3,dir,30,8393492,2026-05-19,2026-05-19,LEGACY_DATASET_OR_RUN
archive/test_blender_v44,dir,30,8264108,2026-03-27,2026-03-27,LEGACY_DATASET_OR_RUN
archive/test_palletobj_v1,dir,31,8242169,2026-05-19,2026-05-19,LEGACY_DATASET_OR_RUN
archive/test_blender_v43,dir,30,8192271,2026-03-27,2026-03-27,LEGACY_DATASET_OR_RUN
archive/test_blender_v46,dir,30,8183335,2026-03-27,2026-03-27,LEGACY_DATASET_OR_RUN
archive/test_palletobj_r1,dir,30,8139664,2026-05-19,2026-05-19,LEGACY_DATASET_OR_RUN
archive/test_palletobj_r2,dir,30,8123887,2026-05-19,2026-05-19,LEGACY_DATASET_OR_RUN
archive/test_blender_v51,dir,27,7997566,2026-03-27,2026-03-27,LEGACY_DATASET_OR_RUN
archive/test_palletobj_cargo,dir,27,7645902,2026-05-19,2026-05-19,LEGACY_DATASET_OR_RUN
archive/test_blender_v53,dir,27,7568421,2026-03-27,2026-03-27,LEGACY_DATASET_OR_RUN
archive/test_palletobj_cargo_v2,dir,27,7333315,2026-05-19,2026-05-19,LEGACY_DATASET_OR_RUN
archive/test_iter5,dir,30,6320702,2026-03-11,2026-03-11,LEGACY_DATASET_OR_RUN
archive/test_blender_v54,dir,21,6245323,2026-03-27,2026-03-27,LEGACY_DATASET_OR_RUN
archive/_floor_fix_test,dir,7,6180215,2026-06-17,2026-06-17,LEGACY_DATASET_OR_RUN
archive/_diag_pallet3,dir,26,5862609,2026-06-16,2026-06-16,LEGACY_DATASET_OR_RUN
archive/test_iter8,dir,30,5770157,2026-03-11,2026-03-11,LEGACY_DATASET_OR_RUN
archive/test_indoor,dir,18,5662647,2026-04-07,2026-04-07,LEGACY_DATASET_OR_RUN
archive/test_blender_v52,dir,18,5538912,2026-03-27,2026-03-27,LEGACY_DATASET_OR_RUN
archive/test_iter4,dir,30,5062922,2026-03-11,2026-03-11,LEGACY_DATASET_OR_RUN
archive/test_blender_v57,dir,18,4925900,2026-03-27,2026-03-27,LEGACY_DATASET_OR_RUN
archive/test_blender_v3,dir,20,4546354,2026-03-26,2026-03-26,LEGACY_DATASET_OR_RUN
archive/test_blender_v2,dir,20,4526604,2026-03-26,2026-03-26,LEGACY_DATASET_OR_RUN
archive/test_iter2,dir,24,4524045,2026-03-11,2026-03-11,LEGACY_DATASET_OR_RUN
archive/test_final_check,dir,24,4486280,2026-03-11,2026-03-11,LEGACY_DATASET_OR_RUN
archive/test_iter6,dir,30,4416054,2026-03-11,2026-03-11,LEGACY_DATASET_OR_RUN
archive/test_blender_v56,dir,15,4389603,2026-03-27,2026-03-27,LEGACY_DATASET_OR_RUN
archive/_mesh_proc_compare,dir,10,4316539,2026-06-23,2026-06-23,LEGACY_DATASET_OR_RUN
archive/_addon_pilot3,dir,17,4033900,2026-06-25,2026-06-25,LEGACY_DATASET_OR_RUN
archive/_pallet_catalog_0123,dir,6,3936989,2026-07-23,2026-07-23,LEGACY_DATASET_OR_RUN
archive/test_blender_v34,dir,12,3904075,2026-03-27,2026-03-27,LEGACY_DATASET_OR_RUN
archive/test_blender_v37,dir,12,3739542,2026-03-27,2026-03-27,LEGACY_DATASET_OR_RUN
archive/test_v4_bright,dir,30,3670256,2026-03-10,2026-03-10,LEGACY_DATASET_OR_RUN
archive/test_blender_v55,dir,12,3622759,2026-03-27,2026-03-27,LEGACY_DATASET_OR_RUN
archive/test_iter9,dir,24,3495525,2026-03-11,2026-03-12,LEGACY_DATASET_OR_RUN
archive/test_yup,dir,12,3472028,2026-03-12,2026-03-12,LEGACY_DATASET_OR_RUN
archive/test_blender_v47,dir,12,3422037,2026-03-27,2026-03-27,LEGACY_DATASET_OR_RUN
archive/test_fix_scene,dir,12,3018383,2026-03-12,2026-03-12,LEGACY_DATASET_OR_RUN
archive/test_fix_axis,dir,12,2631999,2026-03-12,2026-03-12,LEGACY_DATASET_OR_RUN
archive/test_models,dir,12,2622952,2026-03-12,2026-03-12,LEGACY_DATASET_OR_RUN
archive/test_diagnose,dir,12,2494246,2026-03-11,2026-03-11,LEGACY_DATASET_OR_RUN
archive/test_diagnose3,dir,12,2402277,2026-03-11,2026-03-11,LEGACY_DATASET_OR_RUN
archive/test_diagnose2,dir,12,2395363,2026-03-11,2026-03-11,LEGACY_DATASET_OR_RUN
archive/test_canonical,dir,12,2099345,2026-03-11,2026-03-11,LEGACY_DATASET_OR_RUN
archive/runtime_pallet_debug,dir,4,1819819,2026-03-27,2026-03-27,LEGACY_DATASET_OR_RUN
archive/test_v3_guide,dir,20,1643891,2026-03-10,2026-03-10,LEGACY_DATASET_OR_RUN
archive/_perm_v4_fix_check,dir,3,1566324,2026-07-03,2026-07-03,LEGACY_DATASET_OR_RUN
archive/rotation_debug,dir,4,1550217,2026-03-27,2026-03-27,LEGACY_DATASET_OR_RUN
archive/_floor_emit,dir,6,1539034,2026-06-16,2026-06-16,LEGACY_DATASET_OR_RUN
archive/test_v8_lowbounce,dir,15,1414692,2026-03-10,2026-03-10,LEGACY_DATASET_OR_RUN
archive/test_blender_v50,dir,3,914907,2026-03-27,2026-03-27,LEGACY_DATASET_OR_RUN
archive/_noai_quarantine_usd,dir,3,738082,2026-03-04,2026-07-24,LICENSE_QUARANTINE
archive/test_v4_pt,dir,10,731812,2026-03-10,2026-03-10,LEGACY_DATASET_OR_RUN
archive/test_v5_pt32,dir,10,716911,2026-03-10,2026-03-10,LEGACY_DATASET_OR_RUN
archive/test_v7_reinhard2,dir,10,687908,2026-03-10,2026-03-10,LEGACY_DATASET_OR_RUN
archive/test_v6_reinhard,dir,6,378477,2026-03-10,2026-03-10,LEGACY_DATASET_OR_RUN
archive/usd_debug,dir,5,342314,2026-03-27,2026-03-27,LEGACY_DATASET_OR_RUN
archive/_mask_poc,dir,1,66471,2026-06-23,2026-06-23,LEGACY_DATASET_OR_RUN
archive/README.md,file,1,3416,,,DOC
archive/corrupt,dir,0,0,,,STAGE2A_SKELETON(빈 폴더)
archive/legacy_assets,dir,0,0,,,STAGE2A_SKELETON(빈 폴더)
archive/legacy_datasets,dir,0,0,,,STAGE2A_SKELETON(빈 폴더)
archive/legacy_scenes,dir,0,0,,,STAGE2A_SKELETON(빈 폴더)
archive/nonredistributable,dir,0,0,,,STAGE2A_SKELETON(빈 폴더)
archive/superseded_runs,dir,0,0,,,STAGE2A_SKELETON(빈 폴더)
archive/test_blender_v35,dir,0,0,,,LEGACY_DATASET_OR_RUN
archive/test_blender_v49,dir,0,0,,,LEGACY_DATASET_OR_RUN
archive/unidentified,dir,0,0,,,STAGE2A_SKELETON(빈 폴더)
