path,file_count,total_bytes,image_files,label_json,mask_files,overlay_files,records,top_dirs,batch_layout,zero_byte_files,noai_baked,license_status,classification,evidence
archive/test_blender_v32,57,23413074,47,10,0,10,,comparison;comparison2;comparison3;overlay,False,0,False,미확정 — 개별 확인 필요,PARTIAL_DATASET,레이아웃 지문(image/json/mask/overlay/records)
archive/test_blender_v33,57,23012511,47,10,0,10,,cmp5;cmp6;comparison4;overlay,False,0,False,미확정 — 개별 확인 필요,PARTIAL_DATASET,레이아웃 지문(image/json/mask/overlay/records)
archive/_mat_test10b,51,22847925,39,12,0,10,,closeup;train,False,0,False,미확정 — 개별 확인 필요,PARTIAL_DATASET,레이아웃 지문(image/json/mask/overlay/records)
archive/_addon_pilot,81,20886859,60,21,20,20,_summary.json,mask;overlay,False,0,False,미확정 — 개별 확인 필요,PARTIAL_DATASET,레이아웃 지문(image/json/mask/overlay/records)
archive/_material_compare,44,20303689,43,1,0,0,,,False,0,False,미확정 — 개별 확인 필요,PARTIAL_DATASET,레이아웃 지문(image/json/mask/overlay/records)
archive/_mat_test10e,45,19972697,34,11,0,10,,closeup;train,False,0,False,미확정 — 개별 확인 필요,PARTIAL_DATASET,레이아웃 지문(image/json/mask/overlay/records)
archive/_mat_test10c,44,19425013,33,11,0,10,,closeup;train,False,0,False,미확정 — 개별 확인 필요,PARTIAL_DATASET,레이아웃 지문(image/json/mask/overlay/records)
archive/_cam_test10,42,17418114,30,11,0,10,,train,False,0,False,미확정 — 개별 확인 필요,PARTIAL_DATASET,레이아웃 지문(image/json/mask/overlay/records)
archive/_mat_test10d,41,17311918,30,11,0,10,,train,False,0,False,미확정 — 개별 확인 필요,PARTIAL_DATASET,레이아웃 지문(image/json/mask/overlay/records)
archive/_floor_test10b,33,16487621,22,10,0,10,,overlay,False,0,False,미확정 — 개별 확인 필요,PARTIAL_DATASET,레이아웃 지문(image/json/mask/overlay/records)
archive/_preview10,43,16057584,30,10,0,10,,_crop;images;json;overlay,False,0,False,미확정 — 개별 확인 필요,PARTIAL_DATASET,레이아웃 지문(image/json/mask/overlay/records)
archive/_mat_test10,41,15915563,30,11,0,10,,train,False,0,False,미확정 — 개별 확인 필요,PARTIAL_DATASET,레이아웃 지문(image/json/mask/overlay/records)
archive/_cam_test10b,41,15745613,30,11,0,10,,train,False,0,False,미확정 — 개별 확인 필요,PARTIAL_DATASET,레이아웃 지문(image/json/mask/overlay/records)
archive/test_iter7,70,15098595,40,30,0,10,,overlay,False,0,False,미확정 — 개별 확인 필요,PARTIAL_DATASET,레이아웃 지문(image/json/mask/overlay/records)
archive/_emptywood_test,48,14951374,31,16,0,15,,logs;test_batch_000,False,0,False,미확정 — 개별 확인 필요,PARTIAL_DATASET,레이아웃 지문(image/json/mask/overlay/records)
archive/test_blender_v1,63,14124145,33,30,0,0,,overlay,False,0,False,미확정 — 개별 확인 필요,PARTIAL_DATASET,레이아웃 지문(image/json/mask/overlay/records)
archive/_addon_pilot4,50,13366774,37,13,12,12,_summary.json,mask;overlay,False,0,False,미확정 — 개별 확인 필요,PARTIAL_DATASET,레이아웃 지문(image/json/mask/overlay/records)
archive/_floor_test10b_std,32,13123779,21,10,0,10,,overlay,False,0,False,미확정 — 개별 확인 필요,PARTIAL_DATASET,레이아웃 지문(image/json/mask/overlay/records)
archive/_mask_test10,43,12354122,32,11,10,10,_summary.json,mask;overlay,False,0,False,미확정 — 개별 확인 필요,PARTIAL_DATASET,레이아웃 지문(image/json/mask/overlay/records)
archive/_floor_test10,31,11968317,21,10,0,10,,overlay,False,0,False,미확정 — 개별 확인 필요,PARTIAL_DATASET,레이아웃 지문(image/json/mask/overlay/records)
archive/test_iter3,60,11946459,40,20,0,20,,overlay,False,0,False,미확정 — 개별 확인 필요,PARTIAL_DATASET,레이아웃 지문(image/json/mask/overlay/records)
archive/_procedural_textures,22,11317364,21,0,0,0,,,False,0,False,미확정 — 개별 확인 필요,PARTIAL_DATASET,레이아웃 지문(image/json/mask/overlay/records)
archive/_floor_compare,20,10247704,18,1,0,0,,,False,0,False,미확정 — 개별 확인 필요,PARTIAL_DATASET,레이아웃 지문(image/json/mask/overlay/records)
archive/_mat_test10d_scene3,25,9942873,18,7,0,6,,train,False,0,False,미확정 — 개별 확인 필요,PARTIAL_DATASET,레이아웃 지문(image/json/mask/overlay/records)
archive/test_blender_v19,30,9775801,20,10,0,10,,overlay,False,0,False,미확정 — 개별 확인 필요,PARTIAL_DATASET,레이아웃 지문(image/json/mask/overlay/records)
archive/test_blender_v21,30,9708826,20,10,0,10,,overlay,False,0,False,미확정 — 개별 확인 필요,PARTIAL_DATASET,레이아웃 지문(image/json/mask/overlay/records)
archive/test_blender_v30,30,9682929,20,10,0,10,,overlay,False,0,False,미확정 — 개별 확인 필요,PARTIAL_DATASET,레이아웃 지문(image/json/mask/overlay/records)
archive/test_blender_v12,30,9680287,20,10,0,10,,overlay,False,0,False,미확정 — 개별 확인 필요,PARTIAL_DATASET,레이아웃 지문(image/json/mask/overlay/records)
archive/test_blender_v14,30,9655600,20,10,0,10,,overlay,False,0,False,미확정 — 개별 확인 필요,PARTIAL_DATASET,레이아웃 지문(image/json/mask/overlay/records)
archive/test_blender_v11,30,9646016,20,10,0,10,,overlay,False,0,False,미확정 — 개별 확인 필요,PARTIAL_DATASET,레이아웃 지문(image/json/mask/overlay/records)
archive/_floor_smoke10,33,9620190,22,10,0,10,,logs;overlay,False,0,False,미확정 — 개별 확인 필요,PARTIAL_DATASET,레이아웃 지문(image/json/mask/overlay/records)
archive/test_blender_v31,30,9592334,20,10,0,10,,overlay,False,0,False,미확정 — 개별 확인 필요,PARTIAL_DATASET,레이아웃 지문(image/json/mask/overlay/records)
archive/test_blender_v17,30,9581741,20,10,0,10,,overlay,False,0,False,미확정 — 개별 확인 필요,PARTIAL_DATASET,레이아웃 지문(image/json/mask/overlay/records)
archive/test_blender_v15,30,9567223,20,10,0,10,,overlay,False,0,False,미확정 — 개별 확인 필요,PARTIAL_DATASET,레이아웃 지문(image/json/mask/overlay/records)
archive/test_blender_v13,30,9562151,20,10,0,10,,overlay,False,0,False,미확정 — 개별 확인 필요,PARTIAL_DATASET,레이아웃 지문(image/json/mask/overlay/records)
archive/test_blender_v23,30,9559885,20,10,0,10,,overlay,False,0,False,미확정 — 개별 확인 필요,PARTIAL_DATASET,레이아웃 지문(image/json/mask/overlay/records)
archive/test_blender_v29,30,9553232,20,10,0,10,,overlay,False,0,False,미확정 — 개별 확인 필요,PARTIAL_DATASET,레이아웃 지문(image/json/mask/overlay/records)
archive/test_blender_v5,30,9508128,20,10,0,10,,overlay,False,0,False,미확정 — 개별 확인 필요,PARTIAL_DATASET,레이아웃 지문(image/json/mask/overlay/records)
archive/test_blender_v41,30,9505780,20,10,0,10,,overlay,False,0,False,미확정 — 개별 확인 필요,PARTIAL_DATASET,레이아웃 지문(image/json/mask/overlay/records)
archive/test_blender_v22,30,9501126,20,10,0,10,,overlay,False,0,False,미확정 — 개별 확인 필요,PARTIAL_DATASET,레이아웃 지문(image/json/mask/overlay/records)
archive/test_blender_v4,30,9496976,20,10,0,10,,overlay,False,0,False,미확정 — 개별 확인 필요,PARTIAL_DATASET,레이아웃 지문(image/json/mask/overlay/records)
archive/test_blender_v8,30,9494168,20,10,0,10,,overlay,False,0,False,미확정 — 개별 확인 필요,PARTIAL_DATASET,레이아웃 지문(image/json/mask/overlay/records)
archive/test_blender_v25,30,9484742,20,10,0,10,,overlay,False,0,False,미확정 — 개별 확인 필요,PARTIAL_DATASET,레이아웃 지문(image/json/mask/overlay/records)
archive/test_blender_v36,30,9466013,20,10,0,10,,overlay,False,0,False,미확정 — 개별 확인 필요,PARTIAL_DATASET,레이아웃 지문(image/json/mask/overlay/records)
archive/test_blender_v40,30,9450482,20,10,0,10,,overlay,False,0,False,미확정 — 개별 확인 필요,PARTIAL_DATASET,레이아웃 지문(image/json/mask/overlay/records)
archive/test_blender_v20,30,9449852,20,10,0,10,,overlay,False,0,False,미확정 — 개별 확인 필요,PARTIAL_DATASET,레이아웃 지문(image/json/mask/overlay/records)
archive/test_blender_v39,30,9424508,20,10,0,10,,overlay,False,0,False,미확정 — 개별 확인 필요,PARTIAL_DATASET,레이아웃 지문(image/json/mask/overlay/records)
archive/test_blender_v26,30,9421985,20,10,0,10,,overlay,False,0,False,미확정 — 개별 확인 필요,PARTIAL_DATASET,레이아웃 지문(image/json/mask/overlay/records)
archive/test_blender_v18,30,9416465,20,10,0,10,,overlay,False,0,False,미확정 — 개별 확인 필요,PARTIAL_DATASET,레이아웃 지문(image/json/mask/overlay/records)
archive/test_blender_v38,30,9410447,20,10,0,10,,overlay,False,0,False,미확정 — 개별 확인 필요,PARTIAL_DATASET,레이아웃 지문(image/json/mask/overlay/records)
archive/test_blender_v28,30,9383844,20,10,0,10,,overlay,False,0,False,미확정 — 개별 확인 필요,PARTIAL_DATASET,레이아웃 지문(image/json/mask/overlay/records)
archive/test_blender_v16,30,9376375,20,10,0,10,,overlay,False,0,False,미확정 — 개별 확인 필요,PARTIAL_DATASET,레이아웃 지문(image/json/mask/overlay/records)
archive/test_blender_v27,30,9357288,20,10,0,10,,overlay,False,0,False,미확정 — 개별 확인 필요,PARTIAL_DATASET,레이아웃 지문(image/json/mask/overlay/records)
archive/test_blender_v24,30,9340760,20,10,0,10,,overlay,False,0,False,미확정 — 개별 확인 필요,PARTIAL_DATASET,레이아웃 지문(image/json/mask/overlay/records)
archive/test_blender_v61,30,9283276,20,10,0,10,,overlay,False,0,False,미확정 — 개별 확인 필요,PARTIAL_DATASET,레이아웃 지문(image/json/mask/overlay/records)
archive/test_blender_v60,30,9258927,20,10,0,10,,overlay,False,0,False,미확정 — 개별 확인 필요,PARTIAL_DATASET,레이아웃 지문(image/json/mask/overlay/records)
archive/test_blender_v10,30,9258721,20,10,0,10,,overlay,False,0,False,미확정 — 개별 확인 필요,PARTIAL_DATASET,레이아웃 지문(image/json/mask/overlay/records)
archive/test_blender_v62,30,9144406,20,10,0,10,,overlay,False,0,False,미확정 — 개별 확인 필요,PARTIAL_DATASET,레이아웃 지문(image/json/mask/overlay/records)
archive/test_blender_v42,30,9134188,20,10,0,10,,overlay,False,0,False,미확정 — 개별 확인 필요,PARTIAL_DATASET,레이아웃 지문(image/json/mask/overlay/records)
archive/test_blender_v9,30,8924538,20,10,0,10,,overlay,False,0,False,미확정 — 개별 확인 필요,PARTIAL_DATASET,레이아웃 지문(image/json/mask/overlay/records)
archive/test_blender_v59,30,8871584,20,10,0,10,,overlay,False,0,False,미확정 — 개별 확인 필요,PARTIAL_DATASET,레이아웃 지문(image/json/mask/overlay/records)
archive/test_blender_v45,30,8837235,20,10,0,10,,overlay,False,0,False,미확정 — 개별 확인 필요,PARTIAL_DATASET,레이아웃 지문(image/json/mask/overlay/records)
archive/test_palletobj_r4,30,8825616,20,10,0,10,,overlay,False,0,False,미확정 — 개별 확인 필요,PARTIAL_DATASET,레이아웃 지문(image/json/mask/overlay/records)
archive/test_blender_v58,30,8661654,20,10,0,10,,overlay,False,0,False,미확정 — 개별 확인 필요,PARTIAL_DATASET,레이아웃 지문(image/json/mask/overlay/records)
archive/test_blender_v63,30,8576032,20,10,0,10,,overlay,False,0,False,미확정 — 개별 확인 필요,PARTIAL_DATASET,레이아웃 지문(image/json/mask/overlay/records)
archive/test_blender_v48,30,8494172,20,10,0,10,,overlay,False,0,False,미확정 — 개별 확인 필요,PARTIAL_DATASET,레이아웃 지문(image/json/mask/overlay/records)
archive/_addon_pilot2,33,8488781,24,9,8,8,_summary.json,mask;overlay,False,0,False,미확정 — 개별 확인 필요,PARTIAL_DATASET,레이아웃 지문(image/json/mask/overlay/records)
archive/test_palletobj_r3,30,8393492,20,10,0,10,,overlay,False,0,False,미확정 — 개별 확인 필요,PARTIAL_DATASET,레이아웃 지문(image/json/mask/overlay/records)
archive/test_blender_v44,30,8264108,20,10,0,10,,overlay,False,0,False,미확정 — 개별 확인 필요,PARTIAL_DATASET,레이아웃 지문(image/json/mask/overlay/records)
archive/test_palletobj_v1,31,8242169,20,11,0,10,_summary.json,overlay,False,0,False,미확정 — 개별 확인 필요,PARTIAL_DATASET,레이아웃 지문(image/json/mask/overlay/records)
archive/test_blender_v43,30,8192271,20,10,0,10,,overlay,False,0,False,미확정 — 개별 확인 필요,PARTIAL_DATASET,레이아웃 지문(image/json/mask/overlay/records)
archive/test_blender_v46,30,8183335,20,10,0,10,,overlay,False,0,False,미확정 — 개별 확인 필요,PARTIAL_DATASET,레이아웃 지문(image/json/mask/overlay/records)
archive/test_palletobj_r1,30,8139664,20,10,0,10,,overlay,False,0,False,미확정 — 개별 확인 필요,PARTIAL_DATASET,레이아웃 지문(image/json/mask/overlay/records)
archive/test_palletobj_r2,30,8123887,20,10,0,10,,overlay,False,0,False,미확정 — 개별 확인 필요,PARTIAL_DATASET,레이아웃 지문(image/json/mask/overlay/records)
archive/test_blender_v51,27,7997566,18,9,0,9,,overlay,False,0,False,미확정 — 개별 확인 필요,PARTIAL_DATASET,레이아웃 지문(image/json/mask/overlay/records)
archive/test_palletobj_cargo,27,7645902,18,9,0,9,,overlay,False,0,False,미확정 — 개별 확인 필요,PARTIAL_DATASET,레이아웃 지문(image/json/mask/overlay/records)
archive/test_blender_v53,27,7568421,18,9,0,9,,overlay,False,0,False,미확정 — 개별 확인 필요,PARTIAL_DATASET,레이아웃 지문(image/json/mask/overlay/records)
archive/test_palletobj_cargo_v2,27,7333315,18,9,0,9,,overlay,False,0,False,미확정 — 개별 확인 필요,PARTIAL_DATASET,레이아웃 지문(image/json/mask/overlay/records)
archive/test_iter5,30,6320702,20,10,0,10,,overlay,False,0,False,미확정 — 개별 확인 필요,PARTIAL_DATASET,레이아웃 지문(image/json/mask/overlay/records)
archive/test_blender_v54,21,6245323,14,7,0,7,,overlay,False,0,False,미확정 — 개별 확인 필요,PARTIAL_DATASET,레이아웃 지문(image/json/mask/overlay/records)
archive/_diag_pallet3,26,5862609,26,0,0,0,,,False,0,False,미확정 — 개별 확인 필요,PARTIAL_DATASET,레이아웃 지문(image/json/mask/overlay/records)
archive/test_iter8,30,5770157,20,10,0,10,,overlay,False,0,False,미확정 — 개별 확인 필요,PARTIAL_DATASET,레이아웃 지문(image/json/mask/overlay/records)
archive/test_iter4,30,5062922,20,10,0,10,,overlay,False,0,False,미확정 — 개별 확인 필요,PARTIAL_DATASET,레이아웃 지문(image/json/mask/overlay/records)
archive/test_blender_v3,20,4546354,10,10,0,0,,overlay,False,0,False,미확정 — 개별 확인 필요,PARTIAL_DATASET,레이아웃 지문(image/json/mask/overlay/records)
archive/test_blender_v2,20,4526604,10,10,0,0,,overlay,False,0,False,미확정 — 개별 확인 필요,PARTIAL_DATASET,레이아웃 지문(image/json/mask/overlay/records)
archive/test_iter2,24,4524045,16,8,0,8,,overlay,False,0,False,미확정 — 개별 확인 필요,PARTIAL_DATASET,레이아웃 지문(image/json/mask/overlay/records)
archive/test_final_check,24,4486280,16,8,0,8,,overlay,False,0,False,미확정 — 개별 확인 필요,PARTIAL_DATASET,레이아웃 지문(image/json/mask/overlay/records)
archive/test_iter6,30,4416054,20,10,0,10,,overlay,False,0,False,미확정 — 개별 확인 필요,PARTIAL_DATASET,레이아웃 지문(image/json/mask/overlay/records)
archive/test_v4_bright,30,3670256,20,10,0,10,,overlay,False,0,False,미확정 — 개별 확인 필요,PARTIAL_DATASET,레이아웃 지문(image/json/mask/overlay/records)
archive/test_iter9,24,3495525,16,8,0,8,,overlay,False,0,False,미확정 — 개별 확인 필요,PARTIAL_DATASET,레이아웃 지문(image/json/mask/overlay/records)
archive/test_v3_guide,20,1643891,10,10,0,0,,,False,0,False,미확정 — 개별 확인 필요,PARTIAL_DATASET,레이아웃 지문(image/json/mask/overlay/records)
