relative_path,type,file_count_recursive,total_bytes_recursive,modified_min,modified_max,extension_counts,top_dirs,contains_dataset_layout,contains_rgb,contains_labels,contains_masks,contains_records,contains_overlay,contains_blend,contains_archive,contains_weight,contains_license,note
_make_split_zips.py,file,1,3319,2026-05-20 14:27:32,2026-05-20 14:27:32,"{"".py"": 1}",,,,,,,,False,False,False,,
_make_zip_lowmem.log,file,1,2700,2026-05-20 14:26:27,2026-05-20 14:26:27,"{"".log"": 1}",,,,,,,,False,False,False,,
_make_zip_lowmem.py,file,1,5575,2026-05-20 14:25:03,2026-05-20 14:25:03,"{"".py"": 1}",,,,,,,,False,False,False,,
_mask_test10_gen.log,file,1,4372,2026-06-23 21:55:57,2026-06-23 21:55:57,"{"".log"": 1}",,,,,,,,False,False,False,,
_mask_test60_gen.log,file,1,14822,2026-06-23 23:24:29,2026-06-23 23:24:29,"{"".log"": 1}",,,,,,,,False,False,False,,
_mat_test10_gen.log,file,1,4245,2026-06-16 09:24:16,2026-06-16 09:24:16,"{"".log"": 1}",,,,,,,,False,False,False,,
_mat_test10b_gen.log,file,1,4139,2026-06-16 09:36:42,2026-06-16 09:36:42,"{"".log"": 1}",,,,,,,,False,False,False,,
_mat_test10e_closeup.log,file,1,1387,2026-06-16 10:29:13,2026-06-16 10:29:13,"{"".log"": 1}",,,,,,,,False,False,False,,
_mat_test10e_gen.log,file,1,3760,2026-06-16 10:28:12,2026-06-16 10:28:12,"{"".log"": 1}",,,,,,,,False,False,False,,
_material_compare_run.log,file,1,6918,2026-06-16 09:16:58,2026-06-16 09:16:58,"{"".log"": 1}",,,,,,,,False,False,False,,
_ram_test.log,file,1,1337,2026-05-20 14:21:56,2026-05-20 14:21:56,"{"".log"": 1}",,,,,,,,False,False,False,,
_ram_test.py,file,1,3405,2026-05-20 14:21:18,2026-05-20 14:21:18,"{"".py"": 1}",,,,,,,,False,False,False,,
_read_stability_test.py,file,1,763,2026-05-20 13:57:31,2026-05-20 13:57:31,"{"".py"": 1}",,,,,,,,False,False,False,,
_rebuild_part7.log,file,1,278,2026-05-20 15:00:39,2026-05-20 15:00:39,"{"".log"": 1}",,,,,,,,False,False,False,,
_rebuild_part7_nocache.py,file,1,5136,2026-05-20 15:00:21,2026-05-20 15:00:21,"{"".py"": 1}",,,,,,,,False,False,False,,
_rebuild_parts.log,file,1,303,2026-05-20 14:50:02,2026-05-20 14:50:02,"{"".log"": 1}",,,,,,,,False,False,False,,
_rebuild_parts.py,file,1,2459,2026-05-20 14:49:37,2026-05-20 14:49:37,"{"".py"": 1}",,,,,,,,False,False,False,,
_repack.log,file,1,3468,2026-05-20 13:30:22,2026-05-20 13:30:22,"{"".log"": 1}",,,,,,,,False,False,False,,
_repack.py,file,1,1231,2026-05-20 13:26:28,2026-05-20 13:26:28,"{"".py"": 1}",,,,,,,,False,False,False,,
_repack_retry.log,file,1,921,2026-05-20 13:49:30,2026-05-20 13:49:30,"{"".log"": 1}",,,,,,,,False,False,False,,
_repack_retry.py,file,1,5211,2026-05-20 13:32:44,2026-05-20 13:32:44,"{"".py"": 1}",,,,,,,,False,False,False,,
_stress_read.log,file,1,763,2026-05-20 14:01:22,2026-05-20 14:01:22,"{"".log"": 1}",,,,,,,,False,False,False,,
_stress_read.py,file,1,1447,2026-05-20 13:58:44,2026-05-20 13:58:44,"{"".py"": 1}",,,,,,,,False,False,False,,
_tmp_ph,dir,6,172936,2026-06-16 21:14:19,2026-06-16 21:14:33,"{"".json"": 6}",,False,False,False,False,False,False,False,False,False,False,
_trunc_addon_v1_10m_example,dir,3,474429,2026-07-27 01:54:55,2026-07-27 01:54:55,"{"".png"": 3}",,False,False,False,False,False,False,False,False,False,False,
_trunc_addon_v1_far_example,dir,4,1382207,2026-07-27 01:53:16,2026-07-27 01:53:16,"{"".png"": 4}",,False,False,False,False,False,False,False,False,False,False,
_v2_b3_check,dir,36,8145589,2026-07-25 10:42:50,2026-07-25 10:43:18,"{"".png"": 30, "".json"": 6}",,False,False,False,False,False,False,False,False,False,False,
_v2_calib_200,dir,1011,140986989,2026-07-25 10:56:48,2026-07-25 11:11:52,"{"".png"": 805, "".json"": 203, "".jsonl"": 1, "".log"": 1, "".txt"": 1}",analysis;labels;mask;rgb,True,True,True,True,True,False,False,False,False,False,
_v2_g5_reverify,dir,66,13346911,2026-07-25 11:41:09,2026-07-25 11:42:24,"{"".png"": 64, "".json"": 1, "".log"": 1}",mask;rgb,False,True,False,True,False,False,False,False,False,False,
_v2_pilot_2k,dir,12147,2495296046,2026-07-25 12:09:37,2026-07-25 16:22:42,"{"".png"": 10120, "".json"": 2005, "".log"": 11, "".py"": 6, "".md"": 3, "".jsonl"": 1, "".csv"": 1}",audit;diagnosis;dist_all;labels;logs;mask;overlay_all;rgb,True,True,True,True,True,False,False,False,False,False,
_v2_publicmask_overlay_smoke8,dir,96,19802025,2026-07-28 02:40:27,2026-07-28 02:50:31,"{"".png"": 69, "".json"": 17, "".csv"": 5, "".md"": 3, "".jsonl"": 2}",contact_sheets;eda;labels;mask_amodal;mask_visible;overlay;rgb,True,True,True,True,True,True,False,False,False,False,
_v2_scene_logic_500_seed7500,dir,4995,1698833273,2026-07-26 15:12:25,2026-07-27 17:31:59,"{"".png"": 4510, "".json"": 447, "".pdf"": 17, "".csv"": 11, "".md"": 9, "".jsonl"": 1}",eda;eda_phase5;eda_phase6;labels;mask;rgb,True,True,True,True,True,True,False,False,False,False,
_v2_scene_logic_probe_seed7500_f18_r19_log.console.txt,file,1,61048,2026-07-26 06:20:54,2026-07-26 06:20:54,"{"".txt"": 1}",,,,,,,,False,False,False,,
_v2_scene_logic_probe_seed7500_idx02_prealign_r01.log,file,1,43564,2026-07-26 08:16:41,2026-07-26 08:16:41,"{"".log"": 1}",,,,,,,,False,False,False,,
_v2_scene_logic_smoke20_seed7500_r40.log,file,1,70874,2026-07-26 08:11:03,2026-07-26 08:11:03,"{"".log"": 1}",,,,,,,,False,False,False,,
_v2_scene_logic_smoke20_seed7500_r7_blender.log,file,1,206202,2026-07-26 03:24:31,2026-07-26 03:24:31,"{"".log"": 1}",,,,,,,,False,False,False,,
_v2_smoke50_9d,dir,616,182120280,2026-07-27 18:25:52,2026-07-28 02:20:32,"{"".png"": 528, "".json"": 60, "".pdf"": 17, "".csv"": 5, "".md"": 4, "".jsonl"": 2}",contact_sheets_archive_style;eda;eda_phase6;labels;mask;overlay_archive_style;rgb,True,True,True,True,True,True,False,False,False,False,
_wood_closeup.log,file,1,2387,2026-06-16 09:35:16,2026-06-16 09:35:16,"{"".log"": 1}",,,,,,,,False,False,False,,
archive,dir,327647,88679180501,2026-03-04 09:54:42,2026-07-29 12:29:45,"{"".png"": 220325, "".json"": 106970, "".log"": 315, "".py"": 11, "".txt"": 10, "".zip"": 5, "".md"": 4, "".jpg"": 3}",_addon_pilot;_addon_pilot2;_addon_pilot3;_addon_pilot4;_cam_test10;_cam_test10b;_diag_pallet3;_efront_12kp_check;_emptywood_test;_floor_applied14;_floor_compare;_floor_emit,False,False,False,False,False,False,False,True,False,False,
assets,dir,,,,,,,,,,,,,,,,,EXCLUDED_FROM_CONTENT_AUDIT
eval_results,dir,103,11407963,2026-03-20 18:28:28,2026-03-24 10:28:44,"{"".jpg"": 90, "".png"": 10, "".json"": 3}",comprehensive;real_overlay;real_overlay_v2;syn_overlay;v11;v11_ep115;vis,False,False,False,False,False,False,False,False,False,False,
isaac_assets,dir,4543,4350676768,2026-03-11 22:40:20,2026-03-11 22:51:22,"{"".png"": 2375, "".usd"": 1857, "".jpg"": 200, "".hdr"": 73, "".mdl"": 30, "".last_generated"": 5, "".exr"": 2, "".txt"": 1}",Assets,False,False,False,False,False,False,False,False,False,True,
logs,dir,49,823762,2026-06-16 19:56:32,2026-07-06 14:53:21,"{"".json"": 49}",,False,False,False,False,False,False,False,False,False,False,
manifests,dir,5,140975,2026-07-29 12:28:15,2026-07-29 18:43:03,"{"".csv"": 4, "".md"": 1}",,False,False,False,False,False,False,False,False,False,False,
pallet.zip,file,1,16637698137,2026-05-20 09:54:34,2026-05-20 09:54:34,"{"".zip"": 1}",,,,,,,,False,True,False,,
reference,dir,,,,,,,,,,,,,,,,,EXCLUDED_FROM_CONTENT_AUDIT
release,dir,,,,,,,,,,,,,,,,,EXCLUDED_FROM_CONTENT_AUDIT
render_2000.log,file,1,1015899,2026-04-04 03:14:40,2026-04-04 03:14:40,"{"".log"": 1}",,,,,,,,False,False,False,,
runs,dir,,,,,,,,,,,,,,,,,EXCLUDED_FROM_CONTENT_AUDIT
test_blender_v64.zip,file,1,1781592200,2026-04-04 17:05:39,2026-04-04 17:05:39,"{"".zip"": 1}",,,,,,,,False,True,False,,
test_blender_v65.zip,file,1,86723195,2026-04-05 21:11:55,2026-04-05 21:11:55,"{"".zip"": 1}",,,,,,,,False,True,False,,
test_blender_v68.zip,file,1,906940260,2026-04-05 22:25:41,2026-04-05 22:25:41,"{"".zip"": 1}",,,,,,,,False,True,False,,
test_blender_v69.zip,file,1,3653659280,2026-04-06 17:49:28,2026-04-06 17:49:28,"{"".zip"": 1}",,,,,,,,False,True,False,,
test_blender_v70.zip,file,1,913350083,2026-04-06 18:25:20,2026-04-06 18:25:20,"{"".zip"": 1}",,,,,,,,False,True,False,,
test_canonical_log.txt,file,1,605113,2026-03-11 18:28:06,2026-03-11 18:28:06,"{"".txt"": 1}",,,,,,,,False,False,False,,
test_indoor_v1.zip,file,1,587372076,2026-04-07 14:24:17,2026-04-07 14:24:17,"{"".zip"": 1}",,,,,,,,False,True,False,,
test_indoor_v1_log.txt,file,1,134534,2026-04-07 12:05:06,2026-04-07 12:05:06,"{"".txt"": 1}",,,,,,,,False,False,False,,
test_iter2_log.txt,file,1,594099,2026-03-11 19:36:11,2026-03-11 19:36:11,"{"".txt"": 1}",,,,,,,,False,False,False,,
test_iter3_log.txt,file,1,594393,2026-03-11 20:40:04,2026-03-11 20:40:04,"{"".txt"": 1}",,,,,,,,False,False,False,,
train_4pallet_mask_v1.zip,file,1,9675248635,2026-07-06 15:28:46,2026-07-06 15:28:46,"{"".zip"": 1}",,,,,,,,False,True,False,,
train_4pallet_mask_v1_gen.log,file,1,7075,2026-07-06 14:55:12,2026-07-06 14:55:12,"{"".log"": 1}",,,,,,,,False,False,False,,
train_palletobj_addon_v1.zip,file,1,5648950621,2026-06-25 15:17:38,2026-06-25 15:17:38,"{"".zip"": 1}",,,,,,,,False,True,False,,
train_palletobj_addon_v1_gen.log,file,1,1471916,2026-06-25 15:14:01,2026-06-25 15:14:01,"{"".log"": 1}",,,,,,,,False,False,False,,
train_palletobj_v1 (2).zip,file,1,8316876455,2026-05-20 12:31:22,2026-05-20 12:31:22,"{"".zip"": 1}",,,,,,,,False,True,False,,
train_palletobj_v1.zip,file,1,4529431174,2026-05-20 13:50:06,2026-05-20 13:50:06,"{"".zip"": 1}",,,,,,,,False,True,False,,
train_palletobj_v2 (2).zip,file,1,8321314846,2026-05-20 12:31:11,2026-05-20 12:31:11,"{"".zip"": 1}",,,,,,,,False,True,False,,
train_palletobj_v2.zip,file,1,8346416419,2026-05-20 13:30:21,2026-05-20 13:30:21,"{"".zip"": 1}",,,,,,,,False,True,False,,
train_palletobj_v3.zip,file,1,10449502513,2026-06-24 11:33:44,2026-06-24 11:33:44,"{"".zip"": 1}",,,,,,,,False,True,False,,
train_palletobj_v3_gen.log,file,1,2354100,2026-06-24 01:11:15,2026-06-24 01:11:15,"{"".log"": 1}",,,,,,,,False,False,False,,
training_data_v4_emptywood_run.log,file,1,5031,2026-06-18 22:38:02,2026-06-18 22:38:02,"{"".log"": 1}",,,,,,,,False,False,False,,
training_data_v4_run.log,file,1,734,2026-06-16 02:38:47,2026-06-16 02:38:47,"{"".log"": 1}",,,,,,,,False,False,False,,
training_data_v4_split_run.log,file,1,7906,2026-06-17 18:42:54,2026-06-17 18:42:54,"{"".log"": 1}",,,,,,,,False,False,False,,
trunc_addon_v1.zip,file,1,5435835407,2026-07-04 00:01:21,2026-07-04 00:01:21,"{"".zip"": 1}",,,,,,,,False,True,False,,
trunc_addon_v1_gen.log,file,1,1372532,2026-07-03 15:33:44,2026-07-03 15:33:44,"{"".log"": 1}",,,,,,,,False,False,False,,
trunc_addon_v1_pilot_gen.log,file,1,72643,2026-07-03 13:30:11,2026-07-03 13:30:11,"{"".log"": 1}",,,,,,,,False,False,False,,
v2_dryrun_audit,dir,8,499630,2026-07-25 03:03:31,2026-07-25 03:03:32,"{"".png"": 7, "".md"": 1}",,False,False,False,False,False,False,False,False,False,False,
