datablock_type,datablock_name,filepath_raw,abspath,is_relative,is_packed,exists,inside_blender_scene_directory,inside_data_pallet,intended_move_source,expected_destination,migration_safe_without_blend_rewrite,verdict,reason,extra
Image,barrel_stove_diff,E:\CODING\GitHub\FoundationPose\data\pallet\distractors\large\ph__barrel_stove\textures\barrel_stove_diff_1k.jpg,E:\CODING\GitHub\FoundationPose\data\pallet\distractors\large\ph__barrel_stove\textures\barrel_stove_diff_1k.jpg,False,False,True,False,True,distractors,assets/distractors/library,False,BLOCKED_ABSOLUTE,stored as an absolute path -> breaks when the asset moves,source=FILE users=1
Image,barrel_stove_metal-barrel_stove_rough,E:\CODING\GitHub\FoundationPose\data\pallet\distractors\large\ph__barrel_stove\textures\barrel_stove_arm_1k.jpg,E:\CODING\GitHub\FoundationPose\data\pallet\distractors\large\ph__barrel_stove\textures\barrel_stove_arm_1k.jpg,False,False,True,False,True,distractors,assets/distractors/library,False,BLOCKED_ABSOLUTE,stored as an absolute path -> breaks when the asset moves,source=FILE users=1
Image,barrel_stove_nor_gl,E:\CODING\GitHub\FoundationPose\data\pallet\distractors\large\ph__barrel_stove\textures\barrel_stove_nor_gl_1k.jpg,E:\CODING\GitHub\FoundationPose\data\pallet\distractors\large\ph__barrel_stove\textures\barrel_stove_nor_gl_1k.jpg,False,False,True,False,True,distractors,assets/distractors/library,False,BLOCKED_ABSOLUTE,stored as an absolute path -> breaks when the asset moves,source=FILE users=1
Image,base_m_diffuse.jpeg,//..\background\parking_lot\textures\base_m_diffuse.jpeg,E:\CODING\GitHub\FoundationPose\data\pallet\background\parking_lot\textures\base_m_diffuse.jpeg,True,True,True,False,True,blender_scene,(packed),True,SAFE_RELATIVE,packed into the .blend,source=FILE users=1
Image,base_m_normal.png,//..\background\parking_lot\textures\base_m_normal.png,E:\CODING\GitHub\FoundationPose\data\pallet\background\parking_lot\textures\base_m_normal.png,True,True,True,False,True,blender_scene,(packed),True,SAFE_RELATIVE,packed into the .blend,source=FILE users=1
Image,blackpaint_m_diffuse.jpeg,//..\background\parking_lot\textures\blackpaint_m_diffuse.jpeg,E:\CODING\GitHub\FoundationPose\data\pallet\background\parking_lot\textures\blackpaint_m_diffuse.jpeg,True,True,True,False,True,blender_scene,(packed),True,SAFE_RELATIVE,packed into the .blend,source=FILE users=1
Image,blackpaint_m_normal.png,//..\background\parking_lot\textures\blackpaint_m_normal.png,E:\CODING\GitHub\FoundationPose\data\pallet\background\parking_lot\textures\blackpaint_m_normal.png,True,True,True,False,True,blender_scene,(packed),True,SAFE_RELATIVE,packed into the .blend,source=FILE users=1
Image,bleach_bottle_01_diff,E:\CODING\GitHub\FoundationPose\data\pallet\distractors\small\ph__bleach_bottle\textures\bleach_bottle_01_diff_1k.jpg,E:\CODING\GitHub\FoundationPose\data\pallet\distractors\small\ph__bleach_bottle\textures\bleach_bottle_01_diff_1k.jpg,False,False,True,False,True,distractors,assets/distractors/library,False,BLOCKED_ABSOLUTE,stored as an absolute path -> breaks when the asset moves,source=FILE users=1
Image,bleach_bottle_01_nor_gl,E:\CODING\GitHub\FoundationPose\data\pallet\distractors\small\ph__bleach_bottle\textures\bleach_bottle_01_nor_gl_1k.jpg,E:\CODING\GitHub\FoundationPose\data\pallet\distractors\small\ph__bleach_bottle\textures\bleach_bottle_01_nor_gl_1k.jpg,False,False,True,False,True,distractors,assets/distractors/library,False,BLOCKED_ABSOLUTE,stored as an absolute path -> breaks when the asset moves,source=FILE users=1
Image,bleach_bottle_01_rough,E:\CODING\GitHub\FoundationPose\data\pallet\distractors\small\ph__bleach_bottle\textures\bleach_bottle_01_arm_1k.jpg,E:\CODING\GitHub\FoundationPose\data\pallet\distractors\small\ph__bleach_bottle\textures\bleach_bottle_01_arm_1k.jpg,False,False,True,False,True,distractors,assets/distractors/library,False,BLOCKED_ABSOLUTE,stored as an absolute path -> breaks when the asset moves,source=FILE users=1
Image,Blue_Metal_baseColor.png,//..\background\modular_buildings_industrial_area\textures\Blue_Metal_baseColor.png,E:\CODING\GitHub\FoundationPose\data\pallet\background\modular_buildings_industrial_area\textures\Blue_Metal_baseColor.png,True,True,True,False,True,blender_scene,(packed),True,SAFE_RELATIVE,packed into the .blend,source=FILE users=1
Image,Blue_Metal_normal.png,//..\background\modular_buildings_industrial_area\textures\Blue_Metal_normal.png,E:\CODING\GitHub\FoundationPose\data\pallet\background\modular_buildings_industrial_area\textures\Blue_Metal_normal.png,True,True,True,False,True,blender_scene,(packed),True,SAFE_RELATIVE,packed into the .blend,source=FILE users=1
Image,box2_m_diffuse.jpeg,//..\background\parking_lot\textures\box2_m_diffuse.jpeg,E:\CODING\GitHub\FoundationPose\data\pallet\background\parking_lot\textures\box2_m_diffuse.jpeg,True,True,True,False,True,blender_scene,(packed),True,SAFE_RELATIVE,packed into the .blend,source=FILE users=1
Image,box2_m_normal.png,//..\background\parking_lot\textures\box2_m_normal.png,E:\CODING\GitHub\FoundationPose\data\pallet\background\parking_lot\textures\box2_m_normal.png,True,True,True,False,True,blender_scene,(packed),True,SAFE_RELATIVE,packed into the .blend,source=FILE users=1
Image,Brick_Wall_baseColor.png,//..\background\modular_buildings_industrial_area\textures\Brick_Wall_baseColor.png,E:\CODING\GitHub\FoundationPose\data\pallet\background\modular_buildings_industrial_area\textures\Brick_Wall_baseColor.png,True,True,True,False,True,blender_scene,(packed),True,SAFE_RELATIVE,packed into the .blend,source=FILE users=1
Image,Brick_Wall_normal.png,//..\background\modular_buildings_industrial_area\textures\Brick_Wall_normal.png,E:\CODING\GitHub\FoundationPose\data\pallet\background\modular_buildings_industrial_area\textures\Brick_Wall_normal.png,True,True,True,False,True,blender_scene,(packed),True,SAFE_RELATIVE,packed into the .blend,source=FILE users=1
Image,can_rusted_diff,E:\CODING\GitHub\FoundationPose\data\pallet\distractors\small\ph__can_rusted\textures\can_rusted_diff_1k.jpg,E:\CODING\GitHub\FoundationPose\data\pallet\distractors\small\ph__can_rusted\textures\can_rusted_diff_1k.jpg,False,False,True,False,True,distractors,assets/distractors/library,False,BLOCKED_ABSOLUTE,stored as an absolute path -> breaks when the asset moves,source=FILE users=1
Image,can_rusted_metal-can_rusted_rough,E:\CODING\GitHub\FoundationPose\data\pallet\distractors\small\ph__can_rusted\textures\can_rusted_arm_1k.jpg,E:\CODING\GitHub\FoundationPose\data\pallet\distractors\small\ph__can_rusted\textures\can_rusted_arm_1k.jpg,False,False,True,False,True,distractors,assets/distractors/library,False,BLOCKED_ABSOLUTE,stored as an absolute path -> breaks when the asset moves,source=FILE users=1
Image,can_rusted_nor_gl,E:\CODING\GitHub\FoundationPose\data\pallet\distractors\small\ph__can_rusted\textures\can_rusted_nor_gl_1k.jpg,E:\CODING\GitHub\FoundationPose\data\pallet\distractors\small\ph__can_rusted\textures\can_rusted_nor_gl_1k.jpg,False,False,True,False,True,distractors,assets/distractors/library,False,BLOCKED_ABSOLUTE,stored as an absolute path -> breaks when the asset moves,source=FILE users=1
Image,cardboard_box_01_diff,//..\..\..\..\..\..\AppData\Local\Temp\tmp_h07bsvm\textures\cardboard_box_01_diff_1k.jpg,E:\AppData\Local\Temp\tmp_h07bsvm\textures\cardboard_box_01_diff_1k.jpg,True,True,False,False,False,blender_scene,(packed),True,SAFE_RELATIVE,packed into the .blend,source=FILE users=1
Image,cardboard_box_01_diff.001,E:\CODING\GitHub\FoundationPose\data\pallet\distractors\small\ph__cardboard_box_01\textures\cardboard_box_01_diff_1k.jpg,E:\CODING\GitHub\FoundationPose\data\pallet\distractors\small\ph__cardboard_box_01\textures\cardboard_box_01_diff_1k.jpg,False,False,True,False,True,distractors,assets/distractors/library,False,BLOCKED_ABSOLUTE,stored as an absolute path -> breaks when the asset moves,source=FILE users=1
Image,cardboard_box_01_nor_gl,//..\..\..\..\..\..\AppData\Local\Temp\tmp_h07bsvm\textures\cardboard_box_01_nor_gl_1k.jpg,E:\AppData\Local\Temp\tmp_h07bsvm\textures\cardboard_box_01_nor_gl_1k.jpg,True,True,False,False,False,blender_scene,(packed),True,SAFE_RELATIVE,packed into the .blend,source=FILE users=1
Image,cardboard_box_01_nor_gl.001,E:\CODING\GitHub\FoundationPose\data\pallet\distractors\small\ph__cardboard_box_01\textures\cardboard_box_01_nor_gl_1k.jpg,E:\CODING\GitHub\FoundationPose\data\pallet\distractors\small\ph__cardboard_box_01\textures\cardboard_box_01_nor_gl_1k.jpg,False,False,True,False,True,distractors,assets/distractors/library,False,BLOCKED_ABSOLUTE,stored as an absolute path -> breaks when the asset moves,source=FILE users=1
Image,cardboard_box_01_rough,//..\..\..\..\..\..\AppData\Local\Temp\tmp_h07bsvm\textures\cardboard_box_01_arm_1k.jpg,E:\AppData\Local\Temp\tmp_h07bsvm\textures\cardboard_box_01_arm_1k.jpg,True,True,False,False,False,blender_scene,(packed),True,SAFE_RELATIVE,packed into the .blend,source=FILE users=1
Image,cardboard_box_01_rough.001,E:\CODING\GitHub\FoundationPose\data\pallet\distractors\small\ph__cardboard_box_01\textures\cardboard_box_01_arm_1k.jpg,E:\CODING\GitHub\FoundationPose\data\pallet\distractors\small\ph__cardboard_box_01\textures\cardboard_box_01_arm_1k.jpg,False,False,True,False,True,distractors,assets/distractors/library,False,BLOCKED_ABSOLUTE,stored as an absolute path -> breaks when the asset moves,source=FILE users=1
Image,Carton_baseColor.png,//..\background\modular_buildings_industrial_area\textures\Carton_baseColor.png,E:\CODING\GitHub\FoundationPose\data\pallet\background\modular_buildings_industrial_area\textures\Carton_baseColor.png,True,True,True,False,True,blender_scene,(packed),True,SAFE_RELATIVE,packed into the .blend,source=FILE users=1
Image,Carton_normal.png,//..\background\modular_buildings_industrial_area\textures\Carton_normal.png,E:\CODING\GitHub\FoundationPose\data\pallet\background\modular_buildings_industrial_area\textures\Carton_normal.png,True,True,True,False,True,blender_scene,(packed),True,SAFE_RELATIVE,packed into the .blend,source=FILE users=1
Image,Cartoon WoodPallet_Albedo,,,False,True,False,False,False,blender_scene,(packed),True,SAFE_RELATIVE,packed into the .blend,source=FILE users=1
Image,cement_bag_diff,E:\CODING\GitHub\FoundationPose\data\pallet\distractors\small\ph__cement_bag\textures\cement_bag_diff_1k.jpg,E:\CODING\GitHub\FoundationPose\data\pallet\distractors\small\ph__cement_bag\textures\cement_bag_diff_1k.jpg,False,False,True,False,True,distractors,assets/distractors/library,False,BLOCKED_ABSOLUTE,stored as an absolute path -> breaks when the asset moves,source=FILE users=1
Image,cement_bag_nor_gl,E:\CODING\GitHub\FoundationPose\data\pallet\distractors\small\ph__cement_bag\textures\cement_bag_nor_gl_1k.jpg,E:\CODING\GitHub\FoundationPose\data\pallet\distractors\small\ph__cement_bag\textures\cement_bag_nor_gl_1k.jpg,False,False,True,False,True,distractors,assets/distractors/library,False,BLOCKED_ABSOLUTE,stored as an absolute path -> breaks when the asset moves,source=FILE users=1
Image,cement_bag_rough,E:\CODING\GitHub\FoundationPose\data\pallet\distractors\small\ph__cement_bag\textures\cement_bag_arm_1k.jpg,E:\CODING\GitHub\FoundationPose\data\pallet\distractors\small\ph__cement_bag\textures\cement_bag_arm_1k.jpg,False,False,True,False,True,distractors,assets/distractors/library,False,BLOCKED_ABSOLUTE,stored as an absolute path -> breaks when the asset moves,source=FILE users=1
Image,Cement_baseColor.png,//..\background\modular_buildings_industrial_area\textures\Cement_baseColor.png,E:\CODING\GitHub\FoundationPose\data\pallet\background\modular_buildings_industrial_area\textures\Cement_baseColor.png,True,True,True,False,True,blender_scene,(packed),True,SAFE_RELATIVE,packed into the .blend,source=FILE users=1
Image,Cement_normal.png,//..\background\modular_buildings_industrial_area\textures\Cement_normal.png,E:\CODING\GitHub\FoundationPose\data\pallet\background\modular_buildings_industrial_area\textures\Cement_normal.png,True,True,True,False,True,blender_scene,(packed),True,SAFE_RELATIVE,packed into the .blend,source=FILE users=1
Image,chinese_screen_panels_diff,E:\CODING\GitHub\FoundationPose\data\pallet\distractors\large\ph__chinese_screen_panels\textures\chinese_screen_panels_diff_1k.jpg,E:\CODING\GitHub\FoundationPose\data\pallet\distractors\large\ph__chinese_screen_panels\textures\chinese_screen_panels_diff_1k.jpg,False,False,True,False,True,distractors,assets/distractors/library,False,BLOCKED_ABSOLUTE,stored as an absolute path -> breaks when the asset moves,source=FILE users=1
Image,chinese_screen_panels_metal-chinese_screen_panels_rough,E:\CODING\GitHub\FoundationPose\data\pallet\distractors\large\ph__chinese_screen_panels\textures\chinese_screen_panels_arm_1k.jpg,E:\CODING\GitHub\FoundationPose\data\pallet\distractors\large\ph__chinese_screen_panels\textures\chinese_screen_panels_arm_1k.jpg,False,False,True,False,True,distractors,assets/distractors/library,False,BLOCKED_ABSOLUTE,stored as an absolute path -> breaks when the asset moves,source=FILE users=1
Image,chinese_screen_panels_nor_gl,E:\CODING\GitHub\FoundationPose\data\pallet\distractors\large\ph__chinese_screen_panels\textures\chinese_screen_panels_nor_gl_1k.jpg,E:\CODING\GitHub\FoundationPose\data\pallet\distractors\large\ph__chinese_screen_panels\textures\chinese_screen_panels_nor_gl_1k.jpg,False,False,True,False,True,distractors,assets/distractors/library,False,BLOCKED_ABSOLUTE,stored as an absolute path -> breaks when the asset moves,source=FILE users=1
Image,compost_bags_diff,E:\CODING\GitHub\FoundationPose\data\pallet\distractors\medium\ph__compost_bags\textures\compost_bags_diff_1k.jpg,E:\CODING\GitHub\FoundationPose\data\pallet\distractors\medium\ph__compost_bags\textures\compost_bags_diff_1k.jpg,False,False,True,False,True,distractors,assets/distractors/library,False,BLOCKED_ABSOLUTE,stored as an absolute path -> breaks when the asset moves,source=FILE users=1
Image,compost_bags_metal-compost_bags_rough,E:\CODING\GitHub\FoundationPose\data\pallet\distractors\medium\ph__compost_bags\textures\compost_bags_arm_1k.jpg,E:\CODING\GitHub\FoundationPose\data\pallet\distractors\medium\ph__compost_bags\textures\compost_bags_arm_1k.jpg,False,False,True,False,True,distractors,assets/distractors/library,False,BLOCKED_ABSOLUTE,stored as an absolute path -> breaks when the asset moves,source=FILE users=1
Image,compost_bags_nor_gl,E:\CODING\GitHub\FoundationPose\data\pallet\distractors\medium\ph__compost_bags\textures\compost_bags_nor_gl_1k.jpg,E:\CODING\GitHub\FoundationPose\data\pallet\distractors\medium\ph__compost_bags\textures\compost_bags_nor_gl_1k.jpg,False,False,True,False,True,distractors,assets/distractors/library,False,BLOCKED_ABSOLUTE,stored as an absolute path -> breaks when the asset moves,source=FILE users=1
Image,compost_bags_sss,E:\CODING\GitHub\FoundationPose\data\pallet\distractors\medium\ph__compost_bags\textures\compost_bags_sss_1k.jpg,E:\CODING\GitHub\FoundationPose\data\pallet\distractors\medium\ph__compost_bags\textures\compost_bags_sss_1k.jpg,False,False,True,False,True,distractors,assets/distractors/library,False,BLOCKED_ABSOLUTE,stored as an absolute path -> breaks when the asset moves,source=FILE users=1
Image,concrete_floor_m_diffuse.jpeg,//..\background\parking_lot\textures\concrete_floor_m_diffuse.jpeg,E:\CODING\GitHub\FoundationPose\data\pallet\background\parking_lot\textures\concrete_floor_m_diffuse.jpeg,True,True,True,False,True,blender_scene,(packed),True,SAFE_RELATIVE,packed into the .blend,source=FILE users=1
Image,concrete_floor_m_normal.png,//..\background\parking_lot\textures\concrete_floor_m_normal.png,E:\CODING\GitHub\FoundationPose\data\pallet\background\parking_lot\textures\concrete_floor_m_normal.png,True,True,True,False,True,blender_scene,(packed),True,SAFE_RELATIVE,packed into the .blend,source=FILE users=1
Image,concrete_road_barrier_02_diff,E:\CODING\GitHub\FoundationPose\data\pallet\distractors\road\ph__concrete_road_barrier_02\textures\concrete_road_barrier_02_diff_1k.jpg,E:\CODING\GitHub\FoundationPose\data\pallet\distractors\road\ph__concrete_road_barrier_02\textures\concrete_road_barrier_02_diff_1k.jpg,False,False,True,False,True,distractors,assets/distractors/library,False,BLOCKED_ABSOLUTE,stored as an absolute path -> breaks when the asset moves,source=FILE users=1
Image,concrete_road_barrier_02_nor_gl,E:\CODING\GitHub\FoundationPose\data\pallet\distractors\road\ph__concrete_road_barrier_02\textures\concrete_road_barrier_02_nor_gl_1k.jpg,E:\CODING\GitHub\FoundationPose\data\pallet\distractors\road\ph__concrete_road_barrier_02\textures\concrete_road_barrier_02_nor_gl_1k.jpg,False,False,True,False,True,distractors,assets/distractors/library,False,BLOCKED_ABSOLUTE,stored as an absolute path -> breaks when the asset moves,source=FILE users=1
Image,concrete_road_barrier_02_rough,E:\CODING\GitHub\FoundationPose\data\pallet\distractors\road\ph__concrete_road_barrier_02\textures\concrete_road_barrier_02_arm_1k.jpg,E:\CODING\GitHub\FoundationPose\data\pallet\distractors\road\ph__concrete_road_barrier_02\textures\concrete_road_barrier_02_arm_1k.jpg,False,False,True,False,True,distractors,assets/distractors/library,False,BLOCKED_ABSOLUTE,stored as an absolute path -> breaks when the asset moves,source=FILE users=1
Image,concrete_road_barrier_diff,//..\..\..\..\..\..\AppData\Local\Temp\tmpjwzz655q\textures\concrete_road_barrier_diff_1k.jpg,E:\AppData\Local\Temp\tmpjwzz655q\textures\concrete_road_barrier_diff_1k.jpg,True,True,False,False,False,blender_scene,(packed),True,SAFE_RELATIVE,packed into the .blend,source=FILE users=1
Image,concrete_road_barrier_diff.001,E:\CODING\GitHub\FoundationPose\data\pallet\distractors\road\ph__concrete_road_barrier\textures\concrete_road_barrier_diff_1k.jpg,E:\CODING\GitHub\FoundationPose\data\pallet\distractors\road\ph__concrete_road_barrier\textures\concrete_road_barrier_diff_1k.jpg,False,False,True,False,True,distractors,assets/distractors/library,False,BLOCKED_ABSOLUTE,stored as an absolute path -> breaks when the asset moves,source=FILE users=1
Image,concrete_road_barrier_nor_gl,//..\..\..\..\..\..\AppData\Local\Temp\tmpjwzz655q\textures\concrete_road_barrier_nor_gl_1k.jpg,E:\AppData\Local\Temp\tmpjwzz655q\textures\concrete_road_barrier_nor_gl_1k.jpg,True,True,False,False,False,blender_scene,(packed),True,SAFE_RELATIVE,packed into the .blend,source=FILE users=1
Image,concrete_road_barrier_nor_gl.001,E:\CODING\GitHub\FoundationPose\data\pallet\distractors\road\ph__concrete_road_barrier\textures\concrete_road_barrier_nor_gl_1k.jpg,E:\CODING\GitHub\FoundationPose\data\pallet\distractors\road\ph__concrete_road_barrier\textures\concrete_road_barrier_nor_gl_1k.jpg,False,False,True,False,True,distractors,assets/distractors/library,False,BLOCKED_ABSOLUTE,stored as an absolute path -> breaks when the asset moves,source=FILE users=1
Image,concrete_road_barrier_rough,//..\..\..\..\..\..\AppData\Local\Temp\tmpjwzz655q\textures\concrete_road_barrier_arm_1k.jpg,E:\AppData\Local\Temp\tmpjwzz655q\textures\concrete_road_barrier_arm_1k.jpg,True,True,False,False,False,blender_scene,(packed),True,SAFE_RELATIVE,packed into the .blend,source=FILE users=1
Image,concrete_road_barrier_rough.001,E:\CODING\GitHub\FoundationPose\data\pallet\distractors\road\ph__concrete_road_barrier\textures\concrete_road_barrier_arm_1k.jpg,E:\CODING\GitHub\FoundationPose\data\pallet\distractors\road\ph__concrete_road_barrier\textures\concrete_road_barrier_arm_1k.jpg,False,False,True,False,True,distractors,assets/distractors/library,False,BLOCKED_ABSOLUTE,stored as an absolute path -> breaks when the asset moves,source=FILE users=1
Image,covered_car_diff,E:\CODING\GitHub\FoundationPose\data\pallet\distractors\large\ph__covered_car\textures\covered_car_diff_1k.jpg,E:\CODING\GitHub\FoundationPose\data\pallet\distractors\large\ph__covered_car\textures\covered_car_diff_1k.jpg,False,False,True,False,True,distractors,assets/distractors/library,False,BLOCKED_ABSOLUTE,stored as an absolute path -> breaks when the asset moves,source=FILE users=2
Image,covered_car_metal-covered_car_rough,E:\CODING\GitHub\FoundationPose\data\pallet\distractors\large\ph__covered_car\textures\covered_car_arm_1k.jpg,E:\CODING\GitHub\FoundationPose\data\pallet\distractors\large\ph__covered_car\textures\covered_car_arm_1k.jpg,False,False,True,False,True,distractors,assets/distractors/library,False,BLOCKED_ABSOLUTE,stored as an absolute path -> breaks when the asset moves,source=FILE users=2
Image,covered_car_nor_gl,E:\CODING\GitHub\FoundationPose\data\pallet\distractors\large\ph__covered_car\textures\covered_car_nor_gl_1k.jpg,E:\CODING\GitHub\FoundationPose\data\pallet\distractors\large\ph__covered_car\textures\covered_car_nor_gl_1k.jpg,False,False,True,False,True,distractors,assets/distractors/library,False,BLOCKED_ABSOLUTE,stored as an absolute path -> breaks when the asset moves,source=FILE users=2
Image,crowbar_01_diff,E:\CODING\GitHub\FoundationPose\data\pallet\distractors\small\ph__crowbar_01\textures\crowbar_01_diff_1k.jpg,E:\CODING\GitHub\FoundationPose\data\pallet\distractors\small\ph__crowbar_01\textures\crowbar_01_diff_1k.jpg,False,False,True,False,True,distractors,assets/distractors/library,False,BLOCKED_ABSOLUTE,stored as an absolute path -> breaks when the asset moves,source=FILE users=1
Image,crowbar_01_metal-crowbar_01_rough,E:\CODING\GitHub\FoundationPose\data\pallet\distractors\small\ph__crowbar_01\textures\crowbar_01_arm_1k.jpg,E:\CODING\GitHub\FoundationPose\data\pallet\distractors\small\ph__crowbar_01\textures\crowbar_01_arm_1k.jpg,False,False,True,False,True,distractors,assets/distractors/library,False,BLOCKED_ABSOLUTE,stored as an absolute path -> breaks when the asset moves,source=FILE users=1
Image,crowbar_01_nor_gl,E:\CODING\GitHub\FoundationPose\data\pallet\distractors\small\ph__crowbar_01\textures\crowbar_01_nor_gl_1k.jpg,E:\CODING\GitHub\FoundationPose\data\pallet\distractors\small\ph__crowbar_01\textures\crowbar_01_nor_gl_1k.jpg,False,False,True,False,True,distractors,assets/distractors/library,False,BLOCKED_ABSOLUTE,stored as an absolute path -> breaks when the asset moves,source=FILE users=1
Image,drawer_cabinet_diff,E:\CODING\GitHub\FoundationPose\data\pallet\distractors\indoor\ph__drawer_cabinet\textures\drawer_cabinet_diff_1k.jpg,E:\CODING\GitHub\FoundationPose\data\pallet\distractors\indoor\ph__drawer_cabinet\textures\drawer_cabinet_diff_1k.jpg,False,False,True,False,True,distractors,assets/distractors/library,False,BLOCKED_ABSOLUTE,stored as an absolute path -> breaks when the asset moves,source=FILE users=1
Image,drawer_cabinet_metallic.png-drawer_cabinet_roughness.png,E:\CODING\GitHub\FoundationPose\data\pallet\distractors\indoor\ph__drawer_cabinet\textures\drawer_cabinet_arm_1k.jpg,E:\CODING\GitHub\FoundationPose\data\pallet\distractors\indoor\ph__drawer_cabinet\textures\drawer_cabinet_arm_1k.jpg,False,False,True,False,True,distractors,assets/distractors/library,False,BLOCKED_ABSOLUTE,stored as an absolute path -> breaks when the asset moves,source=FILE users=1
