proposal_index,usable_slot,old_outcome,g1p5_outcome,g1p6_outcome,g1p5_runtime_s,g1p6_runtime_s,g1p5_sc_rej,g1p6_sc_rej,g1p5_budget_ex,g1p6_budget_ex,winning_stage,fine_triggered,fine_eval_count,fine_won,fine_margin_before,fine_margin_after,target_seed_free_used,target_seed_paid_used,explicit_abs_error_lowres,side_match,n_context_visible
219,93,accepted,accepted,accepted,376.0757598876953,379.10203742980957,28,28,5,5,target-seed,False,0,False,,,16,0,0.047451526891304274,True,3
222,95,expensive_reject,rejected,rejected,168.06814861297607,168.82180762290955,60,60,9,9,,False,0,False,,,24,0,,,0
225,95,expensive_reject,rejected,rejected,54.804380655288696,54.80134057998657,32,32,10,10,,False,0,False,,,8,0,,,0
226,95,expensive_reject,rejected,rejected,25.409873485565186,24.758002519607544,5,5,5,5,,False,0,False,,,0,0,,,0
229,95,expensive_reject,rejected,rejected,91.7277364730835,91.33343386650085,24,24,3,3,target-seed,False,0,False,,,16,0,0.029116350128905177,True,3
231,95,accepted,accepted,accepted,40.103071212768555,38.97640657424927,2,2,0,0,corner-contact-refine,False,0,False,,,4,0,0.016693326063046715,True,3
237,99,expensive_reject,rejected,rejected,76.60345816612244,90.66149520874023,50,58,10,10,,True,8,False,-0.048839283307721415,-0.12174399054078686,24,0,,,0
238,99,expensive_reject,rejected,rejected,40.23259735107422,39.99936866760254,21,21,9,9,,False,0,False,,,8,0,,,0
242,99,expensive_reject,rejected,rejected,72.66754078865051,71.91025567054749,58,58,11,11,,False,0,False,,,23,0,,,0
244,99,accepted,accepted,accepted,26.361574172973633,26.340308904647827,3,3,0,0,target-seed,False,0,False,,,8,0,0.019216744859234303,True,3
