datablock_name,old_filepath,old_absolute,old_sha256,new_filepath,new_absolute,new_sha256,same_file,users,owner_nodes,status,blocker
metal_trash_can_rust_diff,E:\CODING\GitHub\FoundationPose\data\pallet\distractors\medium\ph__metal_trash_can\textures\metal_trash_can_rust_diff_1k.jpg,E:\CODING\GitHub\FoundationPose\data\pallet\distractors\medium\ph__metal_trash_can\textures\metal_trash_can_rust_diff_1k.jpg,51c44248305b111d978f7e0cbfe4a71ab7f49549968ce37c54b635d74c2cfba1,//../distractors/medium/ph__metal_trash_can/textures/metal_trash_can_rust_diff_1k.jpg,E:\CODING\GitHub\FoundationPose\data\pallet\distractors\medium\ph__metal_trash_can\textures\metal_trash_can_rust_diff_1k.jpg,51c44248305b111d978f7e0cbfe4a71ab7f49549968ce37c54b635d74c2cfba1,True,2,material:metal_trash_can_rust/Image Texture;material:metal_trash_can_rust.001/Image Texture,PLANNED,
metal_trash_can_rust_metal-metal_trash_can_rust_rough,E:\CODING\GitHub\FoundationPose\data\pallet\distractors\medium\ph__metal_trash_can\textures\metal_trash_can_rust_arm_1k.jpg,E:\CODING\GitHub\FoundationPose\data\pallet\distractors\medium\ph__metal_trash_can\textures\metal_trash_can_rust_arm_1k.jpg,31a6269e98a3a8b2a2d6db8f58724e0151d5312b5137e6d59b5a2ba873989159,//../distractors/medium/ph__metal_trash_can/textures/metal_trash_can_rust_arm_1k.jpg,E:\CODING\GitHub\FoundationPose\data\pallet\distractors\medium\ph__metal_trash_can\textures\metal_trash_can_rust_arm_1k.jpg,31a6269e98a3a8b2a2d6db8f58724e0151d5312b5137e6d59b5a2ba873989159,True,2,material:metal_trash_can_rust/Image Texture.001;material:metal_trash_can_rust.001/Image Texture.001,PLANNED,
metal_trash_can_rust_nor_gl,E:\CODING\GitHub\FoundationPose\data\pallet\distractors\medium\ph__metal_trash_can\textures\metal_trash_can_rust_nor_gl_1k.jpg,E:\CODING\GitHub\FoundationPose\data\pallet\distractors\medium\ph__metal_trash_can\textures\metal_trash_can_rust_nor_gl_1k.jpg,a5497588e00e5e56db72e701457fc8a46d3a1fa7d9dd7bf9d79e02cada09e84b,//../distractors/medium/ph__metal_trash_can/textures/metal_trash_can_rust_nor_gl_1k.jpg,E:\CODING\GitHub\FoundationPose\data\pallet\distractors\medium\ph__metal_trash_can\textures\metal_trash_can_rust_nor_gl_1k.jpg,a5497588e00e5e56db72e701457fc8a46d3a1fa7d9dd7bf9d79e02cada09e84b,True,2,material:metal_trash_can_rust/Image Texture.002;material:metal_trash_can_rust.001/Image Texture.002,PLANNED,
modular_chainlink_fence_posts_diff,E:\CODING\GitHub\FoundationPose\data\pallet\distractors\road\ph__modular_chainlink_fence\textures\modular_chainlink_fence_posts_diff_1k.jpg,E:\CODING\GitHub\FoundationPose\data\pallet\distractors\road\ph__modular_chainlink_fence\textures\modular_chainlink_fence_posts_diff_1k.jpg,ec273fedef04fbcac26460b996beeeceeff3f91c1bea73ed2c6db1d0fdb30b73,//../distractors/road/ph__modular_chainlink_fence/textures/modular_chainlink_fence_posts_diff_1k.jpg,E:\CODING\GitHub\FoundationPose\data\pallet\distractors\road\ph__modular_chainlink_fence\textures\modular_chainlink_fence_posts_diff_1k.jpg,ec273fedef04fbcac26460b996beeeceeff3f91c1bea73ed2c6db1d0fdb30b73,True,1,material:modular_chainlink_fence_posts/Image Texture,PLANNED,
modular_chainlink_fence_posts_metal-modular_chainlink_fence_posts_rough,E:\CODING\GitHub\FoundationPose\data\pallet\distractors\road\ph__modular_chainlink_fence\textures\modular_chainlink_fence_posts_arm_1k.jpg,E:\CODING\GitHub\FoundationPose\data\pallet\distractors\road\ph__modular_chainlink_fence\textures\modular_chainlink_fence_posts_arm_1k.jpg,1694ecc2746ddaa93951ea5d2f2b830f544adf929f7ac9fae855f8b8fdfbad50,//../distractors/road/ph__modular_chainlink_fence/textures/modular_chainlink_fence_posts_arm_1k.jpg,E:\CODING\GitHub\FoundationPose\data\pallet\distractors\road\ph__modular_chainlink_fence\textures\modular_chainlink_fence_posts_arm_1k.jpg,1694ecc2746ddaa93951ea5d2f2b830f544adf929f7ac9fae855f8b8fdfbad50,True,1,material:modular_chainlink_fence_posts/Image Texture.001,PLANNED,
modular_chainlink_fence_posts_nor_gl,E:\CODING\GitHub\FoundationPose\data\pallet\distractors\road\ph__modular_chainlink_fence\textures\modular_chainlink_fence_posts_nor_gl_1k.jpg,E:\CODING\GitHub\FoundationPose\data\pallet\distractors\road\ph__modular_chainlink_fence\textures\modular_chainlink_fence_posts_nor_gl_1k.jpg,b43b8214c90a55bb84222d2a27430b31080d68dc14879632b86dbd316cb5f060,//../distractors/road/ph__modular_chainlink_fence/textures/modular_chainlink_fence_posts_nor_gl_1k.jpg,E:\CODING\GitHub\FoundationPose\data\pallet\distractors\road\ph__modular_chainlink_fence\textures\modular_chainlink_fence_posts_nor_gl_1k.jpg,b43b8214c90a55bb84222d2a27430b31080d68dc14879632b86dbd316cb5f060,True,1,material:modular_chainlink_fence_posts/Image Texture.002,PLANNED,
modular_chainlink_fence_wire_diff-modular_chainlink_fence_wire_opacity,E:\CODING\GitHub\FoundationPose\data\pallet\distractors\road\ph__modular_chainlink_fence\textures\modular_chainlink_fence_wire_diff_1k.jpg,E:\CODING\GitHub\FoundationPose\data\pallet\distractors\road\ph__modular_chainlink_fence\textures\modular_chainlink_fence_wire_diff_1k.jpg,79253847a00b67a616148d753df8f4e44ba4615f848b82310426618b5a8dd79b,//../distractors/road/ph__modular_chainlink_fence/textures/modular_chainlink_fence_wire_diff_1k.jpg,E:\CODING\GitHub\FoundationPose\data\pallet\distractors\road\ph__modular_chainlink_fence\textures\modular_chainlink_fence_wire_diff_1k.jpg,79253847a00b67a616148d753df8f4e44ba4615f848b82310426618b5a8dd79b,True,1,material:modular_chainlink_fence_wire/Image Texture,PLANNED,
modular_chainlink_fence_wire_metal-modular_chainlink_fence_wire_rough,E:\CODING\GitHub\FoundationPose\data\pallet\distractors\road\ph__modular_chainlink_fence\textures\modular_chainlink_fence_wire_arm_1k.jpg,E:\CODING\GitHub\FoundationPose\data\pallet\distractors\road\ph__modular_chainlink_fence\textures\modular_chainlink_fence_wire_arm_1k.jpg,88af8364890b0645cd730eca11b30e6cd1c7578ad3aa1f012bb84915b9be5a03,//../distractors/road/ph__modular_chainlink_fence/textures/modular_chainlink_fence_wire_arm_1k.jpg,E:\CODING\GitHub\FoundationPose\data\pallet\distractors\road\ph__modular_chainlink_fence\textures\modular_chainlink_fence_wire_arm_1k.jpg,88af8364890b0645cd730eca11b30e6cd1c7578ad3aa1f012bb84915b9be5a03,True,1,material:modular_chainlink_fence_wire/Image Texture.001,PLANNED,
modular_chainlink_fence_wire_nor_gl,E:\CODING\GitHub\FoundationPose\data\pallet\distractors\road\ph__modular_chainlink_fence\textures\modular_chainlink_fence_wire_nor_gl_1k.jpg,E:\CODING\GitHub\FoundationPose\data\pallet\distractors\road\ph__modular_chainlink_fence\textures\modular_chainlink_fence_wire_nor_gl_1k.jpg,5cbf280f80e948de2422f0bb2fe2223a3b6f8e6fc75f54b00cd8d3e070938230,//../distractors/road/ph__modular_chainlink_fence/textures/modular_chainlink_fence_wire_nor_gl_1k.jpg,E:\CODING\GitHub\FoundationPose\data\pallet\distractors\road\ph__modular_chainlink_fence\textures\modular_chainlink_fence_wire_nor_gl_1k.jpg,5cbf280f80e948de2422f0bb2fe2223a3b6f8e6fc75f54b00cd8d3e070938230,True,1,material:modular_chainlink_fence_wire/Image Texture.002,PLANNED,
multi_cleaner_5_litre_diff,E:\CODING\GitHub\FoundationPose\data\pallet\distractors\indoor\ph__multi_cleaner_5_litre\textures\multi_cleaner_5_litre_diff_1k.jpg,E:\CODING\GitHub\FoundationPose\data\pallet\distractors\indoor\ph__multi_cleaner_5_litre\textures\multi_cleaner_5_litre_diff_1k.jpg,dc59d4cdb8f85c6ef09b3730f17d2bdb7ec2b819de29b8e03e56e69cc0d76a9e,//../distractors/indoor/ph__multi_cleaner_5_litre/textures/multi_cleaner_5_litre_diff_1k.jpg,E:\CODING\GitHub\FoundationPose\data\pallet\distractors\indoor\ph__multi_cleaner_5_litre\textures\multi_cleaner_5_litre_diff_1k.jpg,dc59d4cdb8f85c6ef09b3730f17d2bdb7ec2b819de29b8e03e56e69cc0d76a9e,True,1,material:multi_cleaner_5_litre/Image Texture,PLANNED,
