idx,frame_id,diagnostic_mode,stage,path,present,decode_ok,decode_error,sha256,content_sha256,width,height,area,all_black,rgb_sha256,within_frame_duplicate_group,cross_frame_duplicate_frame_count,cross_frame_duplicate_class
7,f0007,cargo-only,m0,mask\f0007_m0.png,True,True,,abe02c7461b1a5b485edf52fccfbd6f28d6d5d71d26aa57a799639cc25f84283,2e81343eefe74eed368c238b20720f11bd9ea211e79084071c94a80925e8d170,960,540,250550,False,50073932a860e24e883a70ef82453bc6ff9d4a2306456ea002729201b351b566,m0+m1 [expected_no_op],,
7,f0007,cargo-only,m1,mask\f0007_m1.png,True,True,,57540b86305e42287447c882e1b7a224872fe3b2f968036fd6cacf0d8582b50b,2e81343eefe74eed368c238b20720f11bd9ea211e79084071c94a80925e8d170,960,540,250550,False,50073932a860e24e883a70ef82453bc6ff9d4a2306456ea002729201b351b566,m0+m1 [expected_no_op],,
7,f0007,cargo-only,m2,mask\f0007_m2.png,True,True,,5812faf56c23ece1944fceb6864dc6fb98abb6a48b6c1c116ce38ad6924af29a,111f6368462d9af51d2b4cfaac48bc3215a760e7feb8b949f25f13eaccd9a338,960,540,232628,False,50073932a860e24e883a70ef82453bc6ff9d4a2306456ea002729201b351b566,m2+m3+m4 [expected_no_op],,
7,f0007,cargo-only,m3,mask\f0007_m3.png,True,True,,a6a8f47a40a5bdc1c4cb873f8b80a5e33b0d56202081b64f361f0ca8f2e7deb4,111f6368462d9af51d2b4cfaac48bc3215a760e7feb8b949f25f13eaccd9a338,960,540,232628,False,50073932a860e24e883a70ef82453bc6ff9d4a2306456ea002729201b351b566,m2+m3+m4 [expected_no_op],,
7,f0007,cargo-only,m4,mask\f0007_m4.png,True,True,,ae900ad9b825a2c783d53ced2b894de9cc486294e4019ddcf0e1ed417995ee53,111f6368462d9af51d2b4cfaac48bc3215a760e7feb8b949f25f13eaccd9a338,960,540,232628,False,50073932a860e24e883a70ef82453bc6ff9d4a2306456ea002729201b351b566,m2+m3+m4 [expected_no_op],,
8,f0008,cargo-only,m0,mask\f0008_m0.png,True,True,,b0efa8303701e434640c788781e424e82069ccbff9edc236748038426f7713b0,712b0d22121e0e0142ad507ee0cbda1680b9191258a3668704a5dcb4d263f4ea,640,480,99256,False,7745e28994d3162af7245d4b3c6df968bde35675af324c9839e710bef862e4b7,m0+m1 [expected_no_op],,
8,f0008,cargo-only,m1,mask\f0008_m1.png,True,True,,9baad8c8b704065a19d303e1640ea82411fbebc70442806dcb0b464084266dc6,712b0d22121e0e0142ad507ee0cbda1680b9191258a3668704a5dcb4d263f4ea,640,480,99256,False,7745e28994d3162af7245d4b3c6df968bde35675af324c9839e710bef862e4b7,m0+m1 [expected_no_op],,
8,f0008,cargo-only,m2,mask\f0008_m2.png,True,True,,5c16dba1c737ebcfbab7d843a2a5d33dbe45d9f6858899c55f7722ff74e7e516,64afc5baaf7d6304ac9d4655bf6f04a1918bcdc666fbedc932a49044096f8045,640,480,82092,False,7745e28994d3162af7245d4b3c6df968bde35675af324c9839e710bef862e4b7,m2+m3+m4 [expected_no_op],,
8,f0008,cargo-only,m3,mask\f0008_m3.png,True,True,,e7e089d23f46c83cfaeca5a1a4bd24b9f08b6afb1f8056e65fe19ca11e5aaf36,64afc5baaf7d6304ac9d4655bf6f04a1918bcdc666fbedc932a49044096f8045,640,480,82092,False,7745e28994d3162af7245d4b3c6df968bde35675af324c9839e710bef862e4b7,m2+m3+m4 [expected_no_op],,
8,f0008,cargo-only,m4,mask\f0008_m4.png,True,True,,7b2ccd24fd5b74066be1f083f0eef7f228074f39ae33e5c79b423b80bc1824a2,64afc5baaf7d6304ac9d4655bf6f04a1918bcdc666fbedc932a49044096f8045,640,480,82092,False,7745e28994d3162af7245d4b3c6df968bde35675af324c9839e710bef862e4b7,m2+m3+m4 [expected_no_op],,
