move_id,source,leaf,ref_file,ref_line,ref_category,matched_token,parent,kind,line_text
D1-009,data/pallet/assets/scenes/production/blender_scene/synth_data_scene.blend,synth_data_scene.blend,scripts/data_prep/blender/_render_plastic_closeup.py,11,runtime,data/pallet/blender_scene/synth_data_scene.blend,data/pallet/blender_scene,path_other,data/pallet/blender_scene/synth_data_scene.blend \
D1-009,data/pallet/assets/scenes/production/blender_scene/synth_data_scene.blend,synth_data_scene.blend,scripts/data_prep/blender/_render_wood_closeup.py,7,runtime,data/pallet/blender_scene/synth_data_scene.blend,data/pallet/blender_scene,path_other,blender -b data/pallet/blender_scene/synth_data_scene.blend \
D1-009,data/pallet/assets/scenes/production/blender_scene/synth_data_scene.blend,synth_data_scene.blend,scripts/data_prep/blender/_render_wood_skin_compare.py,6,runtime,data/pallet/blender_scene/synth_data_scene.blend,data/pallet/blender_scene,path_other,blender -b data/pallet/blender_scene/synth_data_scene.blend \
D1-009,data/pallet/assets/scenes/production/blender_scene/synth_data_scene.blend,synth_data_scene.blend,scripts/data_prep/blender/_v2_calib_200.py,12,runtime,data/pallet/blender_scene/synth_data_scene.blend,data/pallet/blender_scene,path_other,blender -b data/pallet/blender_scene/synth_data_scene.blend \
D1-009,data/pallet/assets/scenes/production/blender_scene/synth_data_scene.blend,synth_data_scene.blend,scripts/data_prep/blender/_v2_pilot_2k.py,21,runtime,data/pallet/blender_scene/synth_data_scene.blend,data/pallet/blender_scene,path_other,blender -b data/pallet/blender_scene/synth_data_scene.blend \
D1-009,data/pallet/assets/scenes/production/blender_scene/synth_data_scene.blend,synth_data_scene.blend,scripts/data_prep/blender/integration_tests/test_pallet_data_paths_local.py,80,test,synth_data_scene.blend,,leaf_only,"self.assertEqual(os.path.basename(orig), ""synth_data_scene.blend"")"
D1-009,data/pallet/assets/scenes/production/blender_scene/synth_data_scene.blend,synth_data_scene.blend,scripts/data_prep/blender/tests/test_pallet_data_paths_unit.py,31,test,data/pallet/blender_scene/synth_data_scene.blend,data/pallet/blender_scene,path_other,"""production_scene"": ""data/pallet/blender_scene/synth_data_scene.blend"","
D1-009,data/pallet/assets/scenes/production/blender_scene/synth_data_scene.blend,synth_data_scene.blend,scripts/data_prep/blender/tests/test_pallet_data_paths_unit.py,65,test,data/pallet/blender_scene/synth_data_scene.blend,data/pallet/blender_scene,path_other,"""data/pallet/blender_scene/synth_data_scene.blend"","
D1-009,data/pallet/assets/scenes/production/blender_scene/synth_data_scene.blend,synth_data_scene.blend,scripts/data_prep/blender/tests/test_pallet_data_paths_unit.py,399,test,synth_data_scene.blend,,leaf_only,"base + ""synth_data_scene.blend"")"
D1-014,data/pallet/assets/scenes/production/blender_scene/synth_data_scene_indoor.blend,synth_data_scene_indoor.blend,scripts/data_prep/blender/render_indoor_data.py,6,runtime,synth_data_scene_indoor.blend,,leaf_only,blender synth_data_scene_indoor.blend --background --python render_indoor_data.py -- --num_frames 1000
D1-015,data/pallet/assets/scenes/production/blender_scene/synth_data_scene_portable.blend,synth_data_scene_portable.blend,config/synthetic/pallet_paths.yaml,19,runtime,data/pallet/assets/scenes/production/blender_scene/synth_data_scene_portable.blend,data/pallet/assets/scenes/production/blender_scene,path_current,"""production_scene_stage2c1_rollback"": ""data/pallet/assets/scenes/production/blender_scene/synth_data_scene_portable.blend"","
D1-015,data/pallet/assets/scenes/production/blender_scene/synth_data_scene_portable.blend,synth_data_scene_portable.blend,scripts/data_prep/blender/integration_tests/test_pallet_data_paths_local.py,79,test,synth_data_scene_portable.blend,,leaf_only,"self.assertEqual(os.path.basename(c1), ""synth_data_scene_portable.blend"")"
D1-015,data/pallet/assets/scenes/production/blender_scene/synth_data_scene_portable.blend,synth_data_scene_portable.blend,scripts/data_prep/blender/tests/test_pallet_data_paths_unit.py,397,test,synth_data_scene_portable.blend,,leaf_only,"base + ""synth_data_scene_portable.blend"")"
D1-017,data/pallet/assets/scenes/production/blender_scene/synth_data_scene_portable_stage2c2.blend,synth_data_scene_portable_stage2c2.blend,config/synthetic/pallet_paths.yaml,18,runtime,data/pallet/assets/scenes/production/blender_scene/synth_data_scene_portable_stage2c2.blend,data/pallet/assets/scenes/production/blender_scene,path_current,"""production_scene"": ""data/pallet/assets/scenes/production/blender_scene/synth_data_scene_portable_stage2c2.blend"","
D1-017,data/pallet/assets/scenes/production/blender_scene/synth_data_scene_portable_stage2c2.blend,synth_data_scene_portable_stage2c2.blend,scripts/data_prep/blender/integration_tests/test_pallet_data_paths_local.py,78,test,synth_data_scene_portable_stage2c2.blend,,leaf_only,"self.assertEqual(os.path.basename(scene), ""synth_data_scene_portable_stage2c2.blend"")"
D1-017,data/pallet/assets/scenes/production/blender_scene/synth_data_scene_portable_stage2c2.blend,synth_data_scene_portable_stage2c2.blend,scripts/data_prep/blender/tests/test_pallet_data_paths_unit.py,392,test,synth_data_scene_portable_stage2c2.blend,,leaf_only,"""synth_data_scene_portable_stage2c2.blend"")"
D1-033,data/pallet/archive/train_palletobj_v3,train_palletobj_v3,scripts/data_prep/postprocess_v3.py,199,runtime,data/pallet/archive/train_palletobj_v3,data/pallet/archive,path_current,"default=""data/pallet/archive/train_palletobj_v3"","
D1-035,data/pallet/archive/train_palletobj_v2,train_palletobj_v2,scripts/data_prep/blender/run_chunks_v2.sh,11,runtime,CODING/GitHub/FoundationPose/data/pallet/train_palletobj_v2,CODING/GitHub/FoundationPose/data/pallet,path_stale_old,"OUT=""E:/CODING/GitHub/FoundationPose/data/pallet/train_palletobj_v2"""
D1-036,data/pallet/archive/train_palletobj_v1,train_palletobj_v1,scripts/data_prep/blender/analyze_stats.py,7,runtime,CODING/GitHub/FoundationPose/data/pallet/train_palletobj_v1,CODING/GitHub/FoundationPose/data/pallet,path_stale_old,"OUT_DIR = r""E:/CODING/GitHub/FoundationPose/data/pallet/train_palletobj_v1"""
D1-036,data/pallet/archive/train_palletobj_v1,train_palletobj_v1,scripts/data_prep/blender/run_chunks.sh,19,runtime,CODING/GitHub/FoundationPose/data/pallet/train_palletobj_v1,CODING/GitHub/FoundationPose/data/pallet,path_stale_old,"OUT=""E:/CODING/GitHub/FoundationPose/data/pallet/train_palletobj_v1"""
D1-036,data/pallet/archive/train_palletobj_v1,train_palletobj_v1,scripts/data_prep/blender/run_mass_10k.py,19,runtime,CODING/GitHub/FoundationPose/data/pallet/train_palletobj_v1,CODING/GitHub/FoundationPose/data/pallet,path_stale_old,"parser.add_argument(""--out"", type=str, default=r""E:/CODING/GitHub/FoundationPose/data/pallet/train_palletobj_v1"")"
D1-037,data/pallet/archive/training_data_v4_split,training_data_v4_split,scripts/data_prep/blender/_restructure_to_r3.py,20,runtime,data/pallet/training_data_v4_split,data/pallet,path_stale_old,--root data/pallet/training_data_v4_split \
D1-038,data/pallet/archive/training_data,training_data,config/default.yaml,53,runtime,data/pallet/archive/training_data/train,data/pallet/archive,path_current,train_dir: data/pallet/archive/training_data/train
D1-038,data/pallet/archive/training_data,training_data,config/default.yaml,54,runtime,data/pallet/archive/training_data/val,data/pallet/archive,path_current,val_dir: data/pallet/archive/training_data/val
D1-038,data/pallet/archive/training_data,training_data,config/stage3_selftrain.yaml,81,runtime,data/pallet/archive/training_data/train,data/pallet/archive,path_current,synthetic_data: data/pallet/archive/training_data/train
D1-038,data/pallet/archive/training_data,training_data,config/stage3_selftrain.yaml,85,runtime,data/pallet/archive/training_data/val,data/pallet/archive,path_current,val_dir: data/pallet/archive/training_data/val
D1-038,data/pallet/archive/training_data,training_data,config/synthetic/isaac_sim.yaml,7,runtime,training_data,,leaf_only,"""// default_output_dir"": ""Stage 2-D0.1: 출력 경로. training_data 는 archive/ 로 내려갔고 NoAI baked 라 릴리스 제외 대상 — 새 출력은 archive 밖으로 낸다."","
D1-038,data/pallet/archive/training_data,training_data,Deep_Object_Pose/train/train.py,219,runtime,training_data,,leaf_only,training_data = torch.utils.data.DataLoader(
D1-038,data/pallet/archive/training_data,training_data,Deep_Object_Pose/train/train.py,227,runtime,training_data,,leaf_only,if not training_data is None:
D1-038,data/pallet/archive/training_data,training_data,Deep_Object_Pose/train/train.py,267,runtime,training_data,,leaf_only,"_runnetwork(net, optimizer, local_rank, epoch, training_data, writer)"
D1-038,data/pallet/archive/training_data,training_data,scripts/data_prep/evaluate_on_val.py,12,runtime,data/pallet/archive/training_data/val,data/pallet/archive,path_current,--val_dir data/pallet/archive/training_data/val \
D1-038,data/pallet/archive/training_data,training_data,scripts/data_prep/merge_and_validate.py,13,runtime,training_data,,leaf_only,"# Stage 2-D0.1: training_data 는 archive/ 아래로 내려갔다(NoAI baked, 릴리스 제외 대상)."
D1-038,data/pallet/archive/training_data,training_data,scripts/data_prep/merge_and_validate.py,18,runtime,training_data,,leaf_only,"os.path.join(""data"", ""pallet"", ""archive"", ""training_data""))"
D1-038,data/pallet/archive/training_data,training_data,scripts/data_prep/visualize_inference.py,9,runtime,data/pallet/archive/training_data/val,data/pallet/archive,path_current,--val_dir data/pallet/archive/training_data/val \
D1-038,data/pallet/archive/training_data,training_data,scripts/data_prep/visualize_inference.py,185,runtime,training_data,,leaf_only,"# Stage 2-D0.1: training_data 는 archive/ 아래 (NoAI baked, 재생성 대상)"
D1-038,data/pallet/archive/training_data,training_data,scripts/data_prep/visualize_inference.py,187,runtime,data/pallet/archive/training_data/val,data/pallet/archive,path_current,"default=""data/pallet/archive/training_data/val"")"
D1-038,data/pallet/archive/training_data,training_data,scripts/data_prep/visualize_pretrain.py,192,runtime,training_data,,leaf_only,# Stage 2-D0.1: training_data 는 archive/ 아래 (NoAI baked)
D1-038,data/pallet/archive/training_data,training_data,scripts/data_prep/visualize_pretrain.py,193,runtime,data/pallet/archive/training_data/val,data/pallet/archive,path_current,syn_imgs = sorted(glob.glob('data/pallet/archive/training_data/val/*.png'))
D1-038,data/pallet/archive/training_data,training_data,scripts/data_prep/blender/_audit_perm_disagreement.py,22,runtime,CODING/GitHub/FoundationPose/data/pallet/training_data,CODING/GitHub/FoundationPose/data/pallet,path_stale_old,"""E:/CODING/GitHub/FoundationPose/data/pallet/training_data"""
D1-038,data/pallet/archive/training_data,training_data,scripts/data_prep/isaac_sim/generate_all.sh,42,runtime,training_data,,leaf_only,"#   training_data -> archive/training_data (NoAI baked, 릴리스 제외 — 재생성 대상)"
D1-038,data/pallet/archive/training_data,training_data,scripts/data_prep/isaac_sim/generate_all.sh,44,runtime,-data/pallet/archive/training_data,-data/pallet/archive,path_current,"TRAIN_BASE=""${TRAIN_BASE:-data/pallet/archive/training_data}"""
D1-038,data/pallet/archive/training_data,training_data,scripts/data_prep/isaac_sim/gen_replicator_data.py,14,runtime,scripts/data_prep/isaac_sim/gen_replicator_data.py --num_frames 15000 --output_dir data/pallet/training_data,scripts/data_prep/isaac_sim/gen_replicator_data.py --num_frames 15000 --output_dir data/pallet,path_stale_old,python scripts/data_prep/isaac_sim/gen_replicator_data.py --num_frames 15000 --output_dir data/pallet/training_data
D1-038,data/pallet/archive/training_data,training_data,scripts/self_training/self_train.py,17,runtime,data/pallet/archive/training_data/train,data/pallet/archive,path_current,--synthetic_dir data/pallet/archive/training_data/train \\
D1-039,data/pallet/archive/train_palletobj_addon_v1,train_palletobj_addon_v1,scripts/data_prep/blender/run_addon_v1.sh,2,runtime,train_palletobj_addon_v1,,leaf_only,"# Reproduce the `train_palletobj_addon_v1` dataset (D435i-aligned add-on, 6000 frames)."
D1-039,data/pallet/archive/train_palletobj_addon_v1,train_palletobj_addon_v1,scripts/data_prep/blender/run_addon_v1.sh,10,runtime,data/pallet/train_palletobj_addon_v1,data/pallet,path_stale_old,#   frames  = 6000    seed = 7777    out = data/pallet/train_palletobj_addon_v1
D1-039,data/pallet/archive/train_palletobj_addon_v1,train_palletobj_addon_v1,scripts/data_prep/blender/run_addon_v1.sh,39,runtime,data/pallet/train_palletobj_addon_v1,data/pallet,path_stale_old,"OUT=""data/pallet/train_palletobj_addon_v1"""
D1-040,data/pallet/archive/trunc_addon_v1,trunc_addon_v1,scripts/data_prep/blender/audit_trunc_addon.py,1,runtime,trunc_addon_v1,,leaf_only,"""""""Self-audit for the trunc_addon_v1 pilot. Standalone (numpy + PIL, no bpy)."
D1-040,data/pallet/archive/trunc_addon_v1,trunc_addon_v1,scripts/data_prep/blender/audit_trunc_addon.py,12,runtime,.../data/pallet/trunc_addon_v1,.../data/pallet,path_stale_old,Usage:  python audit_trunc_addon.py --dir E:/.../data/pallet/trunc_addon_v1
D1-040,data/pallet/archive/trunc_addon_v1,trunc_addon_v1,scripts/data_prep/blender/gen_trunc_addon.py,38,runtime,CODING/GitHub/FoundationPose/data/pallet/trunc_addon_v1,CODING/GitHub/FoundationPose/data/pallet,path_stale_old,"DEFAULT_OUT_BASE = r""E:/CODING/GitHub/FoundationPose/data/pallet/trunc_addon_v1"""
D1-040,data/pallet/archive/trunc_addon_v1,trunc_addon_v1,scripts/data_prep/blender/run_trunc_addon.py,29,runtime,CODING/GitHub/FoundationPose/data/pallet/trunc_addon_v1,CODING/GitHub/FoundationPose/data/pallet,path_stale_old,"default=r""E:/CODING/GitHub/FoundationPose/data/pallet/trunc_addon_v1"")"
D1-048,data/pallet/archive/test_indoor_v1,test_indoor_v1,scripts/data_prep/blender/render_indoor_data.py,29,runtime,Users/User/Documents/GitHub/FoundationPose/data/pallet/test_indoor_v1,Users/User/Documents/GitHub/FoundationPose/data/pallet,path_stale_old,"default=""C:/Users/User/Documents/GitHub/FoundationPose/data/pallet/test_indoor_v1"")"
D1-051,data/pallet/archive/training_data_v4,training_data_v4,scripts/data_prep/blender/gen_4pallet_mask.py,672,runtime,data/pallet/training_data_v4,data/pallet,path_stale_old,"p.add_argument(""--out_dir"", default=""data/pallet/training_data_v4"")"
D1-051,data/pallet/archive/training_data_v4,training_data_v4,scripts/data_prep/blender/gen_dataset_v4.py,479,runtime,data/pallet/training_data_v4,data/pallet,path_stale_old,"p.add_argument(""--out_dir"", default=""data/pallet/training_data_v4"")"
D1-051,data/pallet/archive/training_data_v4,training_data_v4,scripts/data_prep/blender/run_dataset_v4.sh,28,runtime,data/pallet/training_data_v4,data/pallet,path_stale_old,#        --out_dir data/pallet/training_data_v4 \
D1-051,data/pallet/archive/training_data_v4,training_data_v4,scripts/data_prep/blender/run_dataset_v4.sh,34,runtime,data/pallet/training_data_v4,data/pallet,path_stale_old,"OUT_DIR=""data/pallet/training_data_v4"""
D1-051,data/pallet/archive/training_data_v4,training_data_v4,scripts/data_prep/blender/_verify_repilot.py,21,runtime,data/pallet/training_data_v4,data/pallet,path_stale_old,"ROOT = sys.argv[1] if len(sys.argv) > 1 else ""data/pallet/training_data_v4"""
D1-053,data/pallet/archive/train_palletobj_v3_post_v1,train_palletobj_v3_post_v1,scripts/data_prep/gen_surface_fps_v1.py,14,runtime,data/pallet/train_palletobj_v3_post_v1/surface_fps_v1.json,data/pallet,path_stale_old,"OUT = ""data/pallet/train_palletobj_v3_post_v1/surface_fps_v1.json"""
D1-053,data/pallet/archive/train_palletobj_v3_post_v1,train_palletobj_v3_post_v1,scripts/data_prep/postprocess_v3.py,202,runtime,data/pallet/archive/train_palletobj_v3_post_v1,data/pallet/archive,path_current,"default=""data/pallet/archive/train_palletobj_v3_post_v1"")"
D1-059,data/pallet/isaac_assets,isaac_assets,config/synthetic/isaac_sim.yaml,9,runtime,data/pallet/isaac_assets/Assets/Isaac/4.5/Isaac,data/pallet,path_current,"""isaac_assets_root"": ""data/pallet/isaac_assets/Assets/Isaac/4.5/Isaac"","
D1-059,data/pallet/isaac_assets,isaac_assets,config/synthetic/isaac_sim.yaml,10,runtime,data/pallet/isaac_assets/Assets/Isaac/4.5/NVIDIA/Assets/Skies,data/pallet,path_current,"""hdri_dir"": ""data/pallet/isaac_assets/Assets/Isaac/4.5/NVIDIA/Assets/Skies"","
