19, 2452, 17.23
19, 2452, 17.09
18, 2449, 17.12
20, 2449, 17.21
24, 2449, 17.26
23, 2449, 17.09
20, 2449, 17.16
18, 2449, 17.19
21, 2449, 17.22
18, 2449, 17.22
20, 2449, 17.18
20, 2449, 17.14
22, 2449, 17.07
21, 2449, 17.08
18, 2449, 17.07
18, 2451, 17.18
16, 2451, 17.31
18, 2451, 17.30
19, 2451, 17.31
18, 2451, 17.22
17, 2449, 17.35
18, 2449, 17.21
17, 2451, 17.39
22, 2451, 17.32
17, 2451, 17.21
18, 2451, 17.13
21, 2451, 17.06
17, 2455, 17.34
16, 2452, 17.37
17, 2450, 17.27
18, 2446, 17.26
17, 2446, 17.14
19, 2446, 17.08
17, 2446, 17.10
17, 2446, 17.19
18, 2446, 17.18
18, 2444, 17.18
17, 2444, 17.17
20, 2444, 17.16
18, 2444, 17.07
17, 2446, 16.89
17, 2446, 16.85
17, 2446, 16.95
17, 2446, 16.78
17, 2446, 16.89
17, 2444, 16.98
15, 2444, 16.99
16, 2444, 16.89
15, 2444, 17.09
12, 2444, 17.40
12, 2444, 17.37
12, 2444, 17.09
11, 2444, 17.10
16, 2444, 16.94
17, 2444, 16.97
16, 2444, 16.78
13, 2446, 16.78
19, 2446, 16.80
18, 2446, 16.84
32, 2456, 17.11
10, 2460, 18.95
2, 2525, 19.36
1, 2525, 17.74
20, 2517, 17.10
12, 2517, 17.08
3, 2516, 16.94
3, 2512, 16.83
4, 2502, 16.96
18, 2509, 17.03
14, 2457, 16.92
24, 2463, 17.15
13, 2472, 16.84
37, 2476, 17.01
23, 2481, 17.23
8, 2479, 16.85
46, 2529, 17.44
15, 2527, 17.03
21, 2501, 16.76
60, 2543, 17.02
28, 2566, 17.52
6, 2490, 17.68
23, 2460, 17.45
3, 2463, 16.73
0, 2481, 16.33
11, 2465, 16.52
0, 2461, 16.65
4, 2460, 16.65
3, 2452, 16.61
4, 2444, 16.53
0, 2443, 16.44
1, 2439, 16.49
4, 2426, 16.61
5, 2426, 16.71
6, 2467, 16.68
5, 2487, 16.64
2, 2482, 17.67
7, 2296, 17.93
9, 2296, 19.11
4, 2295, 17.88
0, 2290, 16.71
6, 2357, 18.62
2, 2369, 33.03
1, 2368, 31.04
4, 2376, 24.52
19, 2326, 24.80
21, 2318, 19.79
4, 2324, 18.97
42, 2391, 17.57
16, 2381, 17.29
3, 2375, 16.54
3, 2333, 17.10
4, 2313, 16.71
3, 2312, 16.23
35, 2310, 16.56
17, 2316, 16.79
18, 2383, 17.25
14, 2350, 17.06
28, 2310, 17.00
15, 2291, 16.70
14, 2281, 16.65
17, 2356, 16.79
31, 2308, 16.91
3, 2295, 16.63
43, 2299, 16.89
8, 2299, 16.85
36, 2286, 16.76
38, 2302, 17.27
30, 2293, 17.04
31, 2285, 16.96
18, 2274, 17.03
19, 2272, 16.88
20, 2268, 16.84
20, 2257, 16.84
19, 2252, 16.82
16, 2252, 16.93
16, 2252, 16.78
17, 2251, 16.59
16, 2251, 16.54
16, 2251, 16.73
15, 2266, 16.72
31, 2305, 16.92
34, 2289, 16.55
3, 2280, 16.35
32, 2324, 16.75
22, 2328, 17.11
23, 2368, 16.32
4, 2368, 16.14
4, 2362, 16.00
4, 2360, 16.26
4, 2360, 16.39
4, 2358, 16.27
3, 2356, 16.25
4, 2353, 16.18
4, 2351, 16.39
4, 2348, 16.23
1, 2338, 16.25
1, 2335, 16.00
1, 2329, 16.16
1, 2329, 16.27
0, 2329, 16.28
4, 2329, 16.20
13, 2329, 16.28
12, 2329, 16.36
1, 2329, 16.09
4, 2329, 16.10
3, 2329, 16.07
3, 2297, 16.85
3, 2297, 16.25
4, 2297, 16.06
4, 2297, 15.99
11, 2292, 16.14
13, 2297, 16.29
1, 2297, 16.19
8, 2297, 16.26
1, 2297, 16.28
13, 2301, 17.09
7, 2302, 16.94
1, 2302, 16.60
10, 2302, 16.29
4, 2302, 16.28
3, 2302, 16.04
8, 2302, 15.99
16, 2301, 16.39
18, 2301, 17.25
9, 2301, 16.37
9, 2301, 16.40
8, 2301, 16.45
4, 2301, 16.41
14, 2301, 16.43
6, 2301, 16.71
9, 2301, 16.42
18, 2301, 16.51
4, 2301, 16.70
5, 2301, 16.27
4, 2301, 16.23
4, 2306, 16.21
14, 2277, 16.35
17, 2317, 16.16
10, 2317, 17.87
9, 2328, 18.56
15, 2320, 17.88
11, 2303, 16.36
11, 2303, 16.22
16, 2307, 16.29
14, 2307, 16.29
15, 2289, 16.33
15, 2256, 16.35
14, 2256, 16.24
16, 2262, 16.29
16, 2262, 16.29
15, 2262, 16.10
16, 2262, 16.21
15, 2257, 16.32
15, 2263, 16.30
15, 2265, 16.25
15, 2265, 16.06
14, 2264, 16.29
15, 2260, 16.22
15, 2260, 16.11
15, 2260, 16.29
14, 2264, 16.41
12, 2264, 16.62
20, 2263, 16.63
16, 2263, 16.74
12, 2263, 16.67
18, 2261, 16.63
19, 2266, 16.68
12, 2360, 16.73
29, 2324, 16.62
27, 2343, 16.85
20, 2313, 16.68
17, 2318, 16.67
15, 2292, 16.68
16, 2285, 16.77
18, 2295, 16.85
17, 2296, 16.90
25, 2296, 16.74
21, 2294, 16.78
22, 2294, 16.95
18, 2315, 17.11
19, 2308, 16.86
20, 2303, 16.70
20, 2295, 16.61
16, 2293, 16.61
17, 2288, 16.72
10, 2412, 16.77
9, 2364, 19.06
8, 2306, 18.75
19, 2306, 17.24
