idx,frame_id,label_present,geometry_ok,rendered,pallet_type,diagnostic_mode,noise_tier,image_w,image_h,fx,fy,cx,cy,label_reproj_consistency_px,camera_distance_measured_m,camera_distance_used_m,camera_distance_source,camera_distance_limit_m,elevation_deg_actual,projected_size_actual,object_depth_z_m,mask_m0_area,mask_m0_bbox_w_px,mask_m0_bbox_h_px,mask_m0_min_side_px,bbox_all_w_px,bbox_all_h_px,bbox_all_min_side_px,bbox_all_diag_px,bbox_vis_w_px,bbox_vis_h_px,bbox_vis_min_side_px,bbox_vis_diag_px,bbox_vis_area_px2,visible_kp_min_pair_dist_px,visible_kp_hull_area_px2,inframe_corner_count,visible_corner_count,visible_kp_count,V_vis_label,visible_corner_count_matches_label,pnp_exact_success,pnp_exact_inliers,pnp_exact_reproj_mean_px,pnp_exact_reproj_max_px,pnp_exact_trans_err_cm,pnp_exact_rot_err_deg,canonical3d_exact_reproj_mean_px,mc1px_solve_fail_rate,mc1px_diverged_rate,mc1px_pose_fail_rate,mc1px_trans_cm_q50,mc1px_trans_cm_q90,mc1px_trans_cm_q95,mc1px_rot_deg_q50,mc1px_rot_deg_q90,mc1px_rot_deg_q95,mc1px_reproj_px_q50,mc1px_reproj_px_q90,mc1px_reproj_px_q95,mc2px_solve_fail_rate,mc2px_diverged_rate,mc2px_pose_fail_rate,mc2px_trans_cm_q50,mc2px_trans_cm_q90,mc2px_trans_cm_q95,mc2px_rot_deg_q50,mc2px_rot_deg_q90,mc2px_rot_deg_q95,mc2px_reproj_px_q50,mc2px_reproj_px_q90,mc2px_reproj_px_q95,mc3px_solve_fail_rate,mc3px_diverged_rate,mc3px_pose_fail_rate,mc3px_trans_cm_q50,mc3px_trans_cm_q90,mc3px_trans_cm_q95,mc3px_rot_deg_q50,mc3px_rot_deg_q90,mc3px_rot_deg_q95,mc3px_reproj_px_q50,mc3px_reproj_px_q90,mc3px_reproj_px_q95,physical_valid,physical_violations,physical_unknown,gate_valid,gate_valid_unknown,gate_unknown_fields,G1_pass,G2_pass,G3_pass,G4_pass,G5_pass,pnp_eligible_candidate_2cell,pnp_eligible_candidate_3cell,pnp_eligible_candidate_4cell,tiny_warning,pnp_stress
10,f0010,True,True,True,Pallet_2,cargo-only,clean,640,480,643.24559,643.24559,320,240,5.6843419e-14,4.9305332,4.9305332,record,10,20.945,0.26128841,4.6555366,9806,165,100,100,167.22458,101.32752,101.32752,195.52833,167.22458,101.32752,101.32752,195.52833,16944.452,20.979871,8912.8222,8,6,7,6,True,True,7,1.6669324e-05,6.2835104e-05,2.719649e-05,7.1431828e-06,1.6662861e-05,0,0,0.08,2.0393139,4.8895016,5.2906182,0.57084546,0.93172854,1.1201876,0.93619809,1.3134548,1.4735989,0,0,0.52,5.0663291,10.910204,12.538495,1.3597074,2.0624524,2.4377069,1.887367,2.6191006,2.7325699,0,0,0.605,7.2244154,16.879299,19.735818,1.8252282,3.1380199,3.3617642,2.9977629,3.9254638,4.17628,True,,,True,False,,True,True,True,True,True,True,True,True,False,True
11,f0011,True,True,True,Pallet_1,cargo-only,clean,960,540,605.9065,605.9065,480,270,1.1368684e-13,5.4830045,5.4830045,record,10,8.712,0.1946587,5.0409152,4356,185,31,31,186.87236,49.076746,49.076746,193.20922,186.87236,18.629193,18.629193,187.79863,3481.2812,13.444291,3280.513,7,6,7,6,True,True,7,8.5339069e-06,1.5086271e-05,1.8267051e-06,9.9566261e-06,8.5339076e-06,0,0,0.1,2.308616,4.8073587,5.8150099,0.60518815,0.96612473,1.0439759,0.97162892,1.2971657,1.3659576,0,0.02,0.455,4.3711445,9.6700413,12.014232,1.2553738,2.2758118,2.776717,1.8445584,2.6459021,2.8913581,0,0.03,0.62,5.9051273,14.04954,19.39508,1.7769511,3.2619508,4.0361795,2.903584,4.2116915,4.6636941,True,,,True,False,,True,True,True,True,True,True,False,False,False,False
12,f0012,True,True,True,Pallet_3,cargo-only,low,640,480,359.59197,359.59197,320,240,5.6843419e-14,8.7463882,8.7463883,record,10,37.607,0.1090305,8.2585652,1583,69,35,35,69.779518,35.583927,35.583927,78.328775,69.779518,35.583927,35.583927,78.328775,2483.0293,5.1142213,1690.8797,8,8,9,8,True,True,9,3.7517685e-06,6.6507244e-06,3.4541235e-05,1.1952831e-05,3.6809704e-06,0,0,0.725,8.5968714,22.410858,24.028292,1.9958067,3.5837738,3.9843205,1.0527272,1.3184557,1.4087783,0,0,0.9,19.144056,41.422658,52.2829,4.1565016,7.3723719,14.748518,2.051307,2.802439,4.294415,0,0.03,0.98,30.83839,62.976499,79.479364,6.4332929,35.104138,38.564136,3.2248801,11.170758,12.056867,True,,,True,False,,True,True,True,True,True,True,True,True,False,True
13,f0013,True,True,True,Pallet_2,cargo-only,clean,720,480,660.84432,660.84432,360,240,5.6843419e-14,2.411039,2.411039,record,10,6.341,0.68577477,2.2075971,27903,357,101,101,493.75783,128.11119,128.11119,510.10712,314.93669,52.25151,52.25151,319.24182,16455.918,44.316216,8227.5175,5,4,5,4,True,True,5,9.4220892e-06,1.3162184e-05,8.3197113e-06,3.4150946e-06,0.078688849,0,0.05,0.08,0.95500183,2.803346,40.509516,0.35282264,0.7202605,43.1111,0.85108584,1.4714172,70.135446,0,0.005,0.065,1.5513408,4.3024496,5.6696547,0.69107728,1.2199011,1.4551894,1.5204605,2.5958265,2.9730543,0,0.01,0.18,2.5070973,5.764295,6.9213489,1.0116686,1.7520805,1.8723973,2.4543121,3.6855757,4.1076834,True,,,True,False,,True,True,True,True,True,True,True,True,False,False
14,f0014,True,True,True,Pallet_1,cargo-only,medium,640,480,605.9065,605.9065,320,240,1.1368684e-13,1.499342,1.499342,record,10,11.749,0.93954058,1.499342,73560,555,228,228,601.30597,230.91871,230.91871,644.12136,235.91128,215.71716,215.71716,319.66862,50890.112,44.925778,25062.484,6,4,5,4,True,True,5,4.0999883e-06,6.4920239e-06,7.2025144e-07,0,3.940185e-06,0,0,0,0.69258173,1.3801347,1.6558472,0.30324512,0.52998723,0.64113975,0.81379061,1.3313501,1.4601583,0,0,0.01,1.4185425,3.2363492,3.8739799,0.59149565,1.0827072,1.1826863,1.5089588,2.5829352,2.8863789,0,0.005,0.075,2.0557235,4.7854539,5.266429,0.90863275,1.6406909,1.8352576,2.5396893,3.8837311,4.4858777,True,,,True,False,,True,True,True,True,True,True,True,True,False,False
15,f0015,True,True,True,Pallet_0,cargo-only,clean,960,540,490.31726,490.31726,480,270,1.1368684e-13,8.3752805,8.3752806,record,10,11.027,0.086124579,7.8748429,1663,82,24,24,82.679596,24.599283,24.599283,86.261465,82.679596,24.599283,24.599283,86.261465,2033.8588,2.9231549,1713.9175,8,8,9,8,True,True,9,1.05285e-05,1.9276224e-05,0.00010741473,1.5603283e-05,1.1362899e-05,0,0,0.58,5.8738925,12.885312,15.565392,0.98543985,1.5270806,1.6844817,1.0235105,1.3209726,1.3854089,0,0,0.81,12.123222,27.631906,33.924287,1.8872058,3.4806817,3.9848475,2.1005933,2.6748859,2.8256687,0,0,0.88,20.842382,47.525201,58.695042,3.2129665,5.1615371,5.8918976,3.0755867,3.9267097,4.29004,True,,,True,False,,True,True,True,True,True,True,True,False,False,True
16,f0016,True,True,True,Pallet_0,cargo-only,low,960,540,632.76989,632.76989,480,270,2.2737368e-13,1.5878245,1.5878244,record,10,32.306,0.65794995,1.5878245,147389,618,405,405,631.63195,444.89745,444.89745,772.58829,631.63195,286.2583,286.2583,693.47151,180809.89,51.083972,96949.949,7,5,5,5,True,True,5,2.2890677e-05,2.8889589e-05,8.1191507e-06,1.0933637e-05,0.00013275192,0,0,0,0.40468758,0.70688917,0.8248644,0.30217257,0.58088387,0.64835904,1.2674529,2.1593909,2.4544623,0,0,0.005,0.74603816,1.2318601,1.4934568,0.5393965,1.0428291,1.2515652,2.2983489,4.0731378,5.3320814,0,0,0.005,1.02122,1.8464141,2.3527532,0.76419834,1.4509384,1.6310517,3.4338582,7.1907003,8.4998361,True,,,True,False,,True,True,True,True,True,True,True,True,False,False
17,f0017,True,True,True,Pallet_2,cargo-only,clean,560,560,359.85123,359.85123,280,280,5.6843419e-14,5.2019651,5.2019651,record,10,65.986,0.20864615,4.9118295,5599,116,112,112,116.84184,112.72434,112.72434,162.35391,116.84184,112.72434,112.72434,162.35391,13170.92,4.402846,6691.0196,8,8,8,8,True,True,8,9.1601864e-06,1.8551284e-05,4.5036754e-05,2.6148342e-05,9.3209954e-06,0,0,0.38,3.9810564,8.9409742,10.795303,1.880432,3.3605158,3.6695678,1.0093015,1.3106532,1.3618047,0,0,0.77,8.2698126,17.85573,21.536435,3.6606774,6.935384,8.0248178,2.0244728,2.6283233,2.8214572,0,0.02,0.87,10.915663,24.692436,29.553709,6.0866426,11.51384,16.285717,3.0307207,3.9606748,4.5299832,True,,,True,False,,True,True,True,True,True,True,True,True,False,True
18,f0018,True,True,True,Pallet_3,cargo-only,medium,640,480,578.48892,578.48892,320,240,1.1368684e-13,2.6730702,2.6730702,record,10,17.678,0.51928673,2.5951512,25749,329,103,103,332.34351,102.65137,102.65137,347.83547,332.34351,102.65137,102.65137,347.83547,34115.517,29.691029,24453.092,8,7,8,7,True,True,8,2.9175729e-06,4.5423225e-06,1.0864697e-06,2.6998693e-06,3.1600427e-06,0,0,0,0.63304824,1.4426607,1.7631914,0.33959795,0.5738573,0.65984196,1.0423772,1.3313134,1.4039366,0,0,0,1.0778704,2.5393066,3.0279183,0.70733465,1.183441,1.3504194,1.9797764,2.6722446,2.8740256,0,0,0.09,2.0944527,4.8817104,5.473434,1.1380846,1.88539,2.1208736,3.0587941,3.9095209,4.304688,True,,,True,False,,True,True,True,True,True,True,True,True,False,False
19,f0019,True,True,True,Pallet_1,cargo-only,low,640,480,605.9065,605.9065,320,240,1.1368684e-13,1.3907301,1.3907301,record,10,11.208,1.2922662,1.3131632,56628,344,228,228,827.05034,228.25917,228.25917,857.97116,234.93036,226.18751,226.18751,326.11817,53138.313,43.769389,26350.284,6,4,5,4,True,True,5,5.4974223e-06,9.6355631e-06,3.8629332e-06,1.2074183e-06,8.4446447e-06,0,0,0,0.60452024,1.2153814,1.4164112,0.27385296,0.4892792,0.56169243,0.82171112,1.3296675,1.5140049,0,0,0.005,1.1466916,2.6256987,3.0396971,0.55870375,0.95461649,1.1374529,1.8230624,2.5998632,2.9811495,0,0,0.04,1.7685122,4.1735886,4.7237789,0.77719942,1.6082057,1.7506557,2.4914559,4.339901,4.8175116,True,,,True,False,,True,True,True,True,True,True,True,True,False,False
20,f0020,True,True,True,Pallet_2,context-rich,low,640,480,605.9065,605.9065,320,240,1.1368684e-13,4.7327502,4.7327502,record,10,45.783,0.32004935,4.4424543,18571,192,158,158,204.83159,159.26106,159.26106,259.4611,124.27518,159.26106,124.27518,202.0109,19792.197,16.548056,9741.2623,6,6,7,6,True,True,7,1.2892579e-05,2.4278591e-05,2.4940793e-05,1.3336371e-05,1.2864872e-05,0,0,0.285,3.0660297,8.5030626,10.706791,0.81404592,1.59686,1.8240902,0.94801205,1.269119,1.3297333,0,0,0.59,6.3840395,15.797608,17.946052,1.6427829,3.017204,3.2731232,1.9122947,2.5971164,2.7661786,0,0,0.68,10.17899,23.673863,27.859353,2.6098454,4.8995814,5.8952237,2.8124997,3.73474,4.0797344,True,,,True,False,,True,True,True,True,True,True,True,True,False,True
21,f0021,True,True,True,Pallet_1,context-rich,medium,560,560,524.12503,524.12503,280,280,5.6843419e-14,1.9313372,1.9313376,record,10,6.951,0.76686231,1.8447311,22525,336,111,111,429.44289,113.07298,113.07298,444.07961,302.35519,113.07298,113.07298,322.80669,34188.201,39.834132,21258.918,6,5,6,5,True,True,6,2.0332109e-05,5.0194966e-05,1.4743316e-05,4.0045534e-06,2.1168563e-05,0,0,0,0.65348698,1.4338485,1.6029447,0.33369413,0.54184102,0.62789102,0.90790394,1.2664946,1.3290577,0,0,0.005,1.1851085,2.4457049,2.9535778,0.57869669,1.1038578,1.2503613,1.7986378,2.5666355,2.7701774,0,0,0.025,1.9380991,3.9987663,4.5862705,0.93709187,1.6567662,1.836753,2.5757751,3.7964673,4.144534,True,,,True,False,,True,True,True,True,True,True,True,True,False,False
22,f0022,True,True,True,Pallet_3,context-rich,clean,640,480,619.30083,619.30083,320,240,1.1368684e-13,1.0684502,1.0684506,record,10,17.741,1.6950668,1.0171695,136247,576,426,426,1084.8428,613.04417,613.04417,1246.0766,430.03438,130.84444,130.84444,449.49954,56267.606,57.863231,38077.297,4,4,5,4,True,True,5,1.5387465e-05,2.8344239e-05,3.0191588e-05,1.7497153e-05,1.3952572e-05,0,0,0.01,0.38084298,0.72710272,0.85785652,0.28892295,0.48256286,0.55054106,0.85181132,1.2953794,1.5337187,0,0,0.005,0.78616509,1.4837383,1.7832037,0.55280814,0.94457611,1.0232164,1.6046039,2.4979021,2.91446,0,0,0,1.1717445,2.1315233,2.3984924,0.90936985,1.5094259,1.6603348,2.6362086,3.9446273,4.5961128,True,,,True,False,,True,True,True,True,True,True,True,True,False,False
23,f0023,True,True,True,Pallet_0,context-rich,low,720,480,605.9065,605.9065,360,240,1.1368684e-13,6.9620912,6.9620911,record,10,31.789,0.22414343,6.17731,6941,158,68,68,161.38327,104.54149,104.54149,192.2849,161.38327,61.744405,61.744405,172.79159,9964.5141,11.727,5055.225,6,6,7,6,True,True,7,9.8870682e-06,1.1910292e-05,3.5794552e-05,1.5367926e-05,1.0691855e-05,0,0.015,0.235,3.0334702,7.5702582,9.7927423,1.1781487,1.9389582,2.2379074,0.94313582,1.2906558,1.439687,0,0.005,0.67,6.8228765,15.420357,17.350151,2.2073898,3.9461836,4.8344826,1.8977173,2.6915951,2.9254529,0,0.01,0.755,8.395258,24.260732,28.110355,3.3819975,5.5147506,6.7091157,2.8253726,4.0317736,4.4083496,True,,,True,False,,True,True,True,True,True,True,True,True,False,True
24,f0024,True,True,True,Pallet_3,context-rich,low,640,480,473.19296,473.19296,320,240,5.6843419e-14,8.6162573,8.6162579,record,10,3.463,0.13355326,8.3056139,944,84,14,14,85.474085,14.42487,14.42487,86.682732,85.474085,14.42487,14.42487,86.682732,1232.9526,7.9093481,988.37558,8,8,9,8,True,True,9,8.2194941e-06,1.2839685e-05,0.00018079873,1.7329712e-05,5.3290062e-06,0,0,0.725,8.3936624,21.504604,26.115526,1.024637,1.7664662,1.9704817,1.0314851,1.3745577,1.4470635,0,0.01,0.805,14.83485,41.449854,47.569098,2.1053824,3.6853102,4.1629172,2.0866721,2.6912493,2.8762628,0,0.01,0.935,24.132137,67.140067,78.236129,3.5118274,6.7149478,7.506363,3.1664463,4.3355456,4.7272934,True,,,True,False,,True,True,True,True,True,False,False,False,True,True
25,f0025,True,True,True,Pallet_0,context-rich,medium,960,540,546.02423,546.02423,480,270,5.6843419e-14,7.8524053,7.8524052,record,10,2.659,0.10956602,7.566808,1451,103,16,16,105.18338,15.851759,15.851759,106.37115,105.18338,14.874059,14.874059,106.22985,1564.5038,10.772785,1361.2161,8,7,8,7,True,True,8,5.4350901e-06,1.0168428e-05,0.00010599642,1.7075473e-06,3.7535798e-06,0,0,0.49,4.9350871,10.507098,12.4369,0.9096692,1.4584035,1.7665811,0.98795825,1.308747,1.4383026,0,0,0.775,11.652778,25.77418,29.208195,1.849242,3.0447888,3.4408753,2.0098253,2.6340701,2.7782123,0,0,0.85,16.64869,39.466409,48.99792,2.7638873,4.4209123,4.9998392,3.0347598,4.0581815,4.4089677,True,,,True,False,,True,True,True,True,True,False,False,False,True,True
26,f0026,True,True,True,Pallet_2,context-rich,clean,960,540,489.04425,489.04425,480,270,2.8421709e-14,1.2177014,1.217701,record,10,16.145,0.72581948,1.1402952,133604,692,350,350,696.7867,362.64139,362.64139,785.50652,351.21755,311.44865,311.44865,469.41882,109386.23,87.7294,54772.581,7,4,5,4,True,True,5,6.0687244e-05,0.00014927489,6.4142311e-05,2.9028304e-05,6.3022584e-05,0,0,0,0.48338439,1.0416262,1.1661857,0.29206326,0.53375779,0.61735758,0.92364899,1.5754747,1.7619466,0,0,0,0.92629159,1.9524782,2.2842584,0.57266544,1.0189774,1.1404897,1.7801694,2.8760494,3.181779,0,0,0,1.4663746,3.1792514,3.6811264,0.89825584,1.5282603,1.7318811,2.7631965,4.5201134,5.1140384,True,,,True,False,,True,True,True,True,True,True,True,True,False,False
27,f0027,True,True,True,Pallet_1,context-rich,clean,640,480,613.33383,613.33383,320,240,5.6843419e-14,2.6382608,2.6382608,record,10,22.618,0.56867613,2.6382608,34550,359,174,174,363.95272,176.50316,176.50316,404.49345,363.95272,176.50316,176.50316,404.49345,64238.805,23.95843,37105.631,8,8,9,8,True,True,9,4.5191232e-06,7.3869253e-06,4.1362612e-06,2.4148365e-06,7.6654748e-06,0,0,0,0.50888625,1.1429177,1.27772,0.29496127,0.46730729,0.52682498,1.0621665,1.347596,1.443654,0,0,0,1.0271474,2.349884,2.8260909,0.5700597,0.95784641,1.0876005,2.1295749,2.7190074,2.9340541,0,0,0.025,1.5860434,3.694755,4.2692461,0.90735797,1.5507484,1.7973345,3.1518766,4.2560451,4.5760567,True,,,True,False,,True,True,True,True,True,True,True,True,False,False
