usable_id,frame_id,reproj_max_px,reproj_centroid_px,reproj_consistency_px,K_valid,pose_valid
9604,f9604,1.1368683772161603e-13,0.0,1.1368683772161603e-13,True,True
9605,f9605,4.7664655742347644e-14,2.2469334198890888e-14,4.440892098500626e-14,True,True
9606,f9606,5.684341886080802e-14,5.684341886080802e-14,5.684341886080802e-14,True,True
9607,f9607,1.1368683772161603e-13,1.1368683772161603e-13,1.1368683772161603e-13,True,True
9608,f9608,8.038873388460929e-14,2.842170943040401e-14,5.684341886080802e-14,True,True
9609,f9609,5.859285502108464e-14,0.0,5.684341886080802e-14,True,True
9610,f9610,8.038873388460929e-14,5.684341886080802e-14,5.684341886080802e-14,True,True
9611,f9611,8.038873388460929e-14,0.0,5.684341886080802e-14,True,True
9612,f9612,1.1377354083340986e-13,1.0658141036401503e-14,1.1368683772161603e-13,True,True
9613,f9613,1.2710574864626038e-13,5.684341886080802e-14,1.1368683772161603e-13,True,True
9614,f9614,5.684341886080802e-14,0.0,5.684341886080802e-14,True,True
9615,f9615,5.859285502108464e-14,2.842170943040401e-14,5.684341886080802e-14,True,True
9616,f9616,5.955433342649105e-14,2.1316282072803006e-14,5.684341886080802e-14,True,True
9617,f9617,1.2710574864626038e-13,2.842170943040401e-14,1.1368683772161603e-13,True,True
9618,f9618,1.2710574864626038e-13,1.1368683772161603e-13,1.1368683772161603e-13,True,True
9619,f9619,6.355287432313019e-14,2.842170943040401e-14,5.684341886080802e-14,True,True
9620,f9620,1.2789769243681803e-13,0.0,1.2789769243681803e-13,True,True
9621,f9621,1.1368683772161603e-13,8.038873388460929e-14,1.1368683772161603e-13,True,True
9622,f9622,8.038873388460929e-14,5.684341886080802e-14,5.684341886080802e-14,True,True
9623,f9623,5.684341886080802e-14,0.0,5.684341886080802e-14,True,True
9624,f9624,6.355287432313019e-14,5.684341886080802e-14,5.684341886080802e-14,True,True
9625,f9625,6.355287432313019e-14,0.0,5.684341886080802e-14,True,True
9626,f9626,6.355287432313019e-14,5.684341886080802e-14,5.684341886080802e-14,True,True
9627,f9627,1.2710574864626038e-13,0.0,1.1368683772161603e-13,True,True
9628,f9628,8.038873388460929e-14,0.0,5.684341886080802e-14,True,True
9629,f9629,1.2710574864626038e-13,2.842170943040401e-14,1.1368683772161603e-13,True,True
9630,f9630,1.1368683772161603e-13,0.0,1.1368683772161603e-13,True,True
9631,f9631,1.1368683772161603e-13,0.0,1.1368683772161603e-13,True,True
9632,f9632,1.1368683772161603e-13,1.0658141036401503e-14,1.1368683772161603e-13,True,True
9633,f9633,8.038873388460929e-14,0.0,5.684341886080802e-14,True,True
9634,f9634,2.2737367544323206e-13,1.1368683772161603e-13,2.2737367544323206e-13,True,True
9635,f9635,6.355287432313019e-14,2.842170943040401e-14,5.684341886080802e-14,True,True
9636,f9636,1.1718571004216928e-13,0.0,1.1368683772161603e-13,True,True
9637,f9637,5.684341886080802e-14,0.0,5.684341886080802e-14,True,True
9638,f9638,8.038873388460929e-14,5.684341886080802e-14,5.684341886080802e-14,True,True
9639,f9639,5.684341886080802e-14,0.0,5.684341886080802e-14,True,True
9640,f9640,1.1368683772161603e-13,0.0,1.1368683772161603e-13,True,True
9641,f9641,4.547473508864641e-13,1.1368683772161603e-13,4.547473508864641e-13,True,True
9642,f9642,5.684341886080802e-14,5.684341886080802e-14,5.684341886080802e-14,True,True
9643,f9643,1.1368683772161603e-13,1.1368683772161603e-13,1.1368683772161603e-13,True,True
9644,f9644,2.842170943040401e-14,0.0,2.842170943040401e-14,True,True
9645,f9645,1.1368683772161603e-13,0.0,1.1368683772161603e-13,True,True
9646,f9646,8.038873388460929e-14,0.0,5.684341886080802e-14,True,True
9647,f9647,1.6077746776921858e-13,0.0,1.1368683772161603e-13,True,True
9648,f9648,5.859285502108464e-14,1.4210854715202004e-14,5.684341886080802e-14,True,True
9649,f9649,6.478833904863593e-14,3.552713678800501e-15,5.684341886080802e-14,True,True
9650,f9650,5.859285502108464e-14,5.684341886080802e-14,5.684341886080802e-14,True,True
9651,f9651,1.1457157353758233e-13,1.4210854715202004e-14,1.1368683772161603e-13,True,True
9652,f9652,1.1368683772161603e-13,0.0,1.1368683772161603e-13,True,True
9653,f9653,6.355287432313019e-14,2.842170943040401e-14,5.684341886080802e-14,True,True
9654,f9654,6.07087979554246e-14,1.7763568394002505e-14,5.684341886080802e-14,True,True
9655,f9655,1.1368683772161603e-13,1.1368683772161603e-13,1.1368683772161603e-13,True,True
9656,f9656,5.684341886080802e-14,0.0,5.684341886080802e-14,True,True
9657,f9657,1.1368683772161603e-13,1.1368683772161603e-13,1.1368683772161603e-13,True,True
9658,f9658,5.684341886080802e-14,0.0,5.684341886080802e-14,True,True
9659,f9659,6.355287432313019e-14,0.0,5.684341886080802e-14,True,True
9660,f9660,1.1368683772161603e-13,5.684341886080802e-14,1.1368683772161603e-13,True,True
9661,f9661,4.0194366942304644e-14,0.0,2.842170943040401e-14,True,True
9662,f9662,8.038873388460929e-14,0.0,5.684341886080802e-14,True,True
9663,f9663,6.355287432313019e-14,0.0,5.684341886080802e-14,True,True
9664,f9664,6.43668973480993e-14,1.4210854715202004e-14,5.684341886080802e-14,True,True
9665,f9665,1.1368683772161603e-13,1.1368683772161603e-13,1.1368683772161603e-13,True,True
9666,f9666,1.1368683772161603e-13,0.0,1.1368683772161603e-13,True,True
9667,f9667,5.684341886080802e-14,5.684341886080802e-14,5.684341886080802e-14,True,True
9668,f9668,5.684341886080802e-14,0.0,5.684341886080802e-14,True,True
9669,f9669,1.2710574864626038e-13,8.038873388460929e-14,1.1368683772161603e-13,True,True
9670,f9670,6.355287432313019e-14,5.684341886080802e-14,5.684341886080802e-14,True,True
9671,f9671,6.355287432313019e-14,2.842170943040401e-14,5.684341886080802e-14,True,True
9672,f9672,6.355287432313019e-14,0.0,5.684341886080802e-14,True,True
9673,f9673,8.038873388460929e-14,5.684341886080802e-14,5.684341886080802e-14,True,True
9674,f9674,8.038873388460929e-14,5.684341886080802e-14,5.684341886080802e-14,True,True
9675,f9675,8.038873388460929e-14,5.684341886080802e-14,5.684341886080802e-14,True,True
9676,f9676,1.1718571004216928e-13,0.0,1.1368683772161603e-13,True,True
9677,f9677,6.355287432313019e-14,2.842170943040401e-14,5.684341886080802e-14,True,True
9678,f9678,1.2710574864626038e-13,5.684341886080802e-14,1.1368683772161603e-13,True,True
9679,f9679,5.859285502108464e-14,5.684341886080802e-14,5.684341886080802e-14,True,True
9680,f9680,8.038873388460929e-14,5.684341886080802e-14,5.684341886080802e-14,True,True
9681,f9681,1.2710574864626038e-13,0.0,1.1368683772161603e-13,True,True
9682,f9682,6.355287432313019e-14,0.0,5.684341886080802e-14,True,True
9683,f9683,8.038873388460929e-14,0.0,5.684341886080802e-14,True,True
9684,f9684,8.038873388460929e-14,0.0,5.684341886080802e-14,True,True
9685,f9685,6.355287432313019e-14,5.684341886080802e-14,5.684341886080802e-14,True,True
9686,f9686,1.2710574864626038e-13,2.842170943040401e-14,1.1368683772161603e-13,True,True
9687,f9687,4.0194366942304644e-14,0.0,2.842170943040401e-14,True,True
9688,f9688,4.0194366942304644e-14,4.0194366942304644e-14,2.842170943040401e-14,True,True
9689,f9689,8.038873388460929e-14,0.0,5.684341886080802e-14,True,True
9690,f9690,1.1368683772161603e-13,1.1368683772161603e-13,1.1368683772161603e-13,True,True
9691,f9691,4.0194366942304644e-14,2.842170943040401e-14,2.842170943040401e-14,True,True
9692,f9692,5.684341886080802e-14,0.0,5.684341886080802e-14,True,True
9693,f9693,1.2710574864626038e-13,0.0,1.1368683772161603e-13,True,True
9694,f9694,6.355287432313019e-14,6.355287432313019e-14,5.684341886080802e-14,True,True
9695,f9695,5.783398860650275e-14,3.019806626980426e-14,5.684341886080802e-14,True,True
9696,f9696,1.1718571004216928e-13,0.0,1.1368683772161603e-13,True,True
9697,f9697,1.6077746776921858e-13,8.038873388460929e-14,1.1368683772161603e-13,True,True
9698,f9698,5.859285502108464e-14,2.842170943040401e-14,5.684341886080802e-14,True,True
9699,f9699,5.684341886080802e-14,5.684341886080802e-14,5.684341886080802e-14,True,True
9700,f9700,3.1776437161565096e-14,0.0,2.842170943040401e-14,True,True
9701,f9701,1.2710574864626038e-13,0.0,1.1368683772161603e-13,True,True
9702,f9702,8.987733679556355e-14,5.684341886080802e-14,8.526512829121202e-14,True,True
9703,f9703,1.1718571004216928e-13,0.0,1.1368683772161603e-13,True,True
9704,f9704,5.684341886080802e-14,0.0,5.684341886080802e-14,True,True
9705,f9705,5.684341886080802e-14,2.842170943040401e-14,5.684341886080802e-14,True,True
9706,f9706,5.684341886080802e-14,0.0,5.684341886080802e-14,True,True
9707,f9707,5.684341886080802e-14,1.4210854715202004e-14,5.684341886080802e-14,True,True
9708,f9708,6.355287432313019e-14,5.684341886080802e-14,5.684341886080802e-14,True,True
9709,f9709,1.1368683772161603e-13,5.684341886080802e-14,1.1368683772161603e-13,True,True
9710,f9710,1.2710574864626038e-13,5.684341886080802e-14,1.1368683772161603e-13,True,True
9711,f9711,5.684341886080802e-14,5.684341886080802e-14,5.684341886080802e-14,True,True
9712,f9712,6.355287432313019e-14,0.0,5.684341886080802e-14,True,True
9713,f9713,1.1457157353758233e-13,1.4210854715202004e-14,1.1368683772161603e-13,True,True
9714,f9714,8.038873388460929e-14,0.0,5.684341886080802e-14,True,True
9715,f9715,7.32410687763558e-14,1.4210854715202004e-14,5.684341886080802e-14,True,True
9716,f9716,5.684341886080802e-14,5.684341886080802e-14,5.684341886080802e-14,True,True
9717,f9717,5.684341886080802e-14,0.0,5.684341886080802e-14,True,True
9718,f9718,5.684341886080802e-14,5.684341886080802e-14,5.684341886080802e-14,True,True
9719,f9719,6.355287432313019e-14,2.842170943040401e-14,5.684341886080802e-14,True,True
9720,f9720,2.2737367544323206e-13,5.684341886080802e-14,2.2737367544323206e-13,True,True
9721,f9721,5.684341886080802e-14,0.0,5.684341886080802e-14,True,True
9722,f9722,6.355287432313019e-14,6.355287432313019e-14,5.684341886080802e-14,True,True
9723,f9723,1.2710574864626038e-13,0.0,1.1368683772161603e-13,True,True
9724,f9724,6.355287432313019e-14,5.684341886080802e-14,5.684341886080802e-14,True,True
9725,f9725,6.355287432313019e-14,5.684341886080802e-14,5.684341886080802e-14,True,True
9726,f9726,1.2710574864626038e-13,1.2710574864626038e-13,1.1368683772161603e-13,True,True
9727,f9727,5.684341886080802e-14,0.0,5.684341886080802e-14,True,True
9728,f9728,1.1718571004216928e-13,6.355287432313019e-14,1.1368683772161603e-13,True,True
9729,f9729,5.684341886080802e-14,0.0,5.684341886080802e-14,True,True
9730,f9730,5.783398860650275e-14,1.7763568394002505e-15,5.684341886080802e-14,True,True
9731,f9731,1.2710574864626038e-13,5.684341886080802e-14,1.1368683772161603e-13,True,True
9732,f9732,5.859285502108464e-14,3.1776437161565096e-14,5.684341886080802e-14,True,True
9733,f9733,6.355287432313019e-14,1.4210854715202004e-14,5.684341886080802e-14,True,True
9734,f9734,1.2710574864626038e-13,5.684341886080802e-14,1.1368683772161603e-13,True,True
9735,f9735,5.684341886080802e-14,0.0,5.684341886080802e-14,True,True
9736,f9736,6.355287432313019e-14,2.842170943040401e-14,5.684341886080802e-14,True,True
9737,f9737,1.1457157353758233e-13,1.4210854715202004e-14,1.1368683772161603e-13,True,True
9738,f9738,1.1368683772161603e-13,5.684341886080802e-14,1.1368683772161603e-13,True,True
9739,f9739,5.684341886080802e-14,0.0,5.684341886080802e-14,True,True
9740,f9740,8.038873388460929e-14,0.0,5.684341886080802e-14,True,True
9741,f9741,8.038873388460929e-14,0.0,5.684341886080802e-14,True,True
9742,f9742,1.2710574864626038e-13,0.0,1.1368683772161603e-13,True,True
9743,f9743,8.038873388460929e-14,5.684341886080802e-14,5.684341886080802e-14,True,True
9744,f9744,1.1393722952373064e-13,0.0,1.1368683772161603e-13,True,True
9745,f9745,8.038873388460929e-14,0.0,5.684341886080802e-14,True,True
9746,f9746,1.1368683772161603e-13,0.0,1.1368683772161603e-13,True,True
9747,f9747,1.1368683772161603e-13,0.0,1.1368683772161603e-13,True,True
9748,f9748,8.038873388460929e-14,2.842170943040401e-14,5.684341886080802e-14,True,True
9749,f9749,1.2710574864626038e-13,0.0,1.1368683772161603e-13,True,True
9750,f9750,4.0194366942304644e-14,2.842170943040401e-14,2.842170943040401e-14,True,True
9751,f9751,4.5496934130773415e-14,2.842170943040401e-14,4.263256414560601e-14,True,True
9752,f9752,3.2155493553843715e-13,5.684341886080802e-14,2.2737367544323206e-13,True,True
9753,f9753,6.355287432313019e-14,6.355287432313019e-14,5.684341886080802e-14,True,True
9754,f9754,5.859285502108464e-14,5.859285502108464e-14,5.684341886080802e-14,True,True
9755,f9755,1.1368683772161603e-13,0.0,1.1368683772161603e-13,True,True
9756,f9756,5.859285502108464e-14,5.859285502108464e-14,5.684341886080802e-14,True,True
9757,f9757,6.355287432313019e-14,2.842170943040401e-14,5.684341886080802e-14,True,True
9758,f9758,6.355287432313019e-14,4.0194366942304644e-14,5.684341886080802e-14,True,True
9759,f9759,5.684341886080802e-14,0.0,5.684341886080802e-14,True,True
9760,f9760,6.355287432313019e-14,2.842170943040401e-14,5.684341886080802e-14,True,True
9761,f9761,1.2710574864626038e-13,0.0,1.1368683772161603e-13,True,True
9762,f9762,6.355287432313019e-14,5.684341886080802e-14,5.684341886080802e-14,True,True
9763,f9763,1.1368683772161603e-13,5.684341886080802e-14,1.1368683772161603e-13,True,True
9764,f9764,8.038873388460929e-14,0.0,5.684341886080802e-14,True,True
9765,f9765,5.684341886080802e-14,5.684341886080802e-14,5.684341886080802e-14,True,True
9766,f9766,5.684341886080802e-14,0.0,5.684341886080802e-14,True,True
9767,f9767,1.1368683772161603e-13,5.684341886080802e-14,1.1368683772161603e-13,True,True
9768,f9768,5.859285502108464e-14,0.0,5.684341886080802e-14,True,True
9769,f9769,5.859285502108464e-14,1.4210854715202004e-14,5.684341886080802e-14,True,True
9770,f9770,1.1368683772161603e-13,0.0,1.1368683772161603e-13,True,True
9771,f9771,1.1718571004216928e-13,0.0,1.1368683772161603e-13,True,True
9772,f9772,8.038873388460929e-14,0.0,5.684341886080802e-14,True,True
9773,f9773,6.355287432313019e-14,5.684341886080802e-14,5.684341886080802e-14,True,True
9774,f9774,1.1368683772161603e-13,0.0,1.1368683772161603e-13,True,True
9775,f9775,1.1368683772161603e-13,0.0,1.1368683772161603e-13,True,True
9776,f9776,1.2710574864626038e-13,0.0,1.1368683772161603e-13,True,True
9777,f9777,5.684341886080802e-14,2.842170943040401e-14,5.684341886080802e-14,True,True
9778,f9778,1.2710574864626038e-13,0.0,1.1368683772161603e-13,True,True
9779,f9779,2.842170943040401e-14,1.4210854715202004e-14,2.842170943040401e-14,True,True
9780,f9780,1.1368683772161603e-13,6.355287432313019e-14,1.1368683772161603e-13,True,True
9781,f9781,1.2710574864626038e-13,5.684341886080802e-14,1.1368683772161603e-13,True,True
