usable_id,frame_id,projected_size_actual,mask_area_visible,mask_area_target_only,visible_fraction,occlusion_fraction_from_mask,f_total_record,f_target,f_total_vs_mask_abs_diff,diagnostic_mode
2952,f2952,0.5072422140657586,12352.0,12673.0,0.9746705594571136,0.02532944054288644,0.02532944054288644,0.2579065689687431,0.0,context-rich
2953,f2953,0.28996083441612847,3846.0,5271.0,0.7296528173022196,0.27034718269778035,0.27034718269778035,0.30618197700348404,0.0,controlled-occlusion
2954,f2954,0.08443379311407417,2062.0,2600.0,0.7930769230769231,0.20692307692307688,0.20692307692307688,0.0,0.0,context-rich
2955,f2955,0.5929428182305697,33950.0,46485.0,0.7303431214370227,0.26965687856297726,0.26965687856297726,0.3204577865548209,0.0,controlled-occlusion
2956,f2956,0.1208640527961204,3557.0,3557.0,1.0,0.0,0.0,0.0,0.0,clean-static
2957,f2957,1.291269637274177,170799.0,180303.0,0.9472887306367614,0.052711269363238555,0.052711269363238555,0.18035230801174607,0.0,cargo-only
2958,f2958,0.20885312358665367,1083.0,1163.0,0.9312123817712812,0.06878761822871882,0.06878761822871882,0.0,0.0,context-rich
2959,f2959,0.10471886950815422,897.0,1115.0,0.8044843049327354,0.19551569506726463,0.19551569506726463,0.20546773568178847,0.0,controlled-occlusion
2960,f2960,0.19015370361606093,2690.0,2690.0,1.0,0.0,0.0,0.1507239787990702,0.0,clean-static
2961,f2961,0.8242915236854862,107733.0,112900.0,0.9542338352524358,0.04576616474756423,0.04576616474756423,0.143913708875565,0.0,cargo-only
2962,f2962,0.7527167137874561,161068.0,161068.0,1.0,0.0,0.0,0.0,0.0,context-rich
2963,f2963,0.1829927433815342,1225.0,1509.0,0.8117958913187542,0.18820410868124582,0.18820410868124582,0.18978113801553548,0.0,controlled-occlusion
2964,f2964,1.1151898834614635,132714.0,132714.0,1.0,0.0,0.0,0.3836704553639575,0.0,context-rich
2965,f2965,0.1671897437451763,939.0,1471.0,0.6383412644459552,0.3616587355540448,0.3616587355540448,0.33536824716109537,0.0,controlled-occlusion
2966,f2966,1.3198739987584032,76647.0,76647.0,1.0,0.0,0.0,0.0,0.0,clean-static
2967,f2967,0.3889839451111491,14836.0,18003.0,0.8240848747430983,0.17591512525690167,0.17591512525690167,0.431427318892854,0.0,cargo-only
2968,f2968,0.20021699792947936,17590.0,17590.0,1.0,0.0,0.0,0.1331628814176561,0.0,context-rich
2969,f2969,0.0786919499708734,613.0,739.0,0.8294993234100135,0.17050067658998647,0.17050067658998647,0.17872653289368273,0.0,controlled-occlusion
2970,f2970,1.7920678262323348,115985.0,115985.0,1.0,0.0,0.0,0.30676175519193116,0.0,clean-static
2971,f2971,0.5525402090936458,114801.0,127752.0,0.8986238962990795,0.10137610370092054,0.10137610370092054,0.15036853321713126,0.0,cargo-only
2972,f2972,1.1824642240319165,61741.0,61741.0,1.0,0.0,0.0,0.0,0.0,context-rich
2973,f2973,0.534247277537676,9034.0,12110.0,0.7459950454170108,0.2540049545829892,0.2540049545829892,0.15491350507454424,0.0,controlled-occlusion
2974,f2974,0.12592750233529282,1270.0,1571.0,0.8084022915340547,0.19159770846594526,0.19159770846594526,0.0,0.0,context-rich
2975,f2975,0.13622847427805185,2457.0,3560.0,0.6901685393258427,0.30983146067415734,0.30983146067415734,0.4063858102613917,0.0,controlled-occlusion
2976,f2976,0.5973396833542561,57462.0,57462.0,1.0,0.0,0.0,0.0,0.0,clean-static
2977,f2977,1.532941567492838,51186.0,64464.0,0.7940245718540581,0.20597542814594194,0.20597542814594194,0.0,0.0,cargo-only
2978,f2978,0.07659588469286263,1089.0,1089.0,1.0,0.0,0.0,0.21001807697749297,0.0,context-rich
2979,f2979,0.8359431513036418,126628.0,141278.0,0.8963037415591953,0.10369625844080466,0.10369625844080466,0.10506967856396608,0.0,controlled-occlusion
2980,f2980,0.1508232125635435,3665.0,3665.0,1.0,0.0,0.0,0.0,0.0,clean-static
2981,f2981,0.696821463067403,25079.0,25079.0,1.0,0.0,0.0,0.287129260065368,0.0,cargo-only
2982,f2982,0.5698448818977273,35436.0,39942.0,0.8871864203094487,0.11281357969055128,0.11281357969055128,0.1295941760664967,0.0,context-rich
2983,f2983,0.12986294984270005,964.0,1396.0,0.6905444126074498,0.3094555873925502,0.3094555873925502,0.30946075385622596,0.0,controlled-occlusion
2984,f2984,0.3206963479424184,9253.0,9253.0,1.0,0.0,0.0,0.0,0.0,context-rich
2985,f2985,0.5255643215764482,36606.0,59700.0,0.6131658291457286,0.3868341708542714,0.3868341708542714,0.13869458178846417,0.0,controlled-occlusion
2986,f2986,2.176762367593322,241079.0,241079.0,1.0,0.0,0.0,0.34972891999311456,0.0,clean-static
2987,f2987,0.11290646447612511,1720.0,2088.0,0.8237547892720306,0.1762452107279694,0.1762452107279694,0.0,0.0,cargo-only
2988,f2988,0.14036651387554638,1008.0,1064.0,0.9473684210526315,0.052631578947368474,0.052631578947368474,0.0,0.0,context-rich
2989,f2989,0.2688231256188588,4483.0,6237.0,0.7187750521083854,0.28122494789161456,0.28122494789161456,0.11869980909180593,0.0,controlled-occlusion
2990,f2990,0.25503944969853826,3757.0,3758.0,0.9997339010111762,0.000266098988823793,0.000266098988823793,0.4300875787221998,0.0,clean-static
2991,f2991,0.768929894016891,40692.0,49761.0,0.8177488394525834,0.18225116054741664,0.18225116054741664,0.4155297255725053,0.0,cargo-only
2992,f2992,0.1406590213327584,2420.0,3103.0,0.7798904286174669,0.22010957138253306,0.22010957138253306,0.15032336752564168,0.0,context-rich
