usable_id,explicit_occluder_placed,explicit_occluder_visible_pixels,explicit_selected_object,occluder_side_target,occluder_side_actual,occluder_side_match,amodal_px,visible_px,visible_fraction,f_total_from_mask,f_total_record,f_target,f_target_error,camera_distance_actual_m,elev_actual,projected_size_actual,explicit_proposal_count,occluder_feedback_iterations,runtime_s
1410,True,5829,Dist_utility_box_01,right,right,True,67956,66172,0.9737477191123668,0.026252280887633206,0.026252280887633206,0.12633083870981354,-0.10007855782218034,2.191642814216722,38.544629454460235,0.6950317515915521,6,18,35.412379026412964
1411,True,1076,Dist_utility_box_01,right,right,True,6790,4414,0.6500736377025037,0.3499263622974963,0.3499263622974963,0.21937653992753747,0.13054982236995882,6.012927679736246,15.676142759535905,0.26320629938223283,6,9,23.615650177001953
1412,True,3524,Dist_utility_box_01,right,right,True,25009,21004,0.8398576512455516,0.16014234875444844,0.16014234875444844,0.17166410935496496,-0.011521760600516517,2.5838809074787843,9.255357559699524,0.6831807476970918,6,9,41.10901165008545
1413,True,11426,Dist_chinese_screen_panels,right,right,True,82124,59830,0.7285324631045735,0.27146753689542646,0.27146753689542646,0.35482742067887646,-0.08335988378345,1.6585327771656915,27.606378245040577,0.4796841296031644,6,24,35.53940415382385
1414,True,6333,Dist_utility_box_01,right,right,True,17797,15405,0.8655953250547845,0.13440467494521546,0.13440467494521546,0.12072804966062595,0.013676625284589516,2.1742695266085135,0.9993555812516536,0.7605148808908112,6,9,30.765265226364136
1415,True,148,Dist_utility_box_01,right,right,True,4225,2201,0.5209467455621302,0.47905325443786984,0.47905325443786984,0.18183143141983732,0.2972218230180325,7.602095405287918,11.174236893897577,0.22445328152186603,6,9,33.79117727279663
1416,True,313,Dist_water_dispenser_01,left,left,True,5855,4193,0.7161400512382579,0.28385994876174214,0.28385994876174214,0.2459405303276392,0.03791941843410293,7.599822729977622,33.85111289097796,0.13938631299686624,6,9,24.062201023101807
1417,True,369,Dist_Shelf_01,left,left,True,756,617,0.8161375661375662,0.18386243386243384,0.18386243386243384,0.1685106200208583,0.015351813841575551,6.679623660902503,2.5985336300215116,0.12314267892031569,6,10,40.070794343948364
1418,True,2114,Dist_Shelf_01,left,left,True,6235,4709,0.755252606255012,0.244747393744988,0.244747393744988,0.1103253508579585,0.1344220428870295,7.5036434090772035,41.72555467879098,0.1551444862451838,6,21,107.77822208404541
1419,True,2107,Dist_chinese_screen_panels,right,right,True,25509,16816,0.6592183151044729,0.34078168489552707,0.34078168489552707,0.4389258818432012,-0.09814419694767412,3.3191691895266104,24.49409888004075,0.4117029802239983,6,21,63.78000545501709
1420,True,71,Dist_plastic_crate_01,bottom,bottom,True,5416,4392,0.810930576070901,0.18906942392909898,0.18906942392909898,0.2948212220888203,-0.1057517981597213,4.778221768047954,18.795142827336235,0.21696738467786902,6,24,73.32292938232422
1421,True,4435,Dist_chinese_screen_panels,left,left,True,10152,6152,0.6059889676910953,0.39401103230890466,0.39401103230890466,0.39558049295972353,-0.0015694606508188658,2.5186688196653724,10.019935237263567,0.3373056466808692,6,9,65.0837094783783
1422,True,1552,Dist_delivery_van_01,bottom,bottom,True,3309,1655,0.5001511030522816,0.4998488969477184,0.4998488969477184,0.2525759406560907,0.2472729562916277,9.875925763760234,69.36132740672453,0.1392818282846935,6,12,60.7548623085022
1423,True,2745,Dist_water_dispenser_01,left,left,True,15500,13845,0.8932258064516129,0.10677419354838713,0.10677419354838713,0.11075842980876716,-0.003984236260380025,2.149731693081733,10.724006030626413,0.29609433931231793,6,21,69.73193907737732
1424,True,5766,Dist_wine_barrel_01,right,right,True,25182,20794,0.8257485505519816,0.1742514494480184,0.1742514494480184,0.18651177694440113,-0.012260327496382728,2.827280881812977,21.941370980621024,0.42081738668259516,6,12,51.29627180099487
1425,True,2548,Dist_water_dispenser_01,bottom,bottom,True,49097,35963,0.7324887467666049,0.2675112532333951,0.2675112532333951,0.12810634395895862,0.13940490927443647,2.77018908580471,44.15407052880567,0.5640074822470929,6,24,70.14474296569824
1426,True,354,Dist_water_dispenser_01,bottom,bottom,True,18938,16053,0.8476607878339846,0.15233921216601543,0.15233921216601543,0.18455112780547356,-0.03221191563945813,2.9543699490248314,64.50948823705004,0.2952766606039271,6,1,37.93773579597473
1427,True,4521,Dist_chinese_screen_panels,left,left,True,8332,5492,0.6591454632741238,0.3408545367258762,0.3408545367258762,0.43641655826213444,-0.09556202153625826,5.3361636891491715,24.59657895739828,0.2721312022417955,6,24,48.3002712726593
1428,True,8668,Dist_chinese_screen_panels,right,right,True,55163,44816,0.8124286206333956,0.1875713793666044,0.1875713793666044,0.1680657631755445,0.019505616191059894,1.659273868639164,5.98953573064842,0.5858361416821396,6,24,59.49296522140503
1429,True,5254,Dist_chinese_screen_panels,right,right,True,11335,8500,0.7498897220996912,0.2501102779003088,0.2501102779003088,0.2270880166705224,0.023022261229786428,3.342753744811214,22.190332116124818,0.34303686750083184,6,13,37.41971445083618
1430,True,409,Dist_utility_box_01,right,right,True,5563,3395,0.6102822218227575,0.3897177781772425,0.3897177781772425,0.21202854714024025,0.17768923103700227,5.604719801476003,20.257339258984793,0.1798369861709146,6,21,44.34172248840332
1431,True,6963,Dist_water_dispenser_01,left,left,True,44114,36445,0.8261549621435372,0.17384503785646277,0.17384503785646277,0.18702790650005113,-0.013182868643588364,2.1099050928491008,17.791424660659903,0.7407315654617042,6,9,32.236406087875366
1432,True,1080,Dist_water_dispenser_01,left,left,True,5880,5772,0.9816326530612245,0.01836734693877551,0.01836734693877551,0.10054150983562157,-0.08217416289684606,3.106320928123962,2.349410482844634,0.288407376582407,6,21,37.014662742614746
1433,True,595,Dist_utility_box_01,left,left,True,5535,3530,0.6377597109304426,0.3622402890695574,0.3622402890695574,0.3650064018683717,-0.0027661127988142797,7.04049372715352,22.523202104187472,0.13841811680077498,6,9,43.9638032913208
1434,True,180,Dist_Shelf_01,bottom,bottom,True,9864,5899,0.5980332522303325,0.40196674776966745,0.40196674776966745,0.2521592696087459,0.14980747816092155,7.474912248309039,69.68422919493385,0.12304657830364576,6,13,53.32256102561951
1435,True,1085,Dist_utility_box_01,right,right,True,14681,10158,0.6919147197057421,0.30808528029425786,0.30808528029425786,0.39994869245091247,-0.09186341215665461,4.636455765372091,22.96362100544734,0.3340899963266472,6,24,49.63322615623474
1436,True,175,Dist_water_dispenser_01,right,right,True,1046,872,0.8336520076481836,0.1663479923518164,0.1663479923518164,0.16938163735157058,-0.0030336449997541703,9.989876142950969,7.683155377765127,0.14800469122921625,6,12,32.290055990219116
