usable_id,diagnostic_mode,n_context_requested,n_context_placed,n_context_visible,context_visible_pixel_ratio,context_screen_area_ratio,context_placement_attempts,context_reject_counts_by_reason,context_support_pass,cargo_on,n_cargo_placed,f_total_record,amodal_px,visible_px,runtime_s,rgb_rel
1343,context-rich,3,3,3,1.0,0.102783203125,9,"{""support"": 5, ""collision"": 1}",True,True,1,0.23625922094495955,103433,78996,14.947641849517822,rgb/f1343_rgb.png
1344,context-rich,3,3,2,0.6666666666666666,0.6495492202729045,18,"{""camera_clearance"": 1, ""support"": 14}",True,False,0,0.0,71097,71097,11.248018026351929,rgb/f1344_rgb.png
1345,context-rich,3,3,3,1.0,0.4175618489583333,6,"{""support"": 3}",True,True,2,0.06889128094725516,929,865,10.01630449295044,rgb/f1345_rgb.png
1346,context-rich,3,3,3,1.0,0.5158382066276803,42,"{""support"": 23, ""occlusion_budget"": 2, ""collision"": 14}",True,False,0,0.0,8255,8255,17.991204500198364,rgb/f1346_rgb.png
1347,context-rich,3,3,3,1.0,0.3324652777777778,81,"{""occlusion_budget"": 19, ""support"": 52, ""collision"": 6, ""camera_clearance"": 1}",True,False,0,0.0,19719,19719,29.97272253036499,rgb/f1347_rgb.png
1348,context-rich,3,3,3,1.0,0.17775341130604289,24,"{""occlusion_budget"": 10, ""collision"": 2, ""support"": 9}",True,False,0,0.09953710120021064,36077,32486,20.673224449157715,rgb/f1348_rgb.png
1349,context-rich,3,3,3,1.0,0.03870081018518518,9,"{""support"": 2, ""collision"": 1, ""occlusion_budget"": 3}",True,False,0,0.0,9488,9488,13.745489597320557,rgb/f1349_rgb.png
1350,context-rich,3,3,3,1.0,0.08707682291666667,25,"{""support"": 10, ""collision"": 5, ""occlusion_budget"": 2, ""camera_clearance"": 5}",True,True,2,0.14739517153748416,4722,4026,12.026695013046265,rgb/f1350_rgb.png
1351,context-rich,3,3,3,1.0,0.1118421052631579,7,"{""support"": 3, ""collision"": 1}",True,False,0,0.0,647,647,8.521381378173828,rgb/f1351_rgb.png
1352,context-rich,3,3,3,1.0,0.09331597222222222,24,"{""support"": 11, ""collision"": 10}",True,False,0,0.0,126829,126829,12.385689973831177,rgb/f1352_rgb.png
1353,context-rich,3,3,3,1.0,0.346435546875,88,"{""support"": 73, ""camera_clearance"": 7, ""collision"": 5}",True,False,0,0.08410295471135232,94527,86577,12.951504707336426,rgb/f1353_rgb.png
1354,context-rich,3,1,1,1.0,0.30029296875,202,"{""support"": 199, ""collision"": 2}",True,False,0,0.0,80507,80507,10.80911898612976,rgb/f1354_rgb.png
1355,context-rich,3,3,3,1.0,0.14892578125,131,"{""support"": 97, ""collision"": 19, ""occlusion_budget"": 12}",True,False,0,0.08044963632356184,13611,12516,24.052329063415527,rgb/f1355_rgb.png
1356,context-rich,3,3,3,1.0,0.08897569444444445,11,"{""support"": 6, ""collision"": 2}",True,True,1,0.243420635423933,31538,23861,14.529809474945068,rgb/f1356_rgb.png
1357,context-rich,3,3,3,1.0,0.05104775828460039,6,"{""support"": 3}",True,True,2,0.23824102421374893,3593,2737,13.587707996368408,rgb/f1357_rgb.png
1358,context-rich,3,3,3,1.0,0.15227141203703703,6,"{""occlusion_budget"": 1, ""collision"": 1, ""support"": 1}",True,True,2,0.17761217202297774,6441,5297,10.57163381576538,rgb/f1358_rgb.png
1359,context-rich,3,3,3,1.0,0.2764985380116959,7,"{""support"": 3, ""occlusion_budget"": 1}",True,False,0,0.11627575728800688,21062,18613,8.892480850219727,rgb/f1359_rgb.png
1360,context-rich,3,3,3,1.0,0.19637044270833334,9,"{""support"": 6}",True,True,1,0.06654973938390851,80962,75574,19.215197801589966,rgb/f1360_rgb.png
1361,context-rich,3,3,2,0.6666666666666666,0.12906901041666666,13,"{""occlusion_budget"": 9, ""support"": 1}",True,False,0,0.12121212121212122,561,493,13.80713176727295,rgb/f1361_rgb.png
1362,context-rich,3,3,3,1.0,0.2859405458089669,12,"{""support"": 9}",True,True,0,0.0,78920,78920,12.983471870422363,rgb/f1362_rgb.png
1363,context-rich,3,2,2,1.0,0.00904224537037037,23,"{""support"": 12, ""collision"": 7, ""occlusion_budget"": 2}",True,False,0,0.0,3012,3012,14.30281400680542,rgb/f1363_rgb.png
1364,context-rich,3,3,3,1.0,0.06404622395833333,7,"{""support"": 3, ""occlusion_budget"": 1}",True,True,2,0.10839567251810567,33553,29916,9.747780084609985,rgb/f1364_rgb.png
1365,context-rich,3,3,3,1.0,0.042154947916666664,7,"{""support"": 4}",True,False,0,0.058510638297872286,1880,1770,7.698895454406738,rgb/f1365_rgb.png
1366,context-rich,3,3,3,1.0,0.2221137152777778,97,"{""occlusion_budget"": 7, ""support"": 77, ""collision"": 10}",True,False,0,0.11020613671365953,33764,30043,32.009496212005615,rgb/f1366_rgb.png
1367,context-rich,3,3,3,1.0,0.08732096354166667,7,"{""support"": 2, ""collision"": 2}",True,True,0,0.0,3247,3247,16.15143895149231,rgb/f1367_rgb.png
1368,context-rich,3,3,3,1.0,0.053548177083333336,6,"{""support"": 3}",True,False,0,0.0,52076,52076,7.775799512863159,rgb/f1368_rgb.png
1369,context-rich,3,3,3,1.0,0.31359649122807015,122,"{""support"": 95, ""collision"": 20, ""camera_clearance"": 4}",True,False,0,0.0,201232,201232,15.426953315734863,rgb/f1369_rgb.png
1370,context-rich,3,0,0,0.0,0.0,0,{},True,True,0,0.0,2136,2136,11.66742730140686,rgb/f1370_rgb.png
1371,context-rich,3,3,3,1.0,0.12263997395833333,26,"{""support"": 5, ""occlusion_budget"": 11, ""collision"": 7}",True,True,2,0.23806492679821767,10997,8379,24.114048957824707,rgb/f1371_rgb.png
1372,context-rich,3,3,3,1.0,0.12320963541666667,15,"{""support"": 7, ""collision"": 5}",True,False,0,0.0,7553,7553,10.57685923576355,rgb/f1372_rgb.png
1373,context-rich,3,3,3,1.0,0.07698567708333333,8,"{""support"": 2, ""occlusion_budget"": 1, ""collision"": 2}",True,True,0,0.0,747,747,18.103151082992554,rgb/f1373_rgb.png
1374,context-rich,3,2,2,1.0,0.2566550925925926,187,"{""support"": 166, ""collision"": 18, ""camera_clearance"": 1}",True,False,0,0.0,142605,142605,21.463305950164795,rgb/f1374_rgb.png
1375,context-rich,3,3,3,1.0,0.15714518229166666,38,"{""occlusion_budget"": 2, ""collision"": 16, ""support"": 17}",True,True,2,0.23379299413536214,37854,29004,16.7396297454834,rgb/f1375_rgb.png
1376,context-rich,3,3,3,1.0,0.034342447916666664,6,"{""collision"": 1, ""support"": 2}",True,True,0,0.0,3839,3839,22.685365200042725,rgb/f1376_rgb.png
1377,context-rich,3,3,3,1.0,0.06475389863547758,4,"{""collision"": 1}",True,False,0,0.0,5317,5317,10.576755046844482,rgb/f1377_rgb.png
1378,context-rich,3,0,0,0.0,0.0,0,{},True,True,2,0.027349577324714103,58319,56724,7.4599573612213135,rgb/f1378_rgb.png
1379,context-rich,3,0,0,0.0,0.0,0,{},True,False,0,0.0,159409,159409,5.768995523452759,rgb/f1379_rgb.png
1380,context-rich,3,3,3,1.0,0.3518880208333333,21,"{""support"": 12, ""collision"": 6}",True,False,0,0.0,8634,8634,10.908792972564697,rgb/f1380_rgb.png
1381,context-rich,3,2,2,1.0,0.4261067708333333,184,"{""support"": 154, ""occlusion_budget"": 4, ""collision"": 24}",True,True,2,0.17121298482751135,36843,30535,18.473268747329712,rgb/f1381_rgb.png
1382,context-rich,3,3,2,0.6666666666666666,0.144287109375,6,"{""support"": 2, ""collision"": 1}",True,False,0,0.0,7698,7698,13.657501697540283,rgb/f1382_rgb.png
1383,context-rich,3,3,3,1.0,0.06583658854166667,6,"{""support"": 3}",True,True,1,0.17967072297780962,2794,2292,11.24722695350647,rgb/f1383_rgb.png
1384,context-rich,3,0,0,0.0,0.0,0,{},True,False,0,0.0,1381,1381,8.080857753753662,rgb/f1384_rgb.png
1385,context-rich,3,3,3,1.0,0.049985532407407406,7,"{""support"": 4}",True,False,0,0.0,171132,171132,12.7262601852417,rgb/f1385_rgb.png
1386,context-rich,3,3,3,1.0,0.101806640625,12,"{""support"": 6, ""collision"": 2, ""occlusion_budget"": 1}",True,True,2,0.0,23991,23991,15.35879921913147,rgb/f1386_rgb.png
1387,context-rich,3,3,3,1.0,0.4291087962962963,17,"{""occlusion_budget"": 1, ""support"": 8, ""collision"": 5}",True,False,0,0.01522428899950512,34353,33830,14.310245513916016,rgb/f1387_rgb.png
1388,context-rich,3,3,3,1.0,0.15533625730994152,5,"{""support"": 2}",True,True,2,0.22158783284933803,20317,15815,15.325003862380981,rgb/f1388_rgb.png
1389,context-rich,3,3,3,1.0,0.025227864583333332,8,"{""occlusion_budget"": 4, ""collision"": 1}",True,True,1,0.19822595704948642,10710,8587,18.468944549560547,rgb/f1389_rgb.png
