idx,frame_id,diagnostic_mode,stage,path,present,decode_ok,decode_error,sha256,content_sha256,width,height,area,all_black,rgb_sha256,within_frame_duplicate_group,cross_frame_duplicate_frame_count,cross_frame_duplicate_class
5,f0005,clean-static,m1,mask\f0005_m1.png,True,True,,6b58f2211de5d342be79c1093fecc44730c5e804ad673775f90d5102305c6498,ed1876b81988fd3344f4cb65c13c5d6a44244e6c9a74a9dd36133248d4f7055e,720,480,24596,False,a3f646d8821a0684f8d02037f8e4e64633bfd22e06210fe2fc5ccfb96ac8b974,m0+m1+m2+m3+m4 [expected_no_op],,
5,f0005,clean-static,m2,mask\f0005_m2.png,True,True,,d06a91f89e23ee8b1d6822233556c24a51e57b8d907174e89f1ff6e8b77026f5,ed1876b81988fd3344f4cb65c13c5d6a44244e6c9a74a9dd36133248d4f7055e,720,480,24596,False,a3f646d8821a0684f8d02037f8e4e64633bfd22e06210fe2fc5ccfb96ac8b974,m0+m1+m2+m3+m4 [expected_no_op],,
5,f0005,clean-static,m3,mask\f0005_m3.png,True,True,,8b0b1cc2c162b6c9ece52301d4038beacadb97d7c5e135bd19579697fcf74834,ed1876b81988fd3344f4cb65c13c5d6a44244e6c9a74a9dd36133248d4f7055e,720,480,24596,False,a3f646d8821a0684f8d02037f8e4e64633bfd22e06210fe2fc5ccfb96ac8b974,m0+m1+m2+m3+m4 [expected_no_op],,
5,f0005,clean-static,m4,mask\f0005_m4.png,True,True,,5a4b9ef45e84c0a631d6a29ec0900152b260acf7346cff865f0eb777f676dd6e,ed1876b81988fd3344f4cb65c13c5d6a44244e6c9a74a9dd36133248d4f7055e,720,480,24596,False,a3f646d8821a0684f8d02037f8e4e64633bfd22e06210fe2fc5ccfb96ac8b974,m0+m1+m2+m3+m4 [expected_no_op],,
6,f0006,controlled-occlusion,m0,mask\f0006_m0.png,True,True,,867bfd54a1ff1c901fe8324c26ceacec849f357c2c3072b581c000121cd38b0d,d409ff45d43522be71649a2fc421be5832962ce522273780fd92819c44cffd47,640,480,14277,False,27a17181922ff34ffcf62317ed7dd0277077036e42cc054a0987627d26af7705,m0+m1+m2+m3 [no_op_placed_but_not_occluding],,
6,f0006,controlled-occlusion,m1,mask\f0006_m1.png,True,True,,a7999c8f10eac4422128b9cc21705765bdc74c0e64ef3eb85111ca6b291c9029,d409ff45d43522be71649a2fc421be5832962ce522273780fd92819c44cffd47,640,480,14277,False,27a17181922ff34ffcf62317ed7dd0277077036e42cc054a0987627d26af7705,m0+m1+m2+m3 [no_op_placed_but_not_occluding],,
6,f0006,controlled-occlusion,m2,mask\f0006_m2.png,True,True,,971d142e8c46338a84390939bda66de90325748f4e192d8ef29836ceecf73936,d409ff45d43522be71649a2fc421be5832962ce522273780fd92819c44cffd47,640,480,14277,False,27a17181922ff34ffcf62317ed7dd0277077036e42cc054a0987627d26af7705,m0+m1+m2+m3 [no_op_placed_but_not_occluding],,
6,f0006,controlled-occlusion,m3,mask\f0006_m3.png,True,True,,f094d814f8cca56e9d2ed7508931fc1454a9c34916bef31a1b615a9f2e976ac9,d409ff45d43522be71649a2fc421be5832962ce522273780fd92819c44cffd47,640,480,14277,False,27a17181922ff34ffcf62317ed7dd0277077036e42cc054a0987627d26af7705,m0+m1+m2+m3 [no_op_placed_but_not_occluding],,
6,f0006,controlled-occlusion,m4,mask\f0006_m4.png,True,True,,be5e7ff1204d57b4f98a49b9fe0583643583605df50ddceb927d7c4b530aa0fa,2ae9731418fb9066a836f697a76efb7384cd9b848acd0cabffa216e3d86d47f0,640,480,9725,False,27a17181922ff34ffcf62317ed7dd0277077036e42cc054a0987627d26af7705,,,
7,f0007,clean-static,m0,mask\f0007_m0.png,True,True,,db7bdf0ea17b960a7827abaab217efb865e8c33f14ba8c2ba92b656a8b3e8535,2e81343eefe74eed368c238b20720f11bd9ea211e79084071c94a80925e8d170,960,540,250550,False,7e6da24629b08db980e91b84362cc51071d24ff2f2ff66443bfbdde431445e96,m0+m1+m2+m3+m4 [expected_no_op],,
