proposal_index,usable_slot,outcome,stage,primary_reject_reason,explicit_solver_fail_reason,f_target,f_target_bin,elevation_deg,elev_bin,azimuth_bin,v_target,proj_size_bin,proj_size_ratio,position_mode,scene_preset,pallet_type,fx,solve_reject_reason,cam_distance_m,v_probe,pallet_silhouette_px2,f_cargo_est,f_need,occ_name,occ_size_class,occ_side,occ_fill_ratio,occ_scale,occ_d_occ_m,occ_bbox_cross_m2,occ_in_position_band,occ_overlap_target_px2,occ_resample_tries,occluder_side_actual,occluder_side_match,explicit_occluder_visible_px,f_explicit_actual,explicit_abs_error,occluder_feedback_iterations,explicit_proposal_count,explicit_selected_stage,runtime_s,rt_background,rt_anchor,rt_cargo,rt_context,rt_explicit,rt_collision_audit,occ_bbox_x_m,occ_bbox_y_m,occ_bbox_z_m,occ_dim_max_m,occ_dim_mid_m,occ_dim_min_m,occ_footprint_m2,occ_screen_w_px,occ_screen_h_px,occ_screen_area_px2,occ_planned_bottom_z_m,A_target_px2,silhouette_over_target
1913,1401,accepted,usable,,,0.43309787532889565,3,46.4746144236669,5,1,7,2,0.3158967523695706,near-camera,random-mix,Pallet_3,605.9065,,2.9303577170940245,7,47651.91595168998,0.0,0.43309787532889565,drawer_cabinet,indoor,right,0.4759,0.9368039218591961,1.9437799306756474,2.146221,True,20637.943554028043,5,right,True,3380,,,36,6,gate-overlap-refine,50.17114043235779,0.03009,0.142182,0.011264,24.788262,21.914374,0.094599,1.141,1.881,0.488,1.881,1.141,0.488,1.8835269578220648,378.92552928268975,229.85328490778787,87097.27764104841,-0.1468022069132272,20637.943554028043,4.220249823488303
1914,1402,rejected,solve,solve_reject:d_occ_fail,,0.20775851126329153,2,5.588820805087201,1,0,6,3,0.5302198335508327,near-pallet,outdoor-night,Pallet_1,347.0229248542522,d_occ_fail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1915,1402,rejected,render,usable_reject:rendered|usable_reject:realize_ok,bounded_local_search_exhausted,0.27613593683485277,2,71.42308856397536,6,5,6,0,0.08535996915157187,near-camera,outdoor-night,Pallet_0,410.40034576856965,,5.509027250913589,8,7316.473395230001,0.0,0.27613593683485277,metal_trash_can,medium,left,0.8349,0.893141315560053,1.6583304015654492,1.610868,True,2020.3412353191125,1,,,0,0.0,0.27613593683485277,36,6,,42.72255849838257,0.011037,0.065686,0.009015,9.6849,32.192029,0.047214,1.778,0.906,0.556,1.778,0.906,0.556,1.2849916742156493,359.0920764676907,182.97942704146672,65706.46240718859,3.2756448293833036,2020.3412353191125,32.52245772076729
1916,1402,rejected,mode_filter,proposal_skip:mode_requires_explicit_occluder,,0.0,0,15.907832647679063,3,8,6,4,0.7963381478417705,,outdoor-night,Pallet_1,605.9065,,1.1624339341521068,5,299813.349989195,0.42629446762061424,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1917,1402,rejected,render,usable_reject:rendered|usable_reject:realize_ok,bounded_local_search_exhausted,0.11008078512828355,1,7.6455981185470705,1,2,6,3,0.45169261818025025,near-pallet,outdoor-day,Pallet_3,386.54589391113313,,1.4708581199231323,6,43441.27899215499,0.0,0.11008078512828355,utility_box_01,road,left,0.9166,1.0431610201743313,0.9771376182715378,0.5824,True,4782.050098433232,7,,,0,0.0,0.11008078512828355,36,6,,36.7859902381897,0.01181,0.081622,0.010346,12.340564,23.245531,0.056859,0.52,1.12,0.432,1.12,0.52,0.432,0.6337588939200948,442.4911923154746,205.44233928932746,90906.42566421478,-0.5235539350869975,4782.050098433232,19.00992749824995
1918,1402,rejected,render,usable_reject:rendered|usable_reject:realize_ok,bounded_local_search_exhausted,0.281804049244971,2,1.3905555059616281,0,0,4,1,0.15057037487292438,near-pallet,indoor,Pallet_2,668.5691388865173,,8.721907012819948,4,1695.779652274996,0.08393822261944561,0.19786582662552538,metal_office_desk,medium,left,0.7573,0.8674693370242629,6.340564790299585,1.894,True,335.53684267213805,2,,,0,0.0,0.281804049244971,36,6,,40.05696678161621,0.010307,0.384515,1.837517,7.23097,28.981196,0.218272,2.0,0.788,0.947,2.0,0.947,0.788,1.425240777982833,159.1975894987999,75.38005862768176,12000.323629805152,-0.22545133097545997,335.53684267213805,35.76454834061542
1919,1402,accepted,usable,,,0.14577405107444666,1,66.46560519100795,6,10,7,3,0.4052980933912868,near-camera,outdoor-night,Pallet_2,691.151061125222,,2.9309683555854438,7,67829.381486205,0.0,0.14577405107444666,industrial_storage_cart,medium,left,0.6134,1.0658947166447703,1.245653363041191,2.207331,True,9887.763721118175,1,bottom,True,1486,,,9,6,prealign,40.006958961486816,0.0299,0.163212,0.012104,27.494949,8.97085,0.131041,1.603,1.377,1.103,1.603,1.377,1.103,2.507818383707564,742.4983484226861,637.8167347336487,473577.87213608465,0.8690940028587234,9887.763721118175,47.8953467632547
1920,1403,rejected,mode_filter,proposal_skip:mode_requires_explicit_occluder,,0.0,0,5.299510372763221,1,5,5,4,0.8574184246203567,,indoor,Pallet_3,396.24565153763683,,0.7942997188121587,4,1316799.50292398,0.0029770034866120287,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1921,1403,rejected,mode_filter,proposal_skip:mode_requires_explicit_occluder,,0.0,0,26.860437227739435,4,1,7,2,0.3169349472397493,,random-mix,Pallet_1,605.9065,,3.285853472281235,7,29339.75086963002,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,1403,rejected,render,usable_reject:rendered|usable_reject:realize_ok,bounded_local_search_exhausted,0.39408678035404066,3,18.506454330620457,3,4,5,0,0.09783210349192004,near-pallet,outdoor-day,Pallet_0,604.0266352357254,,7.074506508300014,4,5836.447652654999,0.5406890112459027,0.0,,,,,,,,,,,,,0,0.0,0.39408678035404066,36,6,,60.5236701965332,0.009794,0.033076,9.368495,3.292064,47.071296,0.018532,,,,,,,,,,,,,
1923,1403,rejected,render,usable_reject:rendered|usable_reject:realize_ok,bounded_local_search_exhausted,0.32823324557005695,2,45.513292699337555,5,3,8,1,0.14373153462325172,near-pallet,outdoor-night,Pallet_1,574.7564453323289,,4.581980532916549,8,15888.241655465019,0.0,0.32823324557005695,traffic_barricade_01,road,right,0.4959,0.9635494102404666,3.548372129969324,1.0415999999999999,True,5215.049124974657,1,,,0,0.0,0.32823324557005695,36,6,,45.72676920890808,0.008599,0.032867,0.008552,6.944894,37.977494,0.044458,0.868,1.2,0.448,1.2,0.868,0.448,0.9670500485593004,131.88851573858753,95.39935971757832,12582.079955563002,0.21209302144903686,5215.049124974657,2.412648405421137
1924,1403,rejected,mode_filter,proposal_skip:mode_requires_explicit_occluder,,0.0,0,5.052153954039438,1,2,6,3,0.5469950178420553,,outdoor-day,Pallet_2,605.9065,,1.9038597480895243,6,40437.938975034995,0.17598622173501915,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1925,1403,rejected,mode_filter,proposal_skip:mode_requires_explicit_occluder,,0.0,0,22.53420082354954,3,6,5,2,0.24715788811102113,,random-mix,Pallet_3,533.4369338950822,,4.239486575689668,4,13492.755474320005,0.6259539561423019,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1926,1403,accepted,usable,,,0.15213742821325396,1,16.30381737262219,3,11,6,0,0.09981169749776322,near-camera,indoor,Pallet_0,605.9065,,9.274368729495418,7,2813.223476134983,0.0,0.15213742821325396,metal_toolbox,medium,bottom,0.8231,0.8937309981960693,3.496475649935528,0.122,True,427.9965846483267,1,bottom,True,43,,,24,6,primary,44.19861030578613,0.008393,0.033931,0.009332,3.282889,37.204779,0.028032,0.4,0.305,0.271,0.4,0.305,0.271,0.09744812185065817,56.204128350105044,42.85564786695509,2408.664333241249,1.2928349634632554,427.9965846483267,5.6277653131750665
1927,1404,rejected,render,usable_reject:rendered|usable_reject:realize_ok,bounded_local_search_exhausted,0.3680922901002551,3,8.543894241803404,2,0,6,4,0.6872681645704526,near-pallet,outdoor-night,Pallet_1,604.2945660910813,,1.5112460303151067,6,96676.26287897998,0.0,0.3680922901002551,construction_sign_01,road,left,0.4797,0.9325142452955577,1.0282250657212968,1.2816,True,35585.787001458026,4,,,0,0.0,0.3680922901002551,36,6,,35.319223403930664,0.00882,0.055097,0.008375,7.511228,26.968751,0.044396,1.068,1.2,0.059,1.2,1.068,0.059,1.1144573391375905,455.49339365407775,405.3891203521293,184652.06617963273,-0.48512822278713,35585.787001458026,5.1889274268984735
1928,1404,rejected,solve,solve_reject:v_below_min,,0.10753819790601653,1,64.67160086250261,6,9,8,4,0.9004760299232909,near-pallet,outdoor-day,Pallet_2,609.5543629275951,v_below_min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1929,1404,rejected,render,usable_reject:rendered|usable_reject:realize_ok,bounded_local_search_exhausted,0.15415578396532698,1,20.175885469466074,3,9,7,3,0.45002131844563825,near-camera,indoor,Pallet_3,657.8890819795388,,1.675101176033026,7,128968.03568150004,0.43302996541335903,0.0,,,,,,,,,,,,,0,0.0,0.15415578396532698,36,6,,35.914311170578,0.012731,0.081416,4.215066,15.259219,15.184763,0.150288,,,,,,,,,,,,,
1930,1404,rejected,render,usable_reject:rendered|usable_reject:realize_ok,bounded_local_search_exhausted,0.23933150526939903,2,4.8189652360737,1,7,4,0,0.09286514461600738,near-pallet,outdoor-day,Pallet_2,420.12607320834206,,7.775701974219178,6,1607.652888939999,0.28449934862177273,0.0,,,,,,,,,,,,,0,0.0,0.23933150526939903,36,6,,35.484657287597656,0.028645,0.148104,1.735636,12.784029,19.208428,0.262385,,,,,,,,,,,,,
1931,1404,accepted,usable,,,0.39568162326145584,3,8.414229132643054,2,8,5,2,0.32514429787108257,near-pallet,random-mix,Pallet_0,605.9065,,3.2028911584600777,5,19368.954664780023,0.0,0.39568162326145584,portable_generator,large,right,0.8598,0.8193484199244557,1.8093294443837074,0.47198599999999996,True,7663.939422637707,6,right,True,1581,,,21,6,prealign,36.24650478363037,0.010825,1.003582,0.012546,9.577944,21.85844,0.178829,0.818,0.577,0.564,0.818,0.577,0.564,0.3168592266401702,208.11750239047174,146.8017101213963,30552.005257115034,-0.0003652728025423657,7663.939422637707,3.986462258152859
1932,1405,rejected,render,usable_reject:rendered|usable_reject:realize_ok,bounded_local_search_exhausted,0.15998321491456305,1,31.535925790168605,4,11,5,4,0.837880666477018,near-camera,outdoor-day,Pallet_0,445.5051688033534,,0.9138676180467356,5,403062.03641419,0.0,0.15998321491456305,portable_generator,large,right,0.8598,0.921428953872579,0.6312962485762146,0.47198599999999996,True,64483.1603955528,1,,,0,0.0,0.15998321491456305,36,6,,26.688832998275757,0.012398,1.031377,0.011641,8.480384,15.978481,0.108522,0.818,0.577,0.564,0.818,0.577,0.564,0.4007308952019471,493.2117534802898,347.90120019330965,171588.9609852396,-0.1813051343359969,64483.1603955528,2.660988697400656
1933,1405,rejected,mode_filter,proposal_skip:mode_requires_explicit_occluder,,0.0,0,27.74819032454982,4,6,8,1,0.10873939114241861,,indoor,Pallet_3,581.2354188606248,,6.12472546008825,8,6604.317360189976,0.6096847798458704,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1934,1405,rejected,mode_filter,proposal_skip:mode_requires_explicit_occluder,,0.0,0,14.022415596123164,2,0,6,2,0.2745093393461696,,outdoor-night,Pallet_1,566.4098073407043,,3.1523456317793044,6,20900.347155055002,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1935,1405,accepted,usable,,,0.21417265058714882,2,71.68079630059518,6,9,8,1,0.14206438449988862,near-pallet,outdoor-day,Pallet_2,605.9065,,8.377704843706203,8,6339.519566195002,0.7023579177005795,0.0,,,,,,,,,,,bottom,True,152,,,23,6,corner-contact-refine,40.36307692527771,0.010272,0.038017,2.229195,7.816575,26.610483,0.096364,,,,,,,,,,,,,
1936,1406,rejected,mode_filter,proposal_skip:mode_requires_explicit_occluder,,0.0,0,7.901678502425234,1,7,6,3,0.5678960014280384,,outdoor-night,Pallet_0,362.99629733456067,,1.098616444692179,6,93088.11723627498,0.15148443707637124,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1937,1406,rejected,mode_filter,proposal_skip:mode_requires_explicit_occluder,,0.0,0,16.42666167159214,3,4,4,0,0.06766768273481119,,indoor,Pallet_1,386.3732273549467,,6.542551852202299,8,2359.6077331050037,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,1406,rejected,solve,solve_reject:d_occ_fail,,0.12977342875927725,1,30.263649007009803,4,5,6,4,0.7318797517163688,near-camera,random-mix,Pallet_3,311.6741776279983,d_occ_fail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1939,1406,rejected,render,usable_reject:rendered|usable_reject:realize_ok,bounded_local_search_exhausted,0.1476662963377845,1,10.41555036722736,2,8,4,4,0.6996231624568093,near-camera,random-mix,Pallet_3,605.9065,,1.4885181805845233,4,127716.67467119,0.29349088059533834,0.0,,,,,,,,,,,,,0,0.0,0.1476662963377845,36,6,,28.749768018722534,0.011647,0.08347,1.480026,11.051254,14.475016,0.221496,,,,,,,,,,,,,
1940,1406,rejected,render,usable_reject:rendered|usable_reject:realize_ok,bounded_local_search_exhausted,0.4329714631213083,3,29.8498037894311,4,2,5,3,0.5349568705030218,near-pallet,outdoor-day,Pallet_2,586.2046617780238,,1.6741358133265516,5,121319.19264019,0.0,0.4329714631213083,old_tyre,medium,right,0.9677,1.0030120954555537,1.2349200150741082,0.36,True,52527.74834211892,2,,,0,0.0,0.4329714631213083,36,6,,52.766507387161255,0.01499,0.114407,0.009567,13.750764,37.779972,0.07127,0.6,0.6,0.165,0.6,0.6,0.165,0.36217197490685066,281.0206470819456,281.0206470819456,78972.60408635541,-0.11089192807173481,52527.74834211892,1.5034454470044725
1941,1406,rejected,mode_filter,proposal_skip:mode_requires_explicit_occluder,,0.0,0,18.155285456495484,3,10,5,4,0.6109735502727794,,random-mix,Pallet_3,463.6253476167297,,1.3042398739855179,6,113351.37782615502,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942,1406,accepted,usable,,,0.11205601397225456,1,66.04771755908081,6,5,7,2,0.39017975869718013,near-pallet,indoor,Pallet_0,654.3667656310193,,1.9216661950612917,7,143885.00269992996,0.8621570665523132,0.0,,,,,,,,,,,bottom,True,3273,,,10,6,prealign,41.25158214569092,0.008072,0.034786,9.815788,11.68433,15.11081,0.303531,,,,,,,,,,,,,
1943,1407,rejected,mode_filter,proposal_skip:mode_requires_explicit_occluder,,0.0,0,2.0845789869919873,0,3,5,1,0.1369517765878588,,outdoor-day,Pallet_2,605.9065,,7.604149597920031,6,2365.28859154,0.1334954835844168,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1944,1407,rejected,render,usable_reject:rendered|usable_reject:realize_ok,bounded_local_search_exhausted,0.3004642559982018,2,38.11001140039675,4,1,7,0,0.09329582736962853,near-pallet,outdoor-night,Pallet_1,522.7960018368805,,9.631252045144022,8,3070.7504985600062,0.0,0.3004642559982018,forklift_02,large,left,0.5807,0.8912623968115797,6.147589861261598,4.4350000000000005,True,922.6507639059396,2,,,0,0.0,0.3004642559982018,36,6,,31.557090997695923,0.01174,0.083592,0.01071,6.545725,23.626256,0.24471,2.5,1.774,0.928,2.5,1.774,0.928,3.522936306968377,144.39391017729452,102.4619186618082,14794.87707984639,1.270869145037555,922.6507639059396,16.035186506770906
1945,1407,rejected,solve,solve_reject:d_occ_fail,,0.4151514527715273,3,29.99134353476724,4,6,4,4,0.8530356807350139,near-camera,outdoor-night,Pallet_2,696.5992144909551,d_occ_fail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1946,1407,accepted,usable,,,0.12927811599317007,1,51.72964418435998,5,6,6,4,0.6991855601848624,near-camera,random-mix,Pallet_0,604.9657878099744,,1.487137330930401,5,205718.99589681,0.7577027890205803,0.0,,,,,,,,,,,bottom,True,1587,,,35,6,corner-contact-refine,38.19563364982605,0.013239,1.006804,7.672406,4.406982,21.210215,0.110969,,,,,,,,,,,,,
1947,1408,rejected,mode_filter,proposal_skip:mode_requires_explicit_occluder,,0.0,0,2.321362161790412,0,3,4,2,0.27931218674116554,,outdoor-day,Pallet_2,479.951055524089,,3.37529490897567,4,8099.822678989996,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1948,1408,accepted,usable,,,0.384116739501305,3,15.226051795900196,3,2,7,0,0.07720139138918355,near-pallet,outdoor-night,Pallet_3,605.9065,,8.99294497275868,8,2738.2862665099965,0.5256578186579156,0.0,,,,,,,,,,,left,True,2059,,,10,6,preprobe,30.425670862197876,0.010163,0.033516,4.1915,7.919312,14.26496,0.074404,,,,,,,,,,,,,
1949,1409,rejected,mode_filter,proposal_skip:mode_requires_explicit_occluder,,0.0,0,3.4448017969837927,1,8,4,3,0.42548318409208485,,indoor,Pallet_1,605.9065,,2.4475745124855877,4,22350.612403080013,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950,1409,rejected,render,usable_reject:rendered|usable_reject:realize_ok,bounded_local_search_exhausted,0.2893286863433349,2,19.694854591944814,3,9,6,1,0.17580260085094643,near-pallet,outdoor-day,Pallet_3,570.8906749579212,,3.720909485352644,6,23377.571460254985,0.0,0.2893286863433349,forklift_02,large,bottom,0.5807,1.006125627425751,2.265003758312961,4.4350000000000005,True,6763.802040493013,1,,,0,0.0,0.2893286863433349,36,6,,38.870052099227905,0.013889,0.082445,0.010301,10.088774,27.386395,0.116698,2.5,1.774,0.928,2.5,1.774,0.928,4.48950073115229,483.11681686881406,342.81969325011045,165621.95896293662,-1.3288470057346684,6763.802040493013,24.48651778561876
1951,1409,rejected,render,usable_reject:rendered|usable_reject:realize_ok,bounded_local_search_exhausted,0.3196687818687416,2,1.3153911770744622,0,7,6,3,0.4117365346329494,near-camera,outdoor-night,Pallet_2,595.6304832260759,,2.4863955635062864,6,19663.206848925023,0.04667295386215886,0.27299582800658273,SchoolChair_01,medium,bottom,0.2916,0.8064274245662957,0.9155774823127933,0.67905,True,5367.973434986995,1,,,0,0.0,0.3196687818687416,36,6,,58.2634379863739,0.029231,0.143866,1.627106,28.015866,26.999131,0.146152,0.566,1.006,0.675,1.006,0.675,0.566,0.4416033210114494,284.9960508268777,191.22498440173212,54498.36537392494,-0.4675498765216243,5367.973434986995,10.152502808363279
1952,1409,rejected,mode_filter,proposal_skip:mode_requires_explicit_occluder,,0.0,0,19.7450977820635,3,1,5,1,0.11030846705919031,,indoor,Pallet_0,503.64815850166985,,6.975552148364696,6,4310.429559709999,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1953,1409,rejected,render,usable_reject:rendered|usable_reject:realize_ok,bounded_local_search_exhausted,0.14342373716073367,1,36.30794148296536,4,0,6,4,0.9215585128658835,near-camera,random-mix,Pallet_1,605.9065,,1.130044139721986,4,427023.46965520503,0.6179818416735482,0.0,,,,,,,,,,,,,0,0.0,0.14342373716073367,36,6,,35.1179986000061,0.028171,0.13689,4.210265,19.12021,10.157983,0.084029,,,,,,,,,,,,,
1954,1409,rejected,mode_filter,proposal_skip:mode_requires_explicit_occluder,,0.0,0,23.135967504252502,3,4,8,0,0.05988523823884846,,outdoor-day,Pallet_2,438.72527499823616,,8.394490179095577,8,1885.0420989050035,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1955,1409,rejected,render,usable_reject:rendered|usable_reject:realize_ok,bounded_local_search_exhausted,0.17317405507794792,1,55.95204224214733,5,11,7,2,0.24588408294483435,near-pallet,indoor,Pallet_0,666.7002036103952,,4.142479428993394,7,31202.976019820017,0.742431044023396,0.0,,,,,,,,,,,,,0,0.0,0.17317405507794792,36,6,,48.43346571922302,0.010306,1.031705,2.497384,6.840991,36.798167,0.254293,,,,,,,,,,,,,
1956,1409,rejected,render,usable_reject:rendered|usable_reject:realize_ok,bounded_local_search_exhausted,0.35734273672564093,3,14.008726336225575,2,10,6,4,0.6684953800308305,near-camera,outdoor-night,Pallet_3,443.1943414124481,,1.1394847250365656,5,155727.48261545502,0.0,0.35734273672564093,wooden_crate_01,small,bottom,0.9288,1.082442693883149,0.7882748077545078,0.337425,True,55648.084821201366,10,,,0,0.0,0.35734273672564093,36,6,,17.3382830619812,0.011179,0.103847,0.010686,10.058304,5.882248,0.056898,0.825,0.35,0.409,0.825,0.409,0.35,0.3953548614561749,483.8787219169418,239.88654213821718,116075.99341491514,-0.5515282055840895,55648.084821201366,2.0858937695316935
1957,1409,rejected,render,usable_reject:rendered|usable_reject:realize_ok,bounded_local_search_exhausted,0.27210373304403745,2,7.064742283309532,1,5,5,1,0.1404778428084,near-pallet,outdoor-day,Pallet_1,605.9065,,7.413281525794676,6,3137.4809986550026,0.34391397746556784,0.0,,,,,,,,,,,,,0,0.0,0.27210373304403745,36,6,,34.53584837913513,0.009054,0.033745,2.25584,6.660684,24.800349,0.074394,,,,,,,,,,,,,
1958,1409,accepted,usable,,,0.19469823912813086,1,4.08832934802275,1,10,4,2,0.38054750740391285,near-pallet,random-mix,Pallet_3,420.24689411615714,,1.8980530294092746,8,19326.50923603,0.14043612494613777,0.05426211418199309,wine_bottles_01,small,left,0.4876,1.1718553410699264,1.2875629553217047,0.22375600000000004,True,1048.697250904804,5,left,True,1850,,,24,6,gate-overlap-refine,33.05774426460266,0.011591,0.081411,1.613918,12.359012,15.897384,0.182217,0.676,0.331,0.081,0.676,0.331,0.081,0.3072717948828253,180.54629787228677,88.40358668006941,15960.940293718335,-0.11953418225557569,1048.697250904804,15.21977890182073
1959,1410,rejected,mode_filter,proposal_skip:mode_requires_explicit_occluder,,0.0,0,10.58380996927099,2,3,4,0,0.08616468235129034,,indoor,Pallet_0,683.5149941424039,,9.089504455299323,6,3996.111566745,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
