proposal_index,usable_slot,frame_outcome,status,baseline_proposals,baseline_proposals_removed,candidates_after_prefilter,candidates_before_prefilter,prefilter_reject_count,prefilter_reject_counts_by_reason,winner_in_baseline_proposals,winner_kept,winner_object,winner_prefilter_reason
1969,1412,accepted,ok,6,2,164,218,54,"{""prefilter_fill_ratio_too_low"": 52, ""prefilter_floor_support_infeasible"": 2}",True,True,Dist_utility_box_01,
1970,1413,accepted,ok,6,1,276,309,33,"{""prefilter_fill_ratio_too_low"": 14, ""prefilter_floor_support_infeasible"": 19}",True,True,Dist_chinese_screen_panels,
1973,1414,expensive,filtered_reject:diagnostic_explicit_prefilter_exhausted,6,6,,,,{},False,False,,
1974,1414,expensive,ok,6,4,73,164,91,"{""prefilter_fill_ratio_too_low"": 24, ""prefilter_floor_support_infeasible"": 58, ""prefilter_insufficient_projected_area"": 9}",False,False,,
1976,1414,accepted,ok,6,2,247,335,88,"{""prefilter_fill_ratio_too_low"": 85, ""prefilter_insufficient_projected_area"": 3}",True,True,Dist_utility_box_01,
1979,1415,expensive,ok,6,0,143,169,26,"{""prefilter_fill_ratio_too_low"": 26}",False,False,,
1980,1415,expensive,filtered_reject:diagnostic_explicit_prefilter_exhausted,6,6,,,,{},False,False,,
1981,1415,accepted,ok,6,3,121,218,97,"{""prefilter_fill_ratio_too_low"": 72, ""prefilter_floor_support_infeasible"": 14, ""prefilter_insufficient_projected_area"": 11}",True,True,Dist_utility_box_01,
1983,1416,accepted,ok,6,2,171,249,78,"{""prefilter_fill_ratio_too_low"": 33, ""prefilter_floor_support_infeasible"": 30, ""prefilter_insufficient_projected_area"": 15}",True,True,Dist_water_dispenser_01,
1985,1417,expensive,ok,6,5,80,161,81,"{""prefilter_fill_ratio_too_low"": 39, ""prefilter_floor_support_infeasible"": 39, ""prefilter_insufficient_projected_area"": 3}",False,False,,
1987,1417,expensive,ok,6,1,256,294,38,"{""prefilter_fill_ratio_too_low"": 38}",False,False,,
1989,1417,expensive,ok,6,1,30,46,16,"{""prefilter_floor_support_infeasible"": 3, ""prefilter_insufficient_projected_area"": 13}",False,False,,
1990,1417,expensive,ok,6,0,482,568,86,"{""prefilter_fill_ratio_too_low"": 60, ""prefilter_insufficient_projected_area"": 26}",False,False,,
1992,1417,accepted,ok,6,1,166,238,72,"{""prefilter_fill_ratio_too_low"": 49, ""prefilter_floor_support_infeasible"": 7, ""prefilter_insufficient_projected_area"": 16}",True,True,Dist_Shelf_01,
1993,1418,accepted,ok,6,4,38,213,175,"{""prefilter_fill_ratio_too_low"": 61, ""prefilter_floor_support_infeasible"": 105, ""prefilter_insufficient_projected_area"": 9}",True,True,Dist_Shelf_01,
1996,1419,accepted,ok,6,1,196,257,61,"{""prefilter_fill_ratio_too_low"": 45, ""prefilter_floor_support_infeasible"": 6, ""prefilter_insufficient_projected_area"": 10}",True,True,Dist_chinese_screen_panels,
1997,1420,expensive,ok,6,2,136,213,77,"{""prefilter_fill_ratio_too_low"": 32, ""prefilter_floor_support_infeasible"": 25, ""prefilter_insufficient_projected_area"": 20}",False,False,,
1999,1420,expensive,ok,6,1,239,327,88,"{""prefilter_fill_ratio_too_low"": 88}",False,False,,
2003,1420,expensive,ok,6,4,29,235,206,"{""prefilter_fill_ratio_too_low"": 70, ""prefilter_floor_support_infeasible"": 119, ""prefilter_insufficient_projected_area"": 17}",False,False,,
2004,1420,accepted,ok,6,4,74,120,46,"{""prefilter_fill_ratio_too_low"": 14, ""prefilter_floor_support_infeasible"": 25, ""prefilter_insufficient_projected_area"": 7}",True,True,Dist_plastic_crate_01,
2007,1421,accepted,ok,6,0,181,242,61,"{""prefilter_fill_ratio_too_low"": 35, ""prefilter_floor_support_infeasible"": 20, ""prefilter_insufficient_projected_area"": 6}",True,True,Dist_chinese_screen_panels,
2008,1422,accepted,ok,6,1,72,153,81,"{""prefilter_fill_ratio_too_low"": 26, ""prefilter_floor_support_infeasible"": 49, ""prefilter_insufficient_projected_area"": 6}",True,True,Dist_delivery_van_01,
2009,1423,accepted,ok,6,1,189,251,62,"{""prefilter_fill_ratio_too_low"": 52, ""prefilter_floor_support_infeasible"": 7, ""prefilter_insufficient_projected_area"": 3}",True,True,Dist_water_dispenser_01,
2012,1424,expensive,ok,6,2,272,322,50,"{""prefilter_fill_ratio_too_low"": 40, ""prefilter_insufficient_projected_area"": 10}",False,False,,
2013,1424,accepted,ok,6,1,168,249,81,"{""prefilter_fill_ratio_too_low"": 79, ""prefilter_floor_support_infeasible"": 1, ""prefilter_insufficient_projected_area"": 1}",True,True,Dist_wine_barrel_01,
2016,1425,expensive,ok,6,1,225,274,49,"{""prefilter_fill_ratio_too_low"": 49}",False,False,,
2018,1425,expensive,ok,6,0,259,335,76,"{""prefilter_fill_ratio_too_low"": 68, ""prefilter_insufficient_projected_area"": 8}",False,False,,
2019,1425,expensive,ok,6,0,192,224,32,"{""prefilter_fill_ratio_too_low"": 11, ""prefilter_floor_support_infeasible"": 15, ""prefilter_insufficient_projected_area"": 6}",False,False,,
2020,1425,expensive,ok,6,2,185,281,96,"{""prefilter_fill_ratio_too_low"": 85, ""prefilter_insufficient_projected_area"": 11}",False,False,,
2021,1425,expensive,filtered_reject:diagnostic_explicit_prefilter_exhausted,6,6,,,,{},False,False,,
2025,1425,expensive,ok,6,0,412,496,84,"{""prefilter_fill_ratio_too_low"": 59, ""prefilter_insufficient_projected_area"": 25}",False,False,,
2026,1425,expensive,ok,6,2,70,171,101,"{""prefilter_fill_ratio_too_low"": 30, ""prefilter_floor_support_infeasible"": 51, ""prefilter_insufficient_projected_area"": 20}",False,False,,
2027,1425,accepted,ok,6,1,70,101,31,"{""prefilter_fill_ratio_too_low"": 14, ""prefilter_floor_support_infeasible"": 14, ""prefilter_insufficient_projected_area"": 3}",True,True,Dist_water_dispenser_01,
2029,1426,accepted,ok,6,4,22,61,39,"{""prefilter_fill_ratio_too_low"": 2, ""prefilter_floor_support_infeasible"": 35, ""prefilter_insufficient_projected_area"": 2}",True,True,Dist_water_dispenser_01,
2030,1427,expensive,ok,6,5,123,214,91,"{""prefilter_fill_ratio_too_low"": 15, ""prefilter_floor_support_infeasible"": 64, ""prefilter_insufficient_projected_area"": 12}",False,False,,
