proposal_index,usable_slot,diagnostic_mode,framespec_canonical_sha256,plan_canonical_sha256,frame_seed,attempt_seed,target_side,f_target,elevation_deg,projected_size_ratio,camera_distance_m,selected_assets,target_mask_stats,old_outcome,old_solver_fail_reason,old_explicit_visible_pixels,old_side_actual,old_side_match,old_realization_attempt_count,old_lowres_render_count,old_runtime_s,old_stage_cargo_s,old_stage_context_s,old_stage_explicit_s,old_reject_counts
34,15,controlled-occlusion,4c0b263b6aee3208d47f8e38f7578a4838138dd2ea3ae709382515e3cfc2ee83,54cbe57d14b6f9f8c59e1a08bb8afb66df2a6745530ace6555163439d7d5b2b8,17870343514830591386,17870343514830591386,bottom,0.2343686197213216,20.05358022549826,0.4823709757869806,2.172961447355471,"['Dist_cement_bag', 'Dist_utility_box_01', 'Dist_portable_welding_cart', 'Dist_potted_plant_01', 'Dist_metal_tool_chest', 'Dist_fire_hydrant']","{'visible_pixels': 2817, 'bbox_px': [0, 24, 109, 74], 'centroid_px': [47.22719204827831, 47.8136315228967], 'centroid_norm': [0.27780701204869596, 0.3764852875818638]}",expensive_reject,bounded_local_search_exhausted,0,,,20,76,69.23617172241211,5.195386,25.72855,36.5374,"{""camera_clearance"": 10, ""candidate_budget_exhausted"": 11, ""score_callback"": 26}"
38,15,controlled-occlusion,0243c4af4dfff03103ac24b68acc21843a1efecdafe0b83d7b0228fa59ee625b,f319358a5d447dce7d8d31be1cc6329344f967cc3a3e1774821d12ca9e5c0913,17229999639078709411,17229999639078709411,right,0.4082084078182895,9.273834357212912,0.4474370943787678,2.2807806147179273,"['Dist_construction_sign_01', 'Dist_Shelf_01', 'Dist_water_dispenser_01', 'Dist_utility_box_01', 'Dist_wooden_bookshelf_worn', 'Dist_forklift_02']","{'visible_pixels': 2302, 'bbox_px': [5, 85, 98, 117], 'centroid_px': [47.32102519548219, 99.751954821894], 'centroid_norm': [0.27835897173813057, 0.7854484631645197]}",accepted,,11123,right,True,2,41,44.293997049331665,0.014927,14.038016,24.083392,"{""score_callback"": 8}"
46,19,controlled-occlusion,94fabd0991f0cc615e66d7dd19c3fb273a7b20e791e3151da34f700065e233f7,c8ac3336135c715f7fd456ca36359c1162b074e604d7f98d781f46dc64e7e3ee,769699537563328487,769699537563328487,bottom,0.2577233925098761,49.0424517121717,0.5275030930859046,1.4090866145145038,"['Dist_old_tyre', 'Dist_utility_box_01', 'Dist_sledgehammer_01', 'Dist_old_military_compressor', 'Dist_barrel_stove', 'Dist_wine_barrel_01']","{'visible_pixels': 6794, 'bbox_px': [46, 36, 170, 114], 'centroid_px': [101.96114218428025, 73.99219899911687], 'centroid_norm': [0.5997714246134133, 0.5826157401505265]}",accepted,,5284,bottom,True,9,60,76.24449396133423,0.01453,32.655833,37.973927,"{""candidate_budget_exhausted"": 4, ""collision"": 1, ""score_callback"": 22}"
54,23,controlled-occlusion,df5b8bb35f4c4973e6397a7b59ad72856a291574f16975ed7217bfa0f1e2de7a,df06672dbc3c098570c1417b2dc7469ec1642c9ff3f51293c7db3b47fdb1840d,6844711298320961668,6844711298320961668,bottom,0.29172857383466516,74.79273345743304,0.5190747706870723,1.7833470983107558,"['Dist_chinese_screen_panels', 'Dist_construction_sign_01', 'Dist_utility_box_01', 'Dist_concrete_road_barrier_02', 'Dist_old_military_compressor', 'Dist_metal_trash_can']","{'visible_pixels': 6137, 'bbox_px': [52, 10, 139, 125], 'centroid_px': [95.70571940687633, 74.71973276845364], 'centroid_norm': [0.5010770649574677, 0.5883443525075089]}",expensive_reject,bounded_local_search_exhausted,0,,,15,38,45.981489419937134,7.127292,21.028372,16.563303,"{""candidate_budget_exhausted"": 6, ""collision"": 4, ""score_callback"": 6, ""support"": 26}"
55,23,controlled-occlusion,b2b587d26d12ba9b5de57b6060a090bc006c6c7c41d3735d170abaa9d27e15ef,b5d6e5bd242f8fb1cd45e2f1055c37f2a258557230da6d6ac0abc2fede1dec44,3739135692304709437,3739135692304709437,bottom,0.13080422137872902,6.826041722591379,0.7695802147735195,1.1747225526819662,"['Dist_bleach_bottle', 'Dist_adjustable_wrench', 'Dist_can_rusted']","{'visible_pixels': 7547, 'bbox_px': [7, 56, 170, 121], 'centroid_px': [90.29362660659865, 82.07777925003313], 'centroid_norm': [0.5311389800388155, 0.6462817263782137]}",expensive_reject,bounded_local_search_exhausted,0,,,19,47,68.83458995819092,0.015625,31.392485,36.297151,"{""camera_clearance"": 20, ""candidate_budget_exhausted"": 11, ""score_callback"": 14, ""support"": 2}"
58,23,controlled-occlusion,ade6632167b040fa71b20af955ad63cc83d61a710981d6700ca8c3af2e433708,0fc8cf799775f393d9256de2ad9bcc46251feef75e8e3fe47be7b7099123e7e3,11762645058778497946,11762645058778497946,bottom,0.14775433727293127,17.402284079926485,0.2782466542773299,3.1458783342966057,"['Dist_traffic_barricade_01', 'Dist_utility_box_01', 'Dist_water_dispenser_01', 'Dist_portable_welding_cart', 'Dist_barrel_stove', 'Dist_fire_hydrant']","{'visible_pixels': 1447, 'bbox_px': [0, 96, 70, 127], 'centroid_px': [31.411886662059434, 110.30269523151348], 'centroid_norm': [0.18477580389446727, 0.8685251593032558]}",expensive_reject,bounded_local_search_exhausted,0,,,21,103,50.215322494506836,0.019727,9.498187,38.809261,"{""candidate_budget_exhausted"": 12, ""score_callback"": 36}"
59,23,controlled-occlusion,4f6bdcc9bb96e7f156fee82a0864ef5b7f1d2fb4ea629764b63483f1a30747e9,84153e686265f4dfb32da1c7cae541fab77125dcdf81cd2f8506593e36332bfa,956378932268611329,956378932268611329,left,0.23646578345592215,30.99525013743029,0.14531975365031694,4.92473231483055,"['Dist_concrete_road_barrier', 'Dist_construction_sign_01', 'Dist_chinese_screen_panels', 'Dist_utility_box_01', 'Dist_modular_chainlink_fence', 'Dist_covered_car']","{'visible_pixels': 195, 'bbox_px': [51, 82, 75, 93], 'centroid_px': [63.2, 88.0974358974359], 'centroid_norm': [0.4976377952755906, 0.6936805976176055]}",accepted,,323,left,True,8,59,46.748077630996704,7.398722,10.413602,23.614857,"{""candidate_budget_exhausted"": 3, ""collision"": 8, ""score_callback"": 5, ""support"": 1}"
62,25,controlled-occlusion,2a8fab812ee1ad69a6066d6f95e2d21ea79b28662e5832759fd1a5d1ac7d8970,48c817b61119098859ce0e13e2a779679f4151fb84a5e838f4242b4dc5ebdb99,9708573600006714967,9708573600006714967,right,0.3765922942059385,7.686600856575149,0.2784652824470185,1.6440798969790578,"['Dist_old_tyre', 'Dist_construction_sign_01', 'Dist_chinese_screen_panels', 'Dist_utility_box_01', 'Dist_portable_welding_cart', 'Dist_forklift_01']","{'visible_pixels': 2397, 'bbox_px': [114, 26, 227, 58], 'centroid_px': [173.9770546516479, 39.42177722152691], 'centroid_norm': [0.7664187429588013, 0.3104076946576922]}",expensive_reject,bounded_local_search_exhausted,0,,,21,31,63.97418832778931,0.021241,38.603657,21.476127,"{""candidate_budget_exhausted"": 13, ""collision"": 8, ""score_callback"": 8, ""support"": 20}"
65,25,controlled-occlusion,3a92db3d665bf2356d44504fcaef5e8929595882e51f2a078689676013bf107e,c562715918c620b053ff5c9bd003ca45db2ea9f578346a0df77ce99b0dd5941f,17269721638879513107,17269721638879513107,bottom,0.12697100401716757,68.01749432743385,0.09583352150426934,9.659360019133517,"['Dist_barrel_stove', 'Dist_chinese_screen_panels', 'Dist_water_dispenser_01', 'Dist_wooden_bookshelf_worn', 'Dist_delivery_truck_01', 'Dist_delivery_van_01']","{'visible_pixels': 277, 'bbox_px': [122, 97, 145, 118], 'centroid_px': [133.31768953068593, 108.34657039711192], 'centroid_norm': [0.697998374506209, 0.8531226015520623]}",accepted,,187,bottom,True,4,101,82.286048412323,5.880872,28.929931,39.245868,"{""score_callback"": 14}"
69,29,controlled-occlusion,737d8a755b94abcac77bdaecf6a69e49a30e233244a3efa7b053ef58815544e0,f6b2e7be4ca48ffd37faa7ab39c723e9ff45e9d6ad7d1d232cfc006f087d10aa,8545843960201566619,8545843960201566619,right,0.19727292210701583,9.649987264338122,0.3282420514463391,3.1726641735458694,"['Dist_utility_box_01', 'Dist_construction_sign_01', 'Dist_chinese_screen_panels', 'Dist_portable_welding_cart', 'Dist_covered_car', 'Dist_forklift_01']","{'visible_pixels': 1057, 'bbox_px': [102, 58, 170, 80], 'centroid_px': [138.13434247871334, 68.01229895931883], 'centroid_norm': [0.8125549557571373, 0.5355299130655026]}",expensive_reject,bounded_local_search_exhausted,0,,,21,95,65.00836300849915,0.013563,12.501767,51.28225,"{""camera_clearance"": 1, ""candidate_budget_exhausted"": 12, ""score_callback"": 34, ""support"": 1}"
70,29,controlled-occlusion,1fcad045fb2189c8d84065325c6054eaf47206d2ee348ee17fd76d98b1851ab1,c78b7c76edab0ebb480f3acba2fe845aaf459930bdb28aa3b38a80521d03b328,17779752310335643489,17779752310335643489,right,0.3343477429268502,31.60214153285133,0.17333188576893707,3.4362160197396814,"['Dist_metal_tool_chest', 'Dist_construction_sign_01', 'Dist_chinese_screen_panels', 'Dist_Shelf_01', 'Dist_utility_box_01', 'Dist_forklift_02']","{'visible_pixels': 705, 'bbox_px': [97, 60, 136, 85], 'centroid_px': [118.10921985815602, 71.60425531914893], 'centroid_norm': [0.6947601168126825, 0.5638130340090467]}",accepted,,5081,right,True,8,62,69.9708514213562,0.02055,31.806203,29.525998,"{""camera_clearance"": 6, ""candidate_budget_exhausted"": 3, ""score_callback"": 14}"
76,33,controlled-occlusion,fa56250ff7d1c56e58e683c843ffa07817763b1f8acd321108a4ec1175e27f5d,a7ed7a4af32af3e3a66b54530c0869bcc20b3d442616ad25a4da6fbae255a2de,18212778798860344993,18212778798860344993,left,0.19524197566885365,18.312258064288823,0.13100746503586896,4.97277099150134,"['Dist_chinese_screen_panels', 'Dist_construction_sign_01', 'Dist_utility_box_01', 'Dist_modular_chainlink_fence', 'Dist_forklift_02', 'Dist_forklift_01']","{'visible_pixels': 343, 'bbox_px': [94, 25, 131, 37], 'centroid_px': [113.30320699708454, 31.0466472303207], 'centroid_norm': [0.4991330704717381, 0.24446178921512363]}",accepted,,4409,left,True,2,48,41.1987624168396,4.716158,12.089845,17.470266,"{""score_callback"": 4}"
79,35,controlled-occlusion,1caacfc98167011029145e8835e5ca9cddecdbe23bcbe175fb34249d0facd3da,17b2cd328b3439ec4157f06ed86a341a692a3705da06c76734aa796bbd9edf3d,3350248196321884863,3350248196321884863,bottom,0.1658813642859568,65.60052332068551,0.5624476235036654,0.7475212815816372,"['Dist_metal_tool_chest', 'Dist_old_tyre', 'Dist_metal_jerrycan']","{'visible_pixels': 13652, 'bbox_px': [48, 0, 218, 127], 'centroid_px': [119.5543510108409, 70.24992675065924], 'centroid_norm': [0.526671149827493, 0.5531490295327499]}",expensive_reject,bounded_local_search_exhausted,0,,,16,49,66.66828656196594,8.986627,38.361478,18.11909,"{""candidate_budget_exhausted"": 7, ""collision"": 2, ""score_callback"": 8, ""support"": 26}"
80,35,controlled-occlusion,055c5f0aa3d6eadb68ebcca3798a78b71571dc6f8bf2eb1b3eec7453d7fa7436,2e773b89ad39d3b85076c2844789dc974b180b1555b38c370bfd314ea7b56cea,995114775180071907,995114775180071907,right,0.4392823720272658,2.1053113674106356,0.09434438575511322,9.96332767532945,"['Dist_Shelf_01', 'Dist_construction_sign_01', 'Dist_chinese_screen_panels', 'Dist_water_dispenser_01', 'Dist_utility_box_01', 'Dist_wooden_bookshelf_worn']","{'visible_pixels': 58, 'bbox_px': [148, 13, 170, 15], 'centroid_px': [158.94827586206895, 14.0], 'centroid_norm': [0.9349898580121703, 0.11023622047244094]}",expensive_reject,bounded_local_search_exhausted,0,,,20,73,52.3843457698822,0.013948,19.835379,31.205169,"{""candidate_budget_exhausted"": 12, ""score_callback"": 19, ""support"": 17}"
82,35,controlled-occlusion,bcda648acd351539deb75de56f26c675880a10a4ed5b847d89bb59a0868c0dec,01d25b51509ef1e56388f5d9a5e6e6ea1ae9a3c3836b1bfa399dbbe7deaa6e93,18243628291163035490,18243628291163035490,left,0.3350807686779613,7.908830539183718,0.28077039004679494,3.7090869756651825,"['Dist_metal_toolbox', 'Dist_construction_sign_01', 'Dist_chinese_screen_panels', 'Dist_utility_box_01', 'Dist_forklift_02', 'Dist_forklift_01']","{'visible_pixels': 847, 'bbox_px': [0, 59, 64, 77], 'centroid_px': [29.223140495867767, 66.93742621015349], 'centroid_norm': [0.171900826446281, 0.5270663481114448]}",accepted,,2655,left,True,4,68,47.629260540008545,0.016047,9.961312,32.328276,"{""score_callback"": 14}"
91,39,controlled-occlusion,6e102747f262f4b5ac10d5d31b78fdbf5f5687df6f48d92d919c5b75a62f4008,ff533057314698c693ea574f37bcf1618120eb306f90de561d4f6ca54e5fb261,4533354311068888575,4533354311068888575,bottom,0.14280944862934175,12.899869454444794,0.09935461304438288,9.946925993944028,"['Dist_korean_fire_extinguisher_01', 'Dist_construction_sign_01', 'Dist_chinese_screen_panels', 'Dist_utility_box_01', 'Dist_forklift_02', 'Dist_portable_welding_cart']","{'visible_pixels': 125, 'bbox_px': [0, 68, 20, 78], 'centroid_px': [9.92, 72.048], 'centroid_norm': [0.05193717277486911, 0.5673070866141733]}",expensive_reject,bounded_local_search_exhausted,0,,,20,77,40.85218667984009,0.020277,8.346577,30.254879,"{""candidate_budget_exhausted"": 11, ""score_callback"": 28, ""support"": 8}"
93,39,controlled-occlusion,4b7bf797b1a99ed477f2d3cde8f4fa7e238f83afa1559e7b2cea6c7f0be7b15f,783e496cd998a6f2d24cad3495f125487069d9b168daff3fd1359634745d0270,13383096694457243242,13383096694457243242,left,0.43973900871519656,23.730594734218588,0.5316154620952647,2.019006213554514,"['Dist_plastic_crate_03', 'Dist_chinese_screen_panels', 'Dist_Shelf_01', 'Dist_water_dispenser_01', 'Dist_drawer_cabinet', 'Dist_wooden_bookshelf_worn']","{'visible_pixels': 4721, 'bbox_px': [20, 7, 151, 50], 'centroid_px': [85.08536327049354, 28.689048930311376], 'centroid_norm': [0.5005021368852561, 0.2258980230733179]}",accepted,,6220,left,True,10,64,72.17171239852905,0.020398,52.960811,13.40905,"{""camera_clearance"": 9, ""candidate_budget_exhausted"": 4, ""collision"": 2, ""score_callback"": 7, ""support"": 5}"
98,43,controlled-occlusion,1ec85b87632f041d484ef8e3eb19e3689e57492e0c7345d066dddcc579853f44,2ab1860afe2b32fba37148ba17a09297047bddab1a2ab99759a265f688f17b1e,4911681048712625802,4911681048712625802,left,0.24634478013907238,1.5348919886208212,0.1613355722507961,6.454880237175106,"['Dist_metal_toolbox', 'Dist_Shelf_01', 'Dist_water_dispenser_01', 'Dist_wooden_bookshelf_worn', 'Dist_forklift_02', 'Dist_forklift_01']","{'visible_pixels': 120, 'bbox_px': [145, 63, 170, 67], 'centroid_px': [158.16666666666666, 64.83333333333333], 'centroid_norm': [0.930392156862745, 0.5104986876640419]}",expensive_reject,bounded_local_search_exhausted,0,,,21,109,132.66266751289368,0.016203,37.271742,87.600684,"{""candidate_budget_exhausted"": 12, ""score_callback"": 36}"
100,43,controlled-occlusion,a980da2ac0a5a5d76fe1eaf183e05997ef7df2deca422d4981e507bf1cb0a395,f9acfb44e2a81c1516c9cc01d44c539b05fb43d282ebfcd1430b282e67e2d54a,305631411752025835,305631411752025835,right,0.4010295429731762,15.716883134243286,0.09591812620867338,7.088904979143278,"['Dist_traffic_barricade_01', 'Dist_construction_sign_01', 'Dist_chinese_screen_panels', 'Dist_utility_box_01', 'Dist_modular_chainlink_fence', 'Dist_forklift_01']","{'visible_pixels': 167, 'bbox_px': [97, 120, 129, 127], 'centroid_px': [112.76646706586827, 124.59281437125749], 'centroid_norm': [0.4967685773826796, 0.9810457824508464]}",expensive_reject,bounded_local_search_exhausted,0,,,20,99,78.04946494102478,7.143439,16.410545,53.26272,"{""camera_clearance"": 1, ""candidate_budget_exhausted"": 12, ""collision"": 2, ""score_callback"": 28, ""support"": 5}"
102,43,controlled-occlusion,e78ac2f9bd1c864e4884438487eb1b01d8e2572926cde1cd85b302931ecb78d3,cf4670af2ccaee8375d62707169f4b32388641e0f2217818be5f71e59b52f471,11899528229399266260,11899528229399266260,left,0.1852509059040689,59.62077705163087,0.7975812203283549,1.4922285678352316,"['Dist_wine_barrel_01', 'Dist_water_dispenser_01', 'Dist_old_military_compressor', 'Dist_compost_bags', 'Dist_metal_tool_chest', 'Dist_old_tyre']","{'visible_pixels': 9403, 'bbox_px': [14, 16, 127, 127], 'centroid_px': [64.80133999787301, 73.0944379453366], 'centroid_norm': [0.5102467716367954, 0.5755467554750913]}",expensive_reject,bounded_local_search_exhausted,0,,,20,64,68.78973269462585,15.127102,12.482393,40.02274,"{""candidate_budget_exhausted"": 11, ""collision"": 10, ""score_callback"": 14, ""support"": 12}"
104,43,controlled-occlusion,ec2df12aa0f05a8570d11aba6abd46435a8c127109a9e3aa14b2c48c24b0bc85,d9b8a7b1c16bb32e197f02ed4370ee56e4bcee14e7575c5cafbececf7c2981ca,5894307878539910023,5894307878539910023,right,0.38540231592339785,6.147659877183431,0.072204918555971,8.251786435528693,"['Dist_potted_plant_01', 'Dist_Shelf_01', 'Dist_water_dispenser_01', 'Dist_drawer_cabinet', 'Dist_covered_car', 'Dist_forklift_01']","{'visible_pixels': 63, 'bbox_px': [49, 63, 69, 67], 'centroid_px': [58.507936507936506, 64.85714285714286], 'centroid_norm': [0.30632427491066233, 0.5106861642294713]}",accepted,,368,right,True,2,45,24.649908781051636,0.019944,7.905428,10.563049,"{""score_callback"": 7}"
109,45,controlled-occlusion,b27d4e8bda1eb1645636be2fea0c045ce765a8812c9103f734c14078b8ef707d,29f3561318d181181260c38851f462e3037223d38a874d16307edfee9cadcd0a,1870921691707869833,1870921691707869833,bottom,0.3356562823526332,14.87498907323841,0.24560665379937663,3.3287307544464713,"['Dist_portable_generator', 'Dist_Shelf_01', 'Dist_water_dispenser_01', 'Dist_drawer_cabinet', 'Dist_metal_trash_can', 'Dist_metal_office_desk']","{'visible_pixels': 790, 'bbox_px': [57, 0, 107, 23], 'centroid_px': [83.30253164556962, 10.353164556962025], 'centroid_norm': [0.49001489203276244, 0.08152098076348051]}",expensive_reject,bounded_local_search_exhausted,0,,,20,64,60.395020723342896,0.013725,18.852338,40.315314,"{""camera_clearance"": 10, ""candidate_budget_exhausted"": 11, ""score_callback"": 26}"
112,45,controlled-occlusion,4f20595a8e322464916a64cf45814d870db5d737a44ca2a27a0bd41e05b16882,e237b3aac9fa4d23909ead4f93b2a09f09c293440ea5a8a2130a503425c68275,18357971808264495477,18357971808264495477,right,0.40366298099237796,1.8472352295917198,0.5255443670771405,1.9815678030512336,"['Dist_chinese_screen_panels', 'Dist_construction_sign_01', 'Dist_utility_box_01', 'Dist_portable_welding_cart', 'Dist_forklift_01', 'Dist_metal_trash_can']","{'visible_pixels': 1571, 'bbox_px': [0, 57, 117, 75], 'centroid_px': [58.894334818586884, 65.60152768936983], 'centroid_norm': [0.3464372636387464, 0.5165474621210223]}",expensive_reject,bounded_local_search_exhausted,0,,,20,68,60.97867155075073,3.51707,29.590096,25.980726,"{""candidate_budget_exhausted"": 11, ""collision"": 1, ""score_callback"": 23, ""support"": 12}"
