proposal_index,usable_slot,old_outcome,new_outcome,replayed,old_runtime_s,new_runtime_s,old_stage_context_s,new_stage_context_s,old_stage_explicit_s,new_stage_explicit_s,new_stage_explicit_prep_s,old_explicit_visible_pixels,new_explicit_visible_pixels,old_side_match,new_side_match,new_metrics_available,new_f_explicit_target,new_f_explicit_actual_lowres,new_explicit_abs_error_lowres,old_realization_attempt_count,new_realization_attempt_count,new_coarse_eval_count,new_fine_eval_count,new_search_winning_stage,new_solver_fail_reason,old_solver_fail_reason,new_context_skipped,new_reject_counts
147,59,accepted,accepted,True,88.09187388420105,121.2406370639801,56.36854,76.507964,24.037886,35.733345,0.157395,8024,8024,True,True,True,0.1971867501066144,0.11533458592282121,0.0818521641837932,9,9,29,0,target-seed,,,False,"{""candidate_budget_exhausted"": 3, ""collision"": 1, ""score_callback"": 19, ""support"": 8}"
154,63,expensive_reject,rejected,True,92.62316823005676,97.96363043785095,28.989252,0.001362,60.237348,94.412243,0.159363,0,0,,,False,0.13714750827318622,,,21,24,60,0,,bounded_local_search_exhausted,bounded_local_search_exhausted,True,"{""candidate_budget_exhausted"": 12, ""score_callback"": 60}"
155,63,accepted,accepted,True,42.384862661361694,41.63956594467163,8.166595,8.216511,22.489588,21.680104,0.193732,730,730,True,True,True,0.20139072164260288,0.192090395480226,0.009300326162376887,4,4,18,0,target-seed,,,False,"{""score_callback"": 7}"
158,65,expensive_reject,rejected,True,43.55709099769592,55.8395299911499,7.248233,0.001848,34.201158,53.925704,0.150837,0,0,,,False,0.29693888819819236,,,21,21,60,0,,bounded_local_search_exhausted,bounded_local_search_exhausted,True,"{""candidate_budget_exhausted"": 9, ""score_callback"": 57, ""support"": 3}"
159,65,accepted,accepted,True,46.47523212432861,45.715510845184326,12.881936,16.003266,22.131578,18.036749,0.100676,991,991,True,True,True,0.12240496389104516,0.11666666666666667,0.005738297224378491,2,2,9,0,target-seed,,,False,"{""score_callback"": 1}"
163,69,expensive_reject,rejected,True,82.61688041687012,75.67885375022888,27.925386,0.001728,53.245141,74.144497,0.107766,0,0,,,False,0.27683038399999904,,,19,19,52,0,,bounded_local_search_exhausted,bounded_local_search_exhausted,True,"{""candidate_budget_exhausted"": 8, ""collision"": 5, ""score_callback"": 34, ""support"": 13}"
166,69,accepted,accepted,True,54.1078143119812,62.852434396743774,11.211143,10.48147,25.426892,34.64715,0.193736,720,732,True,True,True,0.18870592109118398,0.1553653719552337,0.033340549135950276,6,7,31,0,corner-contact-refine,,,False,"{""candidate_budget_exhausted"": 1, ""collision"": 8, ""score_callback"": 14, ""support"": 5}"
173,73,expensive_reject,rejected,True,57.78732466697693,70.16618132591248,12.616293,0.001318,37.250034,62.117811,0.227107,0,0,,,False,0.1150761980439105,,,21,21,60,0,,bounded_local_search_exhausted,bounded_local_search_exhausted,True,"{""candidate_budget_exhausted"": 9, ""score_callback"": 60}"
174,73,accepted,accepted,True,31.100996017456055,38.571696758270264,8.708104,15.262187,12.513082,12.755647,0.224091,895,895,True,True,True,0.14832489796501136,0.14675324675324675,0.001571651211764613,2,2,9,0,target-seed,,,False,"{""score_callback"": 1}"
176,75,accepted,accepted,True,53.78386306762695,40.623175859451294,9.11454,21.548234,37.865679,11.925768,0.152384,614,7053,True,True,True,0.3891861039916183,0.3869209809264305,0.0022651230651877796,16,2,9,0,target-seed,,,False,"{""score_callback"": 6}"
