relative_path,total_bytes,gb,modified_time,extension,top_level_group
data/pallet/blender_scene/_sandbox_palletobj_production.blend,157014946,0.157,2026-05-20 00:54,.blend,blender_scene
data/pallet/blender_scene/_sandbox_parking_lot_check.blend1,137789046,0.138,2026-05-19 17:23,.blend1,blender_scene
data/pallet/blender_scene/_sandbox_parking_lot_check.blend,137789005,0.138,2026-05-19 17:25,.blend,blender_scene
data/pallet/isaac_assets/Assets/Isaac/4.5/NVIDIA/Assets/Skies/2022_1/Skies/Night/moonlit_golf.hdr,112116433,0.112,2026-03-11 22:40,.hdr,isaac_assets
data/pallet/isaac_assets/Assets/Isaac/4.5/NVIDIA/Assets/Skies/2022_1/Skies/Night/kloppenheim_02.hdr,109640441,0.11,2026-03-11 22:40,.hdr,isaac_assets
data/pallet/isaac_assets/Assets/Isaac/4.5/NVIDIA/Assets/Skies/2022_1/Skies/Cloudy/sunflowers.hdr,104289577,0.104,2026-03-11 22:40,.hdr,isaac_assets
data/pallet/isaac_assets/Assets/Isaac/4.5/NVIDIA/Assets/Skies/2022_1/Skies/Cloudy/champagne_castle_1.hdr,104041520,0.104,2026-03-11 22:40,.hdr,isaac_assets
data/pallet/isaac_assets/Assets/Isaac/4.5/NVIDIA/Assets/Skies/2022_1/Skies/Indoor/adams_place_bridge.hdr,103021205,0.103,2026-03-11 22:40,.hdr,isaac_assets
data/pallet/isaac_assets/Assets/Isaac/4.5/NVIDIA/Assets/Skies/2022_1/Skies/Indoor/small_hangar_01.hdr,102359412,0.102,2026-03-11 22:40,.hdr,isaac_assets
data/pallet/isaac_assets/Assets/Isaac/4.5/NVIDIA/Assets/Skies/2022_1/Skies/Indoor/autoshop_01.hdr,101823586,0.102,2026-03-11 22:40,.hdr,isaac_assets
data/pallet/isaac_assets/Assets/Isaac/4.5/NVIDIA/Assets/Skies/2022_1/Skies/Cloudy/between_bridges.hdr,101712581,0.102,2026-03-11 22:40,.hdr,isaac_assets
data/pallet/isaac_assets/Assets/Isaac/4.5/NVIDIA/Assets/Skies/2022_1/Skies/Cloudy/kloofendal_48d_partly_cloudy.hdr,101363445,0.101,2026-03-11 22:40,.hdr,isaac_assets
data/pallet/background/parking_lot.zip,101186943,0.101,2026-03-25 13:54,.zip,background
data/pallet/isaac_assets/Assets/Isaac/4.5/NVIDIA/Assets/Skies/2022_1/Skies/Clear/mealie_road.hdr,100913782,0.101,2026-03-11 22:40,.hdr,isaac_assets
data/pallet/isaac_assets/Assets/Isaac/4.5/NVIDIA/Assets/Skies/2022_1/Skies/Storm/approaching_storm.hdr,100536598,0.101,2026-03-11 22:40,.hdr,isaac_assets
data/pallet/isaac_assets/Assets/Isaac/4.5/NVIDIA/Assets/Skies/2022_1/Skies/Evening/evening_road_01.hdr,100521021,0.101,2026-03-11 22:40,.hdr,isaac_assets
data/pallet/isaac_assets/Assets/Isaac/4.5/NVIDIA/Assets/Skies/2022_1/Skies/Clear/qwantani.hdr,99605634,0.1,2026-03-11 22:40,.hdr,isaac_assets
data/pallet/isaac_assets/Assets/Isaac/4.5/NVIDIA/Assets/Skies/2022_1/Skies/Cloudy/table_mountain_1.hdr,98472557,0.098,2026-03-11 22:40,.hdr,isaac_assets
data/pallet/isaac_assets/Assets/Isaac/4.5/NVIDIA/Assets/Skies/2022_1/Skies/Clear/noon_grass.hdr,98118510,0.098,2026-03-11 22:40,.hdr,isaac_assets
data/pallet/isaac_assets/Assets/Isaac/4.5/NVIDIA/Assets/Skies/2022_1/Skies/Clear/lakeside.hdr,97267376,0.097,2026-03-11 22:40,.hdr,isaac_assets
data/pallet/isaac_assets/Assets/Isaac/4.5/NVIDIA/Assets/Skies/2022_1/Skies/Cloudy/white_cliff_top.hdr,94027863,0.094,2026-03-11 22:40,.hdr,isaac_assets
data/pallet/isaac_assets/Assets/Isaac/4.5/NVIDIA/Assets/Skies/2022_1/Skies/Indoor/ZetoCGcom_ExhibitionHall_Interior1.hdr,92866949,0.093,2026-03-11 22:40,.hdr,isaac_assets
data/pallet/isaac_assets/Assets/Isaac/4.5/NVIDIA/Assets/Skies/Indoor/ZetoCGcom_ExhibitionHall_Interior1.hdr,92866949,0.093,2026-03-11 22:40,.hdr,isaac_assets
data/pallet/isaac_assets/Assets/Isaac/4.5/NVIDIA/Assets/Skies/2022_1/Skies/Clear/syferfontein_18d_clear.hdr,91708583,0.092,2026-03-11 22:40,.hdr,isaac_assets
data/pallet/isaac_assets/Assets/Isaac/4.5/NVIDIA/Assets/Skies/2022_1/Skies/Clear/signal_hill_sunrise.hdr,90147277,0.09,2026-03-11 22:40,.hdr,isaac_assets
data/pallet/test_blender_v65.zip,86723195,0.087,2026-04-05 21:11,.zip,test_blender_v65.zip
data/pallet/isaac_assets/Assets/Isaac/4.5/NVIDIA/Assets/Skies/2022_1/Skies/Indoor/ZetoCG_com_WarehouseInterior2b.hdr,68074110,0.068,2026-03-11 22:40,.hdr,isaac_assets
data/pallet/isaac_assets/Assets/Isaac/4.5/NVIDIA/Assets/Skies/Indoor/ZetoCG_com_WarehouseInterior2b.hdr,68074110,0.068,2026-03-11 22:40,.hdr,isaac_assets
