group_id,duplicate_type,member_paths,shared_hash_count,differing_files,recommended_canonical,archive_candidates,confidence,evidence,deletion_recommended
G011,A_exact_duplicate_file,data/pallet/archive/trunc_addon_v1/_summary.json;data/pallet/archive/trunc_addon_v1/새 폴더/_summary.json,2,,data/pallet/archive/trunc_addon_v1/_summary.json,data/pallet/archive/trunc_addon_v1/새 폴더/_summary.json,high,"[확인] SHA256 f92c9d4f0cc313ae… 동일, 1685303 bytes x2",false
G012,A_exact_duplicate_file,data/pallet/_v2_scene_logic_500_seed7500/eda/contact_sheets/mode_clean-static_003.png;data/pallet/_v2_scene_logic_500_seed7500/eda_phase5/contact_sheets/mode_clean-static_003.png,2,,data/pallet/_v2_scene_logic_500_seed7500/eda/contact_sheets/mode_clean-static_003.png,data/pallet/_v2_scene_logic_500_seed7500/eda_phase5/contact_sheets/mode_clean-static_003.png,high,"[확인] SHA256 8d1783f52363296e… 동일, 1411855 bytes x2",false
G013,A_exact_duplicate_file,data/pallet/_v2_scene_logic_500_seed7500/eda/contact_sheets/all_pass_008.png;data/pallet/_v2_scene_logic_500_seed7500/eda_phase5/contact_sheets/all_pass_008.png,2,,data/pallet/_v2_scene_logic_500_seed7500/eda/contact_sheets/all_pass_008.png,data/pallet/_v2_scene_logic_500_seed7500/eda_phase5/contact_sheets/all_pass_008.png,high,"[확인] SHA256 abb7363bfdecb4ec… 동일, 1395542 bytes x2",false
G014,A_exact_duplicate_file,data/pallet/_v2_scene_logic_500_seed7500/eda/contact_sheets/mode_context-rich_003.png;data/pallet/_v2_scene_logic_500_seed7500/eda_phase5/contact_sheets/mode_context-rich_003.png,2,,data/pallet/_v2_scene_logic_500_seed7500/eda/contact_sheets/mode_context-rich_003.png,data/pallet/_v2_scene_logic_500_seed7500/eda_phase5/contact_sheets/mode_context-rich_003.png,high,"[확인] SHA256 0c5f699450ba94da… 동일, 1389110 bytes x2",false
G015,A_exact_duplicate_file,data/pallet/_v2_scene_logic_500_seed7500/eda/contact_sheets/mode_clean-static_005.png;data/pallet/_v2_scene_logic_500_seed7500/eda_phase5/contact_sheets/mode_clean-static_005.png,2,,data/pallet/_v2_scene_logic_500_seed7500/eda/contact_sheets/mode_clean-static_005.png,data/pallet/_v2_scene_logic_500_seed7500/eda_phase5/contact_sheets/mode_clean-static_005.png,high,"[확인] SHA256 a52a0d7503bfd93c… 동일, 1387596 bytes x2",false
G016,A_exact_duplicate_file,data/pallet/_v2_scene_logic_500_seed7500/eda/contact_sheets/all_pass_015.png;data/pallet/_v2_scene_logic_500_seed7500/eda_phase5/contact_sheets/all_pass_015.png,2,,data/pallet/_v2_scene_logic_500_seed7500/eda/contact_sheets/all_pass_015.png,data/pallet/_v2_scene_logic_500_seed7500/eda_phase5/contact_sheets/all_pass_015.png,high,"[확인] SHA256 88f24f3c5b6ee9f6… 동일, 1379228 bytes x2",false
G017,A_exact_duplicate_file,data/pallet/_v2_scene_logic_500_seed7500/eda/contact_sheets/mode_context-rich_002.png;data/pallet/_v2_scene_logic_500_seed7500/eda_phase5/contact_sheets/mode_context-rich_002.png,2,,data/pallet/_v2_scene_logic_500_seed7500/eda/contact_sheets/mode_context-rich_002.png,data/pallet/_v2_scene_logic_500_seed7500/eda_phase5/contact_sheets/mode_context-rich_002.png,high,"[확인] SHA256 6d5a9f0c07833f8c… 동일, 1378117 bytes x2",false
G018,A_exact_duplicate_file,data/pallet/_v2_scene_logic_500_seed7500/eda/contact_sheets/mode_context-rich_005.png;data/pallet/_v2_scene_logic_500_seed7500/eda_phase5/contact_sheets/mode_context-rich_005.png,2,,data/pallet/_v2_scene_logic_500_seed7500/eda/contact_sheets/mode_context-rich_005.png,data/pallet/_v2_scene_logic_500_seed7500/eda_phase5/contact_sheets/mode_context-rich_005.png,high,"[확인] SHA256 613bf7ad728d964f… 동일, 1376049 bytes x2",false
G019,A_exact_duplicate_file,data/pallet/_v2_scene_logic_500_seed7500/eda/contact_sheets/all_fail_001.png;data/pallet/_v2_scene_logic_500_seed7500/eda_phase5/contact_sheets/all_fail_001.png,2,,data/pallet/_v2_scene_logic_500_seed7500/eda/contact_sheets/all_fail_001.png,data/pallet/_v2_scene_logic_500_seed7500/eda_phase5/contact_sheets/all_fail_001.png,high,"[확인] SHA256 f5557732d0e5259d… 동일, 1373992 bytes x2",false
G020,A_exact_duplicate_file,data/pallet/_v2_scene_logic_500_seed7500/eda/contact_sheets/failure_examples.png;data/pallet/_v2_scene_logic_500_seed7500/eda_phase5/contact_sheets/failure_examples.png,2,,data/pallet/_v2_scene_logic_500_seed7500/eda/contact_sheets/failure_examples.png,data/pallet/_v2_scene_logic_500_seed7500/eda_phase5/contact_sheets/failure_examples.png,high,"[확인] SHA256 72b871946825c357… 동일, 1373774 bytes x2",false
G021,A_exact_duplicate_file,data/pallet/_v2_scene_logic_500_seed7500/eda/contact_sheets/mode_cargo-only_004.png;data/pallet/_v2_scene_logic_500_seed7500/eda_phase5/contact_sheets/mode_cargo-only_004.png,2,,data/pallet/_v2_scene_logic_500_seed7500/eda/contact_sheets/mode_cargo-only_004.png,data/pallet/_v2_scene_logic_500_seed7500/eda_phase5/contact_sheets/mode_cargo-only_004.png,high,"[확인] SHA256 e388d6791bae54bc… 동일, 1370370 bytes x2",false
G022,A_exact_duplicate_file,data/pallet/_v2_scene_logic_500_seed7500/eda/contact_sheets/mode_cargo-only_002.png;data/pallet/_v2_scene_logic_500_seed7500/eda_phase5/contact_sheets/mode_cargo-only_002.png,2,,data/pallet/_v2_scene_logic_500_seed7500/eda/contact_sheets/mode_cargo-only_002.png,data/pallet/_v2_scene_logic_500_seed7500/eda_phase5/contact_sheets/mode_cargo-only_002.png,high,"[확인] SHA256 56d3eb57698a105f… 동일, 1364110 bytes x2",false
G023,A_exact_duplicate_file,data/pallet/_v2_scene_logic_500_seed7500/eda/contact_sheets/all_pass_002.png;data/pallet/_v2_scene_logic_500_seed7500/eda_phase5/contact_sheets/all_pass_002.png,2,,data/pallet/_v2_scene_logic_500_seed7500/eda/contact_sheets/all_pass_002.png,data/pallet/_v2_scene_logic_500_seed7500/eda_phase5/contact_sheets/all_pass_002.png,high,"[확인] SHA256 e81039ab0443831a… 동일, 1360865 bytes x2",false
G024,A_exact_duplicate_file,data/pallet/_v2_scene_logic_500_seed7500/eda/contact_sheets/all_pass_003.png;data/pallet/_v2_scene_logic_500_seed7500/eda_phase5/contact_sheets/all_pass_003.png,2,,data/pallet/_v2_scene_logic_500_seed7500/eda/contact_sheets/all_pass_003.png,data/pallet/_v2_scene_logic_500_seed7500/eda_phase5/contact_sheets/all_pass_003.png,high,"[확인] SHA256 f56044efb986e05e… 동일, 1359430 bytes x2",false
G025,A_exact_duplicate_file,data/pallet/_v2_scene_logic_500_seed7500/eda/contact_sheets/all_pass_011.png;data/pallet/_v2_scene_logic_500_seed7500/eda_phase5/contact_sheets/all_pass_011.png,2,,data/pallet/_v2_scene_logic_500_seed7500/eda/contact_sheets/all_pass_011.png,data/pallet/_v2_scene_logic_500_seed7500/eda_phase5/contact_sheets/all_pass_011.png,high,"[확인] SHA256 c8efc0d6330083f6… 동일, 1351701 bytes x2",false
G026,A_exact_duplicate_file,data/pallet/_v2_scene_logic_500_seed7500/eda/contact_sheets/mode_clean-static_004.png;data/pallet/_v2_scene_logic_500_seed7500/eda_phase5/contact_sheets/mode_clean-static_004.png,2,,data/pallet/_v2_scene_logic_500_seed7500/eda/contact_sheets/mode_clean-static_004.png,data/pallet/_v2_scene_logic_500_seed7500/eda_phase5/contact_sheets/mode_clean-static_004.png,high,"[확인] SHA256 8df32b246df8c0ab… 동일, 1350694 bytes x2",false
G027,A_exact_duplicate_file,data/pallet/_v2_scene_logic_500_seed7500/eda/contact_sheets/all_fail_002.png;data/pallet/_v2_scene_logic_500_seed7500/eda_phase5/contact_sheets/all_fail_002.png,2,,data/pallet/_v2_scene_logic_500_seed7500/eda/contact_sheets/all_fail_002.png,data/pallet/_v2_scene_logic_500_seed7500/eda_phase5/contact_sheets/all_fail_002.png,high,"[확인] SHA256 db20464abce46156… 동일, 1348903 bytes x2",false
G028,A_exact_duplicate_file,data/pallet/_v2_scene_logic_500_seed7500/eda/contact_sheets/all_pass_009.png;data/pallet/_v2_scene_logic_500_seed7500/eda_phase5/contact_sheets/all_pass_009.png,2,,data/pallet/_v2_scene_logic_500_seed7500/eda/contact_sheets/all_pass_009.png,data/pallet/_v2_scene_logic_500_seed7500/eda_phase5/contact_sheets/all_pass_009.png,high,"[확인] SHA256 70626218a8bacc33… 동일, 1348111 bytes x2",false
G029,A_exact_duplicate_file,data/pallet/_v2_scene_logic_500_seed7500/eda/contact_sheets/mode_context-rich.png;data/pallet/_v2_scene_logic_500_seed7500/eda/contact_sheets/mode_context-rich_001.png;data/pallet/_v2_scene_logic_500_seed7500/eda_phase5/contact_sheets/mode_context-rich.png;data/pallet/_v2_scene_logic_500_seed7500/eda_phase5/contact_sheets/mode_context-rich_001.png,4,,data/pallet/_v2_scene_logic_500_seed7500/eda/contact_sheets/mode_context-rich.png,data/pallet/_v2_scene_logic_500_seed7500/eda/contact_sheets/mode_context-rich_001.png;data/pallet/_v2_scene_logic_500_seed7500/eda_phase5/contact_sheets/mode_context-rich.png;data/pallet/_v2_scene_logic_500_seed7500/eda_phase5/contact_sheets/mode_context-rich_001.png,high,"[확인] SHA256 f3a6ea5c3cfa31db… 동일, 1346589 bytes x4",false
G030,A_exact_duplicate_file,data/pallet/_v2_scene_logic_500_seed7500/eda/contact_sheets/all_fail_003.png;data/pallet/_v2_scene_logic_500_seed7500/eda_phase5/contact_sheets/all_fail_003.png,2,,data/pallet/_v2_scene_logic_500_seed7500/eda/contact_sheets/all_fail_003.png,data/pallet/_v2_scene_logic_500_seed7500/eda_phase5/contact_sheets/all_fail_003.png,high,"[확인] SHA256 0e17d244c1b8697d… 동일, 1346283 bytes x2",false
G031,A_exact_duplicate_file,data/pallet/_v2_scene_logic_500_seed7500/eda/contact_sheets/all_pass_004.png;data/pallet/_v2_scene_logic_500_seed7500/eda_phase5/contact_sheets/all_pass_004.png,2,,data/pallet/_v2_scene_logic_500_seed7500/eda/contact_sheets/all_pass_004.png,data/pallet/_v2_scene_logic_500_seed7500/eda_phase5/contact_sheets/all_pass_004.png,high,"[확인] SHA256 9d21edf88a2e5cbc… 동일, 1335294 bytes x2",false
G032,A_exact_duplicate_file,data/pallet/_v2_scene_logic_500_seed7500/eda/contact_sheets/all_pass_012.png;data/pallet/_v2_scene_logic_500_seed7500/eda_phase5/contact_sheets/all_pass_012.png,2,,data/pallet/_v2_scene_logic_500_seed7500/eda/contact_sheets/all_pass_012.png,data/pallet/_v2_scene_logic_500_seed7500/eda_phase5/contact_sheets/all_pass_012.png,high,"[확인] SHA256 a0c81dcaf24f3747… 동일, 1335197 bytes x2",false
G033,A_exact_duplicate_file,data/pallet/_v2_scene_logic_500_seed7500/eda/contact_sheets/all_pass_014.png;data/pallet/_v2_scene_logic_500_seed7500/eda_phase5/contact_sheets/all_pass_014.png,2,,data/pallet/_v2_scene_logic_500_seed7500/eda/contact_sheets/all_pass_014.png,data/pallet/_v2_scene_logic_500_seed7500/eda_phase5/contact_sheets/all_pass_014.png,high,"[확인] SHA256 d9330394983bfecb… 동일, 1328606 bytes x2",false
G034,A_exact_duplicate_file,data/pallet/_v2_scene_logic_500_seed7500/eda/contact_sheets/audit_pass_019.png;data/pallet/_v2_scene_logic_500_seed7500/eda_phase5/contact_sheets/audit_pass_019.png,2,,data/pallet/_v2_scene_logic_500_seed7500/eda/contact_sheets/audit_pass_019.png,data/pallet/_v2_scene_logic_500_seed7500/eda_phase5/contact_sheets/audit_pass_019.png,high,"[확인] SHA256 70701a49ba20f371… 동일, 1326288 bytes x2",false
G035,A_exact_duplicate_file,data/pallet/_v2_scene_logic_500_seed7500/eda/contact_sheets/mode_clean-static_002.png;data/pallet/_v2_scene_logic_500_seed7500/eda_phase5/contact_sheets/mode_clean-static_002.png,2,,data/pallet/_v2_scene_logic_500_seed7500/eda/contact_sheets/mode_clean-static_002.png,data/pallet/_v2_scene_logic_500_seed7500/eda_phase5/contact_sheets/mode_clean-static_002.png,high,"[확인] SHA256 8f193edcda39abfd… 동일, 1318264 bytes x2",false
G036,A_exact_duplicate_file,data/pallet/_v2_scene_logic_500_seed7500/eda/contact_sheets/all_pass_016.png;data/pallet/_v2_scene_logic_500_seed7500/eda_phase5/contact_sheets/all_pass_016.png,2,,data/pallet/_v2_scene_logic_500_seed7500/eda/contact_sheets/all_pass_016.png,data/pallet/_v2_scene_logic_500_seed7500/eda_phase5/contact_sheets/all_pass_016.png,high,"[확인] SHA256 9bdea4d2e3644def… 동일, 1317515 bytes x2",false
G037,A_exact_duplicate_file,data/pallet/_v2_scene_logic_500_seed7500/eda/contact_sheets/all_pass_007.png;data/pallet/_v2_scene_logic_500_seed7500/eda_phase5/contact_sheets/all_pass_007.png,2,,data/pallet/_v2_scene_logic_500_seed7500/eda/contact_sheets/all_pass_007.png,data/pallet/_v2_scene_logic_500_seed7500/eda_phase5/contact_sheets/all_pass_007.png,high,"[확인] SHA256 06722ccee0d566df… 동일, 1315705 bytes x2",false
G038,A_exact_duplicate_file,data/pallet/_v2_scene_logic_500_seed7500/eda/contact_sheets/all_pass_013.png;data/pallet/_v2_scene_logic_500_seed7500/eda_phase5/contact_sheets/all_pass_013.png,2,,data/pallet/_v2_scene_logic_500_seed7500/eda/contact_sheets/all_pass_013.png,data/pallet/_v2_scene_logic_500_seed7500/eda_phase5/contact_sheets/all_pass_013.png,high,"[확인] SHA256 ab03abf54ef84122… 동일, 1302497 bytes x2",false
G039,A_exact_duplicate_file,data/pallet/_v2_scene_logic_500_seed7500/eda/contact_sheets/all_pass_018.png;data/pallet/_v2_scene_logic_500_seed7500/eda_phase5/contact_sheets/all_pass_018.png,2,,data/pallet/_v2_scene_logic_500_seed7500/eda/contact_sheets/all_pass_018.png,data/pallet/_v2_scene_logic_500_seed7500/eda_phase5/contact_sheets/all_pass_018.png,high,"[확인] SHA256 8ba74664557402f2… 동일, 1302458 bytes x2",false
G040,A_exact_duplicate_file,data/pallet/_v2_scene_logic_500_seed7500/eda/contact_sheets/all_pass_010.png;data/pallet/_v2_scene_logic_500_seed7500/eda_phase5/contact_sheets/all_pass_010.png,2,,data/pallet/_v2_scene_logic_500_seed7500/eda/contact_sheets/all_pass_010.png,data/pallet/_v2_scene_logic_500_seed7500/eda_phase5/contact_sheets/all_pass_010.png,high,"[확인] SHA256 7d23167a45cd2fa3… 동일, 1300836 bytes x2",false
G041,A_exact_duplicate_file,data/pallet/_v2_scene_logic_500_seed7500/eda/contact_sheets/audit_pass_005.png;data/pallet/_v2_scene_logic_500_seed7500/eda_phase5/contact_sheets/audit_pass_005.png,2,,data/pallet/_v2_scene_logic_500_seed7500/eda/contact_sheets/audit_pass_005.png,data/pallet/_v2_scene_logic_500_seed7500/eda_phase5/contact_sheets/audit_pass_005.png,high,"[확인] SHA256 eb67f6632e8ebc89… 동일, 1298435 bytes x2",false
G042,A_exact_duplicate_file,data/pallet/_v2_scene_logic_500_seed7500/eda/contact_sheets/mode_clean-static.png;data/pallet/_v2_scene_logic_500_seed7500/eda/contact_sheets/mode_clean-static_001.png;data/pallet/_v2_scene_logic_500_seed7500/eda_phase5/contact_sheets/mode_clean-static.png;data/pallet/_v2_scene_logic_500_seed7500/eda_phase5/contact_sheets/mode_clean-static_001.png,4,,data/pallet/_v2_scene_logic_500_seed7500/eda/contact_sheets/mode_clean-static.png,data/pallet/_v2_scene_logic_500_seed7500/eda/contact_sheets/mode_clean-static_001.png;data/pallet/_v2_scene_logic_500_seed7500/eda_phase5/contact_sheets/mode_clean-static.png;data/pallet/_v2_scene_logic_500_seed7500/eda_phase5/contact_sheets/mode_clean-static_001.png,high,"[확인] SHA256 85fdcfaaec1caf96… 동일, 1296607 bytes x4",false
G043,A_exact_duplicate_file,data/pallet/_v2_scene_logic_500_seed7500/eda/contact_sheets/audit_pass_012.png;data/pallet/_v2_scene_logic_500_seed7500/eda_phase5/contact_sheets/audit_pass_012.png,2,,data/pallet/_v2_scene_logic_500_seed7500/eda/contact_sheets/audit_pass_012.png,data/pallet/_v2_scene_logic_500_seed7500/eda_phase5/contact_sheets/audit_pass_012.png,high,"[확인] SHA256 cf1774491547f8d2… 동일, 1295498 bytes x2",false
G044,A_exact_duplicate_file,data/pallet/_v2_scene_logic_500_seed7500/eda/contact_sheets/audit_pass_008.png;data/pallet/_v2_scene_logic_500_seed7500/eda_phase5/contact_sheets/audit_pass_008.png,2,,data/pallet/_v2_scene_logic_500_seed7500/eda/contact_sheets/audit_pass_008.png,data/pallet/_v2_scene_logic_500_seed7500/eda_phase5/contact_sheets/audit_pass_008.png,high,"[확인] SHA256 802b498dd03660a3… 동일, 1295086 bytes x2",false
G045,A_exact_duplicate_file,data/pallet/_v2_scene_logic_500_seed7500/eda/contact_sheets/mode_cargo-only_005.png;data/pallet/_v2_scene_logic_500_seed7500/eda_phase5/contact_sheets/mode_cargo-only_005.png,2,,data/pallet/_v2_scene_logic_500_seed7500/eda/contact_sheets/mode_cargo-only_005.png,data/pallet/_v2_scene_logic_500_seed7500/eda_phase5/contact_sheets/mode_cargo-only_005.png,high,"[확인] SHA256 95d3b74fdbbfde69… 동일, 1294281 bytes x2",false
G046,A_exact_duplicate_file,data/pallet/_v2_scene_logic_500_seed7500/eda/contact_sheets/all_pass_006.png;data/pallet/_v2_scene_logic_500_seed7500/eda_phase5/contact_sheets/all_pass_006.png,2,,data/pallet/_v2_scene_logic_500_seed7500/eda/contact_sheets/all_pass_006.png,data/pallet/_v2_scene_logic_500_seed7500/eda_phase5/contact_sheets/all_pass_006.png,high,"[확인] SHA256 312fd1cf2469d4b9… 동일, 1291024 bytes x2",false
G047,A_exact_duplicate_file,data/pallet/_v2_scene_logic_500_seed7500/eda/contact_sheets/mode_cargo-only_003.png;data/pallet/_v2_scene_logic_500_seed7500/eda_phase5/contact_sheets/mode_cargo-only_003.png,2,,data/pallet/_v2_scene_logic_500_seed7500/eda/contact_sheets/mode_cargo-only_003.png,data/pallet/_v2_scene_logic_500_seed7500/eda_phase5/contact_sheets/mode_cargo-only_003.png,high,"[확인] SHA256 e3131e7111d21440… 동일, 1289583 bytes x2",false
G048,A_exact_duplicate_file,data/pallet/_v2_scene_logic_500_seed7500/eda/contact_sheets/mode_context-rich_006.png;data/pallet/_v2_scene_logic_500_seed7500/eda_phase5/contact_sheets/mode_context-rich_006.png,2,,data/pallet/_v2_scene_logic_500_seed7500/eda/contact_sheets/mode_context-rich_006.png,data/pallet/_v2_scene_logic_500_seed7500/eda_phase5/contact_sheets/mode_context-rich_006.png,high,"[확인] SHA256 c65e3df1c9a67802… 동일, 1283894 bytes x2",false
G049,A_exact_duplicate_file,data/pallet/_v2_scene_logic_500_seed7500/eda/contact_sheets/mode_context-rich_007.png;data/pallet/_v2_scene_logic_500_seed7500/eda_phase5/contact_sheets/mode_context-rich_007.png,2,,data/pallet/_v2_scene_logic_500_seed7500/eda/contact_sheets/mode_context-rich_007.png,data/pallet/_v2_scene_logic_500_seed7500/eda_phase5/contact_sheets/mode_context-rich_007.png,high,"[확인] SHA256 655a363fc9f0c321… 동일, 1282671 bytes x2",false
G050,A_exact_duplicate_file,data/pallet/_v2_scene_logic_500_seed7500/eda/contact_sheets/audit_pass_011.png;data/pallet/_v2_scene_logic_500_seed7500/eda_phase5/contact_sheets/audit_pass_011.png,2,,data/pallet/_v2_scene_logic_500_seed7500/eda/contact_sheets/audit_pass_011.png,data/pallet/_v2_scene_logic_500_seed7500/eda_phase5/contact_sheets/audit_pass_011.png,high,"[확인] SHA256 bfa1919647aff8de… 동일, 1280259 bytes x2",false
G051,A_exact_duplicate_file,data/pallet/models_usd/eur_pallet_bk_cc0.glb;data/pallet/pallets_v2_add/models/eur_pallet_bk_cc0.glb,2,,data/pallet/models_usd/eur_pallet_bk_cc0.glb,data/pallet/pallets_v2_add/models/eur_pallet_bk_cc0.glb,high,"[확인] SHA256 26c0ded54a55d50d… 동일, 1277996 bytes x2",false
G052,A_exact_duplicate_file,data/pallet/_v2_scene_logic_smoke20_seed7500_final_m_exact/eda/contact_sheets/audit_pass_001.png;data/pallet/_v2_scene_logic_smoke20_seed7500_final_n_exact/eda/contact_sheets/audit_pass_001.png;data/pallet/_v2_scene_logic_smoke20_seed7500_final_n_exact/eda_phase5/contact_sheets/audit_pass_001.png,3,,data/pallet/_v2_scene_logic_smoke20_seed7500_final_m_exact/eda/contact_sheets/audit_pass_001.png,data/pallet/_v2_scene_logic_smoke20_seed7500_final_n_exact/eda/contact_sheets/audit_pass_001.png;data/pallet/_v2_scene_logic_smoke20_seed7500_final_n_exact/eda_phase5/contact_sheets/audit_pass_001.png,high,"[확인] SHA256 51b6287504af3c48… 동일, 1274626 bytes x3",false
