usable_id,frame_id,reproj_max_px,reproj_centroid_px,reproj_consistency_px,K_valid,pose_valid
101,f0101,1.2710574864626038e-13,5.684341886080802e-14,1.1368683772161603e-13,True,True
102,f0102,1.6077746776921858e-13,0.0,1.1368683772161603e-13,True,True
103,f0103,6.355287432313019e-14,0.0,5.684341886080802e-14,True,True
104,f0104,1.2710574864626038e-13,1.1368683772161603e-13,1.1368683772161603e-13,True,True
105,f0105,5.684341886080802e-14,4.0194366942304644e-14,5.684341886080802e-14,True,True
106,f0106,1.2710574864626038e-13,0.0,1.1368683772161603e-13,True,True
107,f0107,1.2710574864626038e-13,0.0,1.1368683772161603e-13,True,True
108,f0108,6.355287432313019e-14,6.355287432313019e-14,5.684341886080802e-14,True,True
109,f0109,1.1368683772161603e-13,0.0,1.1368683772161603e-13,True,True
110,f0110,8.038873388460929e-14,0.0,5.684341886080802e-14,True,True
111,f0111,6.355287432313019e-14,0.0,5.684341886080802e-14,True,True
112,f0112,5.684341886080802e-14,0.0,5.684341886080802e-14,True,True
113,f0113,1.1368683772161603e-13,8.038873388460929e-14,1.1368683772161603e-13,True,True
114,f0114,8.038873388460929e-14,5.684341886080802e-14,5.684341886080802e-14,True,True
115,f0115,1.1718571004216928e-13,5.684341886080802e-14,1.1368683772161603e-13,True,True
116,f0116,6.355287432313019e-14,5.684341886080802e-14,5.684341886080802e-14,True,True
117,f0117,6.355287432313019e-14,0.0,5.684341886080802e-14,True,True
118,f0118,1.1718571004216928e-13,2.842170943040401e-14,1.1368683772161603e-13,True,True
119,f0119,1.1368683772161603e-13,5.684341886080802e-14,1.1368683772161603e-13,True,True
120,f0120,5.859285502108464e-14,5.859285502108464e-14,5.684341886080802e-14,True,True
121,f0121,1.1368683772161603e-13,5.684341886080802e-14,1.1368683772161603e-13,True,True
122,f0122,6.355287432313019e-14,0.0,5.684341886080802e-14,True,True
123,f0123,6.355287432313019e-14,6.355287432313019e-14,5.684341886080802e-14,True,True
124,f0124,1.1368683772161603e-13,0.0,1.1368683772161603e-13,True,True
125,f0125,1.1368683772161603e-13,0.0,1.1368683772161603e-13,True,True
126,f0126,1.1368683772161603e-13,5.684341886080802e-14,1.1368683772161603e-13,True,True
127,f0127,5.684341886080802e-14,2.842170943040401e-14,5.684341886080802e-14,True,True
128,f0128,5.684341886080802e-14,2.842170943040401e-14,5.684341886080802e-14,True,True
129,f0129,6.355287432313019e-14,5.684341886080802e-14,5.684341886080802e-14,True,True
130,f0130,1.7053025658242404e-13,6.355287432313019e-14,1.7053025658242404e-13,True,True
131,f0131,8.526512829121202e-14,0.0,8.526512829121202e-14,True,True
132,f0132,4.0194366942304644e-14,0.0,2.842170943040401e-14,True,True
133,f0133,6.355287432313019e-14,5.684341886080802e-14,5.684341886080802e-14,True,True
134,f0134,5.859285502108464e-14,0.0,5.684341886080802e-14,True,True
135,f0135,5.684341886080802e-14,2.842170943040401e-14,5.684341886080802e-14,True,True
136,f0136,5.684341886080802e-14,5.684341886080802e-14,5.684341886080802e-14,True,True
137,f0137,8.038873388460929e-14,5.684341886080802e-14,5.684341886080802e-14,True,True
138,f0138,6.355287432313019e-14,5.684341886080802e-14,5.684341886080802e-14,True,True
139,f0139,5.684341886080802e-14,2.842170943040401e-14,5.684341886080802e-14,True,True
140,f0140,6.204547701064548e-14,2.842170943040401e-14,5.684341886080802e-14,True,True
141,f0141,8.038873388460929e-14,0.0,5.684341886080802e-14,True,True
142,f0142,6.355287432313019e-14,0.0,5.684341886080802e-14,True,True
143,f0143,8.038873388460929e-14,6.355287432313019e-14,5.684341886080802e-14,True,True
144,f0144,7.105427357601002e-14,5.859285502108464e-14,5.684341886080802e-14,True,True
145,f0145,6.355287432313019e-14,0.0,5.684341886080802e-14,True,True
146,f0146,1.156679772130055e-13,0.0,1.1368683772161603e-13,True,True
147,f0147,6.355287432313019e-14,0.0,5.684341886080802e-14,True,True
148,f0148,1.1368683772161603e-13,2.842170943040401e-14,1.1368683772161603e-13,True,True
149,f0149,1.1368683772161603e-13,0.0,1.1368683772161603e-13,True,True
150,f0150,1.1368683772161603e-13,0.0,1.1368683772161603e-13,True,True
151,f0151,1.6077746776921858e-13,0.0,1.1368683772161603e-13,True,True
152,f0152,6.355287432313019e-14,5.859285502108464e-14,5.684341886080802e-14,True,True
153,f0153,3.552713678800501e-14,1.4210854715202004e-14,3.552713678800501e-14,True,True
154,f0154,5.684341886080802e-14,0.0,5.684341886080802e-14,True,True
155,f0155,6.355287432313019e-14,2.842170943040401e-14,5.684341886080802e-14,True,True
156,f0156,5.684341886080802e-14,5.684341886080802e-14,5.684341886080802e-14,True,True
157,f0157,5.684341886080802e-14,2.1316282072803006e-14,5.684341886080802e-14,True,True
158,f0158,1.1368683772161603e-13,1.4210854715202004e-14,1.1368683772161603e-13,True,True
159,f0159,8.038873388460929e-14,5.684341886080802e-14,5.684341886080802e-14,True,True
160,f0160,6.355287432313019e-14,5.783398860650275e-14,5.684341886080802e-14,True,True
161,f0161,3.3073653844922085e-14,7.105427357601002e-15,2.986499936241671e-14,True,True
162,f0162,1.1368683772161603e-13,0.0,1.1368683772161603e-13,True,True
163,f0163,4.0194366942304644e-14,2.0097183471152322e-14,2.842170943040401e-14,True,True
164,f0164,1.1368683772161603e-13,0.0,1.1368683772161603e-13,True,True
165,f0165,6.355287432313019e-14,2.842170943040401e-14,5.684341886080802e-14,True,True
166,f0166,8.038873388460929e-14,0.0,5.684341886080802e-14,True,True
167,f0167,5.684341886080802e-14,5.684341886080802e-14,5.684341886080802e-14,True,True
168,f0168,1.1368683772161603e-13,0.0,1.1368683772161603e-13,True,True
169,f0169,1.1368683772161603e-13,2.842170943040401e-14,1.1368683772161603e-13,True,True
170,f0170,6.355287432313019e-14,2.842170943040401e-14,5.684341886080802e-14,True,True
171,f0171,1.1718571004216928e-13,2.842170943040401e-14,1.1368683772161603e-13,True,True
172,f0172,8.038873388460929e-14,8.038873388460929e-14,5.684341886080802e-14,True,True
173,f0173,5.684341886080802e-14,0.0,5.684341886080802e-14,True,True
174,f0174,8.038873388460929e-14,0.0,5.684341886080802e-14,True,True
175,f0175,6.355287432313019e-14,2.842170943040401e-14,5.684341886080802e-14,True,True
176,f0176,1.1368683772161603e-13,5.684341886080802e-14,1.1368683772161603e-13,True,True
177,f0177,1.1718571004216928e-13,0.0,1.1368683772161603e-13,True,True
178,f0178,1.1718571004216928e-13,1.1718571004216928e-13,5.684341886080802e-14,True,True
179,f0179,5.684341886080802e-14,4.0194366942304644e-14,5.684341886080802e-14,True,True
180,f0180,8.038873388460929e-14,0.0,5.684341886080802e-14,True,True
181,f0181,6.355287432313019e-14,6.355287432313019e-14,5.684341886080802e-14,True,True
182,f0182,3.1776437161565096e-14,0.0,2.842170943040401e-14,True,True
183,f0183,1.1368683772161603e-13,0.0,1.1368683772161603e-13,True,True
184,f0184,6.355287432313019e-14,2.842170943040401e-14,5.684341886080802e-14,True,True
185,f0185,1.1457157353758233e-13,1.4210854715202004e-14,1.1368683772161603e-13,True,True
186,f0186,5.684341886080802e-14,0.0,5.684341886080802e-14,True,True
187,f0187,8.038873388460929e-14,5.684341886080802e-14,5.684341886080802e-14,True,True
188,f0188,1.2710574864626038e-13,5.684341886080802e-14,1.1368683772161603e-13,True,True
