camera_distance_m,projected_size,density
0.9411764705882353,0.00392156862745098,0.07678450136253186
0.9803921568627451,0.00392156862745098,0.07733149169298467
1.0196078431372548,0.00392156862745098,0.07789803306142647
1.0588235294117647,0.00392156862745098,0.07848381053189227
1.0980392156862746,0.00392156862745098,0.07908850006752591
1.1372549019607843,0.00392156862745098,0.07971176888563059
1.1764705882352942,0.00392156862745098,0.08035327582166042
1.2156862745098038,0.00392156862745098,0.08101267170170785
1.2549019607843137,0.00392156862745098,0.08168959972302342
1.2941176470588236,0.00392156862745098,0.08238369584209367
1.3333333333333333,0.00392156862745098,0.08309458916979666
1.3725490196078431,0.00392156862745098,0.0838219023731413
1.4117647058823528,0.00392156862745098,0.08456525208309214
1.4509803921568627,0.00392156862745098,0.08532424930796757
1.4901960784313726,0.00392156862745098,0.08609849985189859
1.5294117647058822,0.00392156862745098,0.08688760473782271
1.5686274509803921,0.00392156862745098,0.08769116063448255
1.607843137254902,0.00392156862745098,0.08850876028690201
1.6470588235294117,0.00392156862745098,0.0893399929497881
1.6862745098039216,0.00392156862745098,0.0901844448233259
1.7254901960784315,0.00392156862745098,0.09104169949081649
1.7647058823529411,0.00392156862745098,0.0919113383576024
1.803921568627451,0.00392156862745098,0.09279294109073852
1.8431372549019607,0.00392156862745098,0.09368608605885008
1.8823529411764706,0.00392156862745098,0.09459035077162284
1.9215686274509804,0.00392156862745098,0.09550531231837757
1.9607843137254901,0.00392156862745098,0.09643054780517249
2.0,0.00392156862745098,0.09736563478988247
2.0392156862745097,0.00392156862745098,0.09831015171471064
2.0784313725490198,0.00392156862745098,0.0992636783355849
2.1176470588235294,0.00392156862745098,0.1002257961478948
2.156862745098039,0.00392156862745098,0.10119608880803793
2.196078431372549,0.00392156862745098,0.10217414255024032
2.235294117647059,0.00392156862745098,0.10315954659812526
2.2745098039215685,0.00392156862745098,0.1041518935705106
2.313725490196078,0.00392156862745098,0.10515077988092784
2.3529411764705883,0.00392156862745098,0.10615580613035225
2.392156862745098,0.00392156862745098,0.10716657749265233
2.4313725490196076,0.00392156862745098,0.10818270409227482
2.4705882352941178,0.00392156862745098,0.10920380137368542
2.5098039215686274,0.00392156862745098,0.11022949046210412
2.549019607843137,0.00392156862745098,0.11125939851507391
2.588235294117647,0.00392156862745098,0.1122931590644361
2.627450980392157,0.00392156862745098,0.1133304123482638
2.6666666666666665,0.00392156862745098,0.11437080563235079
2.7058823529411766,0.00392156862745098,0.11541399352084752
2.7450980392156863,0.00392156862745098,0.11645963825566066
2.784313725490196,0.00392156862745098,0.1175074100042296
2.8235294117647056,0.00392156862745098,0.11855698713534062
2.8627450980392157,0.00392156862745098,0.11960805648261734
2.9019607843137254,0.00392156862745098,0.12066031359537314
2.941176470588235,0.00392156862745098,0.12171346297650691
2.980392156862745,0.00392156862745098,0.12276721830715612
