usable_id,diagnostic_mode,semantics_pass,failed,unknown,recorded_pass,n_cargo_requested,n_cargo_placed,n_cargo_visible,cargo_visible_pixels,cargo_visible_pixel_ratio,n_context_requested,n_context_placed,n_context_visible,context_visible_pixel_ratio,explicit_occluder_placed,explicit_occluder_visible_pixels,occluder_side_target,occluder_side_actual,occluder_side_match,f_explicit_target,f_explicit_actual,explicit_metrics_available,f_explicit_actual_lowres,explicit_abs_error_lowres,explicit_target_pixels,explicit_actual_pixels_lowres,explicit_target_centroid_u,explicit_target_centroid_v,explicit_actual_centroid_u_lowres,explicit_actual_centroid_v_lowres,search_winning_stage,coarse_eval_count,fine_eval_count,runtime_s
35,controlled-occlusion,True,,,True,0,0,0,0,0.0,3,3,3,1.0,True,2655,left,left,True,0.3350807686779613,,True,0.3695395513577332,0.03445878267977187,847,313,29.223140495867767,66.93742621015349,10.121405750798722,68.4888178913738,target-seed,18,0,56.78265595436096
36,clean-static,True,,,True,0,0,0,0,0.0,0,0,0,0.0,False,0,,,,0.0,,False,,,,,,,,,,,,7.359556436538696
37,cargo-only,True,,,True,2,2,2,237,0.014437134502923976,0,0,0,0.0,False,0,,,,0.0,,False,,,,,,,,,,,,10.140554189682007
38,context-rich,True,,,True,0,0,0,0,0.0,3,3,3,1.0,False,0,,,,0.0,,False,,,,,,,,,,,,13.971361875534058
39,controlled-occlusion,True,,,True,0,0,0,0,0.0,3,3,3,1.0,True,6220,left,left,True,0.43973900871519656,,True,0.34590129209913156,0.09383771661606499,4721,1633,85.08536327049354,28.689048930311376,45.720146968769136,29.772198407838335,primary,32,0,36.23778963088989
40,clean-static,True,,,True,0,0,0,0,0.0,0,0,0,0.0,False,0,,,,0.0,,False,,,,,,,,,,,,5.8327062129974365
41,cargo-only,True,,,True,2,2,2,511,0.031128167641325536,0,0,0,0.0,False,0,,,,0.0,,False,,,,,,,,,,,,11.044853687286377
42,context-rich,True,,,True,0,0,0,0,0.0,3,1,1,1.0,False,0,,,,0.0,,False,,,,,,,,,,,,29.77388620376587
43,controlled-occlusion,True,,,True,0,0,0,0,0.0,3,3,3,1.0,True,368,right,right,True,0.38540231592339785,,True,0.36507936507936506,0.020322950844032794,63,23,58.507936507936506,64.85714285714286,64.91304347826087,64.47826086956522,target-seed,9,0,25.83742046356201
44,context-rich,True,,,True,0,0,0,0,0.0,3,2,2,1.0,False,0,,,,0.0,,False,,,,,,,,,,,,45.64616012573242
45,controlled-occlusion,True,,,True,0,0,0,0,0.0,3,3,3,1.0,True,805,left,left,True,0.3290793167680911,,True,0.2718168812589413,0.05726243550914978,699,190,63.359084406294706,8.414878397711016,47.50526315789474,8.936842105263159,gate-overlap-refine,32,0,134.66317987442017
46,clean-static,True,,,True,0,0,0,0,0.0,0,0,0,0.0,False,0,,,,0.0,,False,,,,,,,,,,,,6.401973009109497
47,cargo-only,True,,,True,2,2,2,36,0.0029296875,0,0,0,0.0,False,0,,,,0.0,,False,,,,,,,,,,,,13.545822858810425
48,context-rich,True,,,True,0,0,0,0,0.0,3,3,3,1.0,False,0,,,,0.0,,False,,,,,,,,,,,,17.56681489944458
49,controlled-occlusion,True,,,True,2,1,1,128,0.007797270955165692,3,3,3,1.0,True,2710,left,left,True,0.4495132565574447,,True,0.3848009650180941,0.0647122915393506,1517,638,114.51680949241924,42.997363216875414,101.64420062695925,50.391849529780565,gate-overlap-refine,40,0,88.9477105140686
50,clean-static,True,,,True,0,0,0,0,0.0,0,0,0,0.0,False,0,,,,0.0,,False,,,,,,,,,,,,5.05950665473938
51,cargo-only,True,,,True,2,2,2,82,0.006673177083333333,0,0,0,0.0,False,0,,,,0.0,,False,,,,,,,,,,,,8.823350429534912
52,context-rich,True,,,True,0,0,0,0,0.0,3,3,3,1.0,False,0,,,,0.0,,False,,,,,,,,,,,,23.68178367614746
53,controlled-occlusion,True,,,True,0,0,0,0,0.0,3,3,3,1.0,True,2897,right,right,True,0.10291382724138247,,True,0.02275960170697013,0.08015422553441234,1406,32,45.91394025604552,85.9054054054054,90.5625,83.625,target-seed,29,0,25.628403663635254
54,context-rich,True,,,True,2,1,1,37,0.00267650462962963,3,3,3,1.0,False,0,,,,0.0,,False,,,,,,,,,,,,33.23235535621643
55,controlled-occlusion,True,,,True,2,2,1,36,0.0021929824561403508,3,3,3,1.0,True,454,right,right,True,0.21177009451692813,,True,0.21774193548387097,0.005971840966942837,104,27,145.33653846153845,89.97115384615384,153.66666666666666,90.0,target-seed,9,0,44.21930146217346
56,clean-static,True,,,True,0,0,0,0,0.0,0,0,0,0.0,False,0,,,,0.0,,False,,,,,,,,,,,,5.882018566131592
57,cargo-only,True,,,True,2,2,2,448,0.032407407407407406,0,0,0,0.0,False,0,,,,0.0,,False,,,,,,,,,,,,10.2461256980896
58,context-rich,True,,,True,2,1,1,527,0.042887369791666664,3,3,3,1.0,False,0,,,,0.0,,False,,,,,,,,,,,,40.96663808822632
59,controlled-occlusion,True,,,True,0,0,0,0,0.0,3,2,2,1.0,True,8024,right,right,True,0.1971867501066144,,True,0.11533458592282121,0.0818521641837932,6919,798,64.26622344269403,73.05362046538517,113.49248120300751,69.67919799498746,target-seed,29,0,120.51667213439941
60,clean-static,True,,,True,0,0,0,0,0.0,0,0,0,0.0,False,0,,,,0.0,,False,,,,,,,,,,,,6.424189567565918
61,cargo-only,True,,,True,2,1,1,16,0.0013020833333333333,0,0,0,0.0,False,0,,,,0.0,,False,,,,,,,,,,,,9.785876035690308
62,context-rich,True,,,True,0,0,0,0,0.0,3,3,3,1.0,False,0,,,,0.0,,False,,,,,,,,,,,,16.29448676109314
63,controlled-occlusion,True,,,True,2,0,0,0,0.0,3,3,3,1.0,True,730,right,right,True,0.20139072164260288,,True,0.192090395480226,0.009300326162376887,177,34,15.627118644067796,72.57627118644068,27.352941176470587,71.55882352941177,target-seed,18,0,42.69664478302002
64,context-rich,True,,,True,2,2,2,910,0.09874131944444445,3,3,3,1.0,False,0,,,,0.0,,False,,,,,,,,,,,,39.83318734169006
65,controlled-occlusion,True,,,True,2,2,2,46,0.0028021442495126704,3,3,3,1.0,True,991,right,right,True,0.12240496389104516,,True,0.11666666666666667,0.005738297224378491,239,35,113.13807531380753,5.368200836820083,131.25714285714287,5.514285714285714,target-seed,9,0,46.383506774902344
66,clean-static,True,,,True,0,0,0,0,0.0,0,0,0,0.0,False,0,,,,0.0,,False,,,,,,,,,,,,5.309341192245483
67,cargo-only,True,,,True,2,1,1,63,0.004557291666666667,0,0,0,0.0,False,0,,,,0.0,,False,,,,,,,,,,,,12.56630277633667
68,context-rich,True,,,True,2,2,2,514,0.031310916179337234,3,3,3,1.0,False,0,,,,0.0,,False,,,,,,,,,,,,26.03650403022766
69,controlled-occlusion,True,,,True,2,1,1,212,0.017252604166666668,3,3,3,1.0,True,732,bottom,bottom,True,0.18870592109118398,,True,0.1553653719552337,0.033340549135950276,1205,236,47.40746887966805,73.19170124481327,36.32627118644068,86.05084745762711,corner-contact-refine,31,0,63.77988004684448
70,clean-static,True,,,True,0,0,0,0,0.0,0,0,0,0.0,False,0,,,,0.0,,False,,,,,,,,,,,,5.241750955581665
71,cargo-only,True,,,True,2,2,2,29,0.0023600260416666665,0,0,0,0.0,False,0,,,,0.0,,False,,,,,,,,,,,,9.416067361831665
72,context-rich,True,,,True,2,2,2,901,0.06517650462962964,3,3,3,1.0,False,0,,,,0.0,,False,,,,,,,,,,,,21.048949480056763
73,controlled-occlusion,True,,,True,2,2,2,259,0.01873553240740741,3,3,3,1.0,True,895,right,right,True,0.14832489796501136,,True,0.14675324675324675,0.001571651211764613,749,113,154.0347129506008,65.71028037383178,185.53982300884957,65.49557522123894,target-seed,9,0,38.56828999519348
74,context-rich,True,,,True,0,0,0,0,0.0,3,3,3,1.0,False,0,,,,0.0,,False,,,,,,,,,,,,40.12762451171875
75,controlled-occlusion,True,,,True,0,0,0,0,0.0,3,3,2,0.6666666666666666,True,7053,bottom,bottom,True,0.3891861039916183,,True,0.3869209809264305,0.0022651230651877796,367,142,113.34604904632153,64.16621253405995,110.59154929577464,69.26760563380282,target-seed,9,0,41.52044677734375
76,clean-static,True,,,True,0,0,0,0,0.0,0,0,0,0.0,False,0,,,,0.0,,False,,,,,,,,,,,,5.388730525970459
77,cargo-only,True,,,True,2,2,1,344,0.027994791666666668,0,0,0,0.0,False,0,,,,0.0,,False,,,,,,,,,,,,10.458597660064697
78,context-rich,True,,,True,0,0,0,0,0.0,3,3,3,1.0,False,0,,,,0.0,,False,,,,,,,,,,,,16.55573582649231
79,controlled-occlusion,True,,,True,2,0,0,0,0.0,3,3,3,1.0,True,488,bottom,bottom,True,0.17523444273776634,,True,0.08755760368663594,0.0876768390511304,217,19,175.79723502304148,73.80645161290323,187.78947368421052,76.47368421052632,primary,60,0,165.1424958705902
80,clean-static,True,,,True,0,0,0,0,0.0,0,0,0,0.0,False,0,,,,0.0,,False,,,,,,,,,,,,7.034565687179565
81,cargo-only,True,,,True,2,2,2,1758,0.14306640625,0,0,0,0.0,False,0,,,,0.0,,False,,,,,,,,,,,,8.626052618026733
82,context-rich,True,,,True,2,2,2,27,0.0029296875,3,3,3,1.0,False,0,,,,0.0,,False,,,,,,,,,,,,28.075509309768677
83,controlled-occlusion,True,,,True,0,0,0,0,0.0,3,3,3,1.0,True,514,bottom,bottom,True,0.18002557219038512,,True,0.22344827586206897,0.043422703671683854,725,162,16.06758620689655,94.39172413793104,11.41358024691358,103.9320987654321,preprobe,1,0,23.436354637145996
84,context-rich,True,,,True,2,2,2,1746,0.12630208333333334,3,2,2,1.0,False,0,,,,0.0,,False,,,,,,,,,,,,22.57228446006775
85,controlled-occlusion,True,,,True,0,0,0,0,0.0,3,3,3,1.0,True,333,bottom,bottom,True,0.37570717134901954,,True,0.3684210526315789,0.007286118717440615,760,280,175.57631578947368,117.84342105263158,173.87142857142857,122.15,preprobe,1,0,31.92033624649048
86,clean-static,True,,,True,0,0,0,0,0.0,0,0,0,0.0,False,0,,,,0.0,,False,,,,,,,,,,,,5.134209871292114
87,cargo-only,True,,,True,2,2,2,173,0.014078776041666666,0,0,0,0.0,False,0,,,,0.0,,False,,,,,,,,,,,,9.162724733352661
88,context-rich,True,,,True,0,0,0,0,0.0,3,3,3,1.0,False,0,,,,0.0,,False,,,,,,,,,,,,19.516594409942627
89,controlled-occlusion,True,,,True,2,0,0,0,0.0,3,3,3,1.0,True,3422,bottom,bottom,True,0.4108783468383854,,True,0.294835115193495,0.11604323164489044,6641,1958,155.1028459569342,77.95226622496612,160.36925434116446,98.01787538304393,gate-overlap-refine,32,0,47.08680844306946
90,clean-static,True,,,True,0,0,0,0,0.0,0,0,0,0.0,False,0,,,,0.0,,False,,,,,,,,,,,,7.821319341659546
91,cargo-only,True,,,True,2,2,1,1207,0.09822591145833333,0,0,0,0.0,False,0,,,,0.0,,False,,,,,,,,,,,,10.072762966156006
92,context-rich,True,,,True,0,0,0,0,0.0,3,3,3,1.0,False,0,,,,0.0,,False,,,,,,,,,,,,17.127723217010498
93,controlled-occlusion,True,,,True,0,0,0,0,0.0,3,3,3,1.0,True,512,left,left,True,0.3743046620576926,,True,0.2607502287282708,0.11355443332942178,1093,285,139.195791399817,105.04117108874657,128.55789473684212,108.71929824561404,preprobe,10,0,90.19211077690125
94,context-rich,True,,,True,0,0,0,0,0.0,3,3,3,1.0,False,0,,,,0.0,,False,,,,,,,,,,,,13.301585674285889
95,controlled-occlusion,True,,,True,0,0,0,0,0.0,3,3,3,1.0,True,829,right,right,True,0.326120944012687,,True,0.28,0.04612094401268696,200,56,43.865,123.175,52.410714285714285,122.30357142857143,target-seed,10,0,97.66198921203613
96,clean-static,True,,,True,0,0,0,0,0.0,0,0,0,0.0,False,0,,,,0.0,,False,,,,,,,,,,,,5.2754786014556885
97,cargo-only,True,,,True,2,2,1,318,0.019371345029239765,0,0,0,0.0,False,0,,,,0.0,,False,,,,,,,,,,,,11.580811262130737
98,context-rich,True,,,True,2,2,1,16,0.0013020833333333333,3,3,3,1.0,False,0,,,,0.0,,False,,,,,,,,,,,,27.141937971115112
99,controlled-occlusion,True,,,True,2,1,1,29,0.002097800925925926,3,3,2,0.6666666666666666,True,229,bottom,bottom,True,0.3255214460816687,,True,0.372972972972973,0.047451526891304274,171,69,162.01169590643275,123.52046783625731,158.44927536231884,125.26086956521739,target-seed,29,0,95.6318883895874
